"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-20	635	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-19	618	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-18	603	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-17	594	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-16	632	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-15	649	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-14	528	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-13	582	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-12	849	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-11	4753	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-10	45202	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-9	129869	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-8	131929	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-7	64131	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-6	31594	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-5	22284	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-4	17212	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-3	21179	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-2	22980	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	-1	17634	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	0	29362	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	1	21309	5
2015	"Nedialkova"	"ncs2Δ_ribo_empty_plasmid_rep2"	2	13786	5
