"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-20	6084	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-19	7509	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-18	6221	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-17	7247	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-16	7496	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-15	6358	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-14	6252	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-13	7226	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-12	6429	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-11	6992	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-10	6739	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-9	6339	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-8	6294	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-7	7658	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-6	7034	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-5	6788	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-4	7604	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-3	6465	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-2	7375	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-1	7862	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	0	7828	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	1	6267	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	2	8329	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	3	9401	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	4	2438	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	5	12689	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	6	3100	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	7	4520	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	8	6243	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	9	5948	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	10	6177	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	11	6674	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	12	6751	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	13	6058	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	14	7638	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	15	6115	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	16	6366	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	17	7460	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	18	6913	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	19	5964	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	20	6995	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	21	7397	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	22	5786	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	23	7138	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	24	7106	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	25	6259	5
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-20	8533	3
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-19	8862	3
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-18	6668	3
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-17	8045	3
2015	"Nedialkova"	"ncs2Δelp6Δ_mRNA_YPD_rep2"	-16	9428	3
