"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-20	834	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-19	759	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-18	895	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-17	846	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-16	956	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-15	1068	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-14	786	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-13	949	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-12	917	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-11	2541	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-10	35974	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-9	182555	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-8	362423	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-7	206563	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-6	45323	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-5	62039	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-4	46062	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-3	27730	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-2	50683	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-1	32824	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	0	31395	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	1	53615	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	2	27577	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	3	50859	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	4	27075	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	5	71742	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	6	13904	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	7	19588	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	8	24018	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	9	21002	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	10	36366	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	11	19992	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	12	15714	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	13	35422	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	14	25129	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	15	13885	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	16	31417	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	17	22169	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	18	15461	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	19	27237	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	20	18382	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	21	15922	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	22	28878	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	23	18927	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	24	14075	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	25	26638	5
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-20	11712	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-19	9291	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-18	15829	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-17	10496	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-16	4283	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-15	7380	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-14	5149	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-13	782	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-12	267	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-11	328	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-10	233	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-9	162	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-8	151	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-7	127	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-6	85	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-5	122	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-4	133	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-3	76	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-2	107	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	-1	115	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	0	105	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	1	139	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	2	74	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	3	87	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	4	77	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	5	97	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	6	98	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	7	83	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	8	65	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	9	67	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	10	65	3
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_YPD_rep1"	11	68	3
