"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-20	2424	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-19	3075	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-18	2672	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-17	2935	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-16	2867	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-15	3179	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-14	2907	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-13	3479	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-12	3342	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-11	3898	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-10	3133	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-9	3900	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-8	4467	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-7	4596	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-6	4307	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-5	4187	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-4	5787	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-3	5747	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-2	4603	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-1	4671	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	0	5108	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	1	7232	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	2	7509	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	3	4370	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	4	7866	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	5	9803	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	6	3684	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	7	2629	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	8	2153	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	9	4534	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	10	5992	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	11	7921	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	12	5016	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	13	5960	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	14	7899	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	15	5544	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	16	7879	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	17	9152	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	18	6445	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	19	7181	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	20	9622	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	21	6196	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	22	7532	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	23	9022	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	24	7094	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	25	8918	5
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-20	6251	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-19	4556	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-18	4426	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-17	5874	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-16	4490	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-15	4333	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-14	5249	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-13	4005	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-12	4099	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-11	5332	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-10	3513	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-9	3916	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-8	4418	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-7	3902	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-6	3810	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-5	4416	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-4	3365	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-3	2775	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-2	4191	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	-1	3572	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	0	3907	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	1	4363	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	2	11707	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	3	1608	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	4	1570	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	5	2974	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	6	3695	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	7	3961	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	8	3858	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	9	3057	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	10	3778	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	11	4865	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	12	3411	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	13	3414	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	14	3515	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	15	3696	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	16	3391	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	17	3776	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	18	3030	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	19	3051	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	20	3216	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	21	3521	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	22	3013	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	23	3184	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	24	3272	3
2015	"Sen"	"mRNA_ded1-cs_rep_2_15_deg"	25	3236	3
