"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-20	1406	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-19	1674	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-18	1588	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-17	1689	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-16	1739	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-15	1780	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-14	1715	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-13	1847	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-12	1897	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-11	2012	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-10	1826	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-9	2053	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-8	2136	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-7	2394	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-6	2324	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-5	2139	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-4	2623	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-3	2784	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-2	2404	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	-1	2432	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	0	2469	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	1	3132	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	2	3394	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	3	2666	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	4	3416	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	5	5011	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	6	2058	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	7	761	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	8	1093	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	9	1718	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	10	2919	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	11	3229	5
2015	"Sen"	"mRNA_ded1-ts_rep_1_37_deg"	12	2320	5
