"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-20	531	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-19	539	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-18	527	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-17	488	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-16	455	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-15	477	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-14	430	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-13	454	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-12	409	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-11	323	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-10	717	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-9	4098	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-8	14765	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-7	11752	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-6	2898	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-5	5435	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-4	5241	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-3	3573	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-2	5865	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	-1	4969	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	0	3474	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	1	7285	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	2	4405	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	3	3360	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	4	5413	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	5	8304	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	6	5538	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	7	3150	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	8	4674	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	9	2258	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	10	6627	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	11	4688	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	12	2723	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	13	5130	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	14	5172	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	15	2397	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	16	5561	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	17	4642	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	18	2222	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	19	5609	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	20	4396	5
2015	"Sen"	"ribo_tif1-ts_rep_2_30_deg"	21	2598	5
