"Year"	"Author"	"Dataset"	"key"	"value"
2009	"Ingolia"	"mRNA-starved-1"	15	1498
2009	"Ingolia"	"mRNA-starved-1"	16	2015
2009	"Ingolia"	"mRNA-starved-1"	17	2033
2009	"Ingolia"	"mRNA-starved-1"	18	2477
2009	"Ingolia"	"mRNA-starved-1"	19	3285
2009	"Ingolia"	"mRNA-starved-1"	20	4040
2009	"Ingolia"	"mRNA-starved-1"	21	4543
2009	"Ingolia"	"mRNA-starved-1"	22	5519
2009	"Ingolia"	"mRNA-starved-1"	23	8147
2009	"Ingolia"	"mRNA-starved-1"	24	10749
2009	"Ingolia"	"mRNA-starved-1"	25	11586
2009	"Ingolia"	"mRNA-starved-1"	26	10435
2009	"Ingolia"	"mRNA-starved-1"	27	8728
2009	"Ingolia"	"mRNA-starved-1"	28	184517
2009	"Ingolia"	"mRNA-starved-1"	29	16656
2009	"Ingolia"	"mRNA-starved-1"	30	6033
2009	"Ingolia"	"mRNA-starved-1"	31	2183
2009	"Ingolia"	"mRNA-starved-1"	32	898
2009	"Ingolia"	"mRNA-starved-1"	33	291
2009	"Ingolia"	"mRNA-starved-1"	34	58
2009	"Ingolia"	"mRNA-starved-1"	35	18
2009	"Ingolia"	"mRNA-starved-1"	36	24
2009	"Ingolia"	"mRNA-starved-1"	37	0
2009	"Ingolia"	"mRNA-starved-1"	38	0
2009	"Ingolia"	"mRNA-starved-1"	39	0
2009	"Ingolia"	"mRNA-starved-1"	40	0
2009	"Ingolia"	"mRNA-starved-1"	41	0
2009	"Ingolia"	"mRNA-starved-1"	42	0
2009	"Ingolia"	"mRNA-starved-1"	43	0
2009	"Ingolia"	"mRNA-starved-1"	44	0
2009	"Ingolia"	"mRNA-starved-1"	45	0
2009	"Ingolia"	"mRNA-starved-1"	46	0
2009	"Ingolia"	"mRNA-starved-1"	47	0
2009	"Ingolia"	"mRNA-starved-1"	48	0
2009	"Ingolia"	"mRNA-starved-1"	49	0
2009	"Ingolia"	"mRNA-starved-1"	50	0
