"Year"	"Author"	"Dataset"	"key"	"value"
2012	"Brar"	"mRNA_L_tp_traditional_tc"	15	721
2012	"Brar"	"mRNA_L_tp_traditional_tc"	16	10190
2012	"Brar"	"mRNA_L_tp_traditional_tc"	17	7839
2012	"Brar"	"mRNA_L_tp_traditional_tc"	18	6765
2012	"Brar"	"mRNA_L_tp_traditional_tc"	19	6238
2012	"Brar"	"mRNA_L_tp_traditional_tc"	20	5287
2012	"Brar"	"mRNA_L_tp_traditional_tc"	21	5164
2012	"Brar"	"mRNA_L_tp_traditional_tc"	22	5792
2012	"Brar"	"mRNA_L_tp_traditional_tc"	23	6358
2012	"Brar"	"mRNA_L_tp_traditional_tc"	24	7804
2012	"Brar"	"mRNA_L_tp_traditional_tc"	25	12804
2012	"Brar"	"mRNA_L_tp_traditional_tc"	26	10842
2012	"Brar"	"mRNA_L_tp_traditional_tc"	27	14407
2012	"Brar"	"mRNA_L_tp_traditional_tc"	28	131575
2012	"Brar"	"mRNA_L_tp_traditional_tc"	29	73304
2012	"Brar"	"mRNA_L_tp_traditional_tc"	30	83769
2012	"Brar"	"mRNA_L_tp_traditional_tc"	31	86797
2012	"Brar"	"mRNA_L_tp_traditional_tc"	32	93267
2012	"Brar"	"mRNA_L_tp_traditional_tc"	33	99094
2012	"Brar"	"mRNA_L_tp_traditional_tc"	34	103091
2012	"Brar"	"mRNA_L_tp_traditional_tc"	35	113392
2012	"Brar"	"mRNA_L_tp_traditional_tc"	36	128091
2012	"Brar"	"mRNA_L_tp_traditional_tc"	37	160612
2012	"Brar"	"mRNA_L_tp_traditional_tc"	38	240891
2012	"Brar"	"mRNA_L_tp_traditional_tc"	39	517014
2012	"Brar"	"mRNA_L_tp_traditional_tc"	40	572269
2012	"Brar"	"mRNA_L_tp_traditional_tc"	41	0
2012	"Brar"	"mRNA_L_tp_traditional_tc"	42	0
2012	"Brar"	"mRNA_L_tp_traditional_tc"	43	0
2012	"Brar"	"mRNA_L_tp_traditional_tc"	44	0
2012	"Brar"	"mRNA_L_tp_traditional_tc"	45	0
2012	"Brar"	"mRNA_L_tp_traditional_tc"	46	0
2012	"Brar"	"mRNA_L_tp_traditional_tc"	47	0
2012	"Brar"	"mRNA_L_tp_traditional_tc"	48	0
2012	"Brar"	"mRNA_L_tp_traditional_tc"	49	0
2012	"Brar"	"mRNA_L_tp_traditional_tc"	50	0
