"Year"	"Author"	"Dataset"	"key"	"value"
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	15	3533
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	16	35792
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	17	50306
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	18	65121
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	19	71066
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	20	76403
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	21	81141
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	22	72747
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	23	79778
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	24	83211
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	25	85911
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	26	93947
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	27	107753
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	28	2597257
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	29	553372
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	30	157385
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	31	36703
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	32	7283
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	33	1638
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	34	366
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	35	98
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	36	21
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	37	18
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	38	7
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	39	10
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	40	10
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	41	0
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	42	0
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	43	0
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	44	0
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	45	0
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	46	0
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	47	0
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	48	0
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	49	0
2012	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	50	0
