"Year"	"Author"	"Dataset"	"key"	"value"
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	15	1248
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	16	11326
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	17	5428
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	18	4950
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	19	5685
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	20	5587
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	21	7179
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	22	8648
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	23	12372
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	24	21541
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	25	39478
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	26	36586
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	27	75935
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	28	1574762
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	29	257961
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	30	63419
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	31	15738
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	32	5568
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	33	3443
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	34	3149
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	35	3681
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	36	4508
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	37	5191
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	38	6857
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	39	11113
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	40	14205
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	41	0
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	42	0
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	43	0
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	44	0
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	45	0
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	46	0
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	47	0
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	48	0
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	49	0
2012	"Brar"	"rpf_G_tp_traditional_tc_the_second_lane_of_this"	50	0
