"Year"	"Author"	"Dataset"	"key"	"value"
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	15	769
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	16	15422
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	17	16420
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	18	21546
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	19	15645
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	20	18364
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	21	21535
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	22	24368
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	23	28102
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	24	33856
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	25	41639
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	26	59020
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	27	88555
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	28	4133511
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	29	1546742
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	30	563194
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	31	148719
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	32	28669
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	33	5136
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	34	1013
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	35	231
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	36	62
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	37	22
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	38	11
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	39	15
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	40	7
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	41	0
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	42	0
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	43	0
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	44	0
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	45	0
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	46	0
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	47	0
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	48	0
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	49	0
2012	"Brar"	"rpf_for_exp_veg_cells_str_14201_used_ndt80_release_tc"	50	0
