"Year"	"Author"	"Dataset"	"key"	"value"
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	15	32541
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	16	88273
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	17	73315
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	18	83589
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	19	86586
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	20	103613
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	21	105706
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	22	100750
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	23	110382
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	24	95099
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	25	83736
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	26	79406
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	27	74388
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	28	109544
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	29	177627
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	30	107211
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	31	62941
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	32	42496
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	33	11640
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	34	2761
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	35	763
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	36	268
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	37	76
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	38	31
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	39	30
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	40	30
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	41	0
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	42	0
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	43	0
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	44	0
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	45	0
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	46	0
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	47	0
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	48	0
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	49	0
2012	"Brar"	"rpf_for_mata-a_strain_fig_s6a"	50	0
