"Year"	"Author"	"Dataset"	"key"	"value"
2013	"Zinshteyn"	"WT_mRNA_1"	15	9443
2013	"Zinshteyn"	"WT_mRNA_1"	16	12796
2013	"Zinshteyn"	"WT_mRNA_1"	17	11708
2013	"Zinshteyn"	"WT_mRNA_1"	18	10549
2013	"Zinshteyn"	"WT_mRNA_1"	19	8293
2013	"Zinshteyn"	"WT_mRNA_1"	20	7637
2013	"Zinshteyn"	"WT_mRNA_1"	21	8797
2013	"Zinshteyn"	"WT_mRNA_1"	22	12504
2013	"Zinshteyn"	"WT_mRNA_1"	23	25107
2013	"Zinshteyn"	"WT_mRNA_1"	24	58615
2013	"Zinshteyn"	"WT_mRNA_1"	25	106593
2013	"Zinshteyn"	"WT_mRNA_1"	26	140346
2013	"Zinshteyn"	"WT_mRNA_1"	27	153474
2013	"Zinshteyn"	"WT_mRNA_1"	28	1988895
2013	"Zinshteyn"	"WT_mRNA_1"	29	513124
2013	"Zinshteyn"	"WT_mRNA_1"	30	441879
2013	"Zinshteyn"	"WT_mRNA_1"	31	324442
2013	"Zinshteyn"	"WT_mRNA_1"	32	173574
2013	"Zinshteyn"	"WT_mRNA_1"	33	67171
2013	"Zinshteyn"	"WT_mRNA_1"	34	20486
2013	"Zinshteyn"	"WT_mRNA_1"	35	5444
2013	"Zinshteyn"	"WT_mRNA_1"	36	0
2013	"Zinshteyn"	"WT_mRNA_1"	37	0
2013	"Zinshteyn"	"WT_mRNA_1"	38	0
2013	"Zinshteyn"	"WT_mRNA_1"	39	0
2013	"Zinshteyn"	"WT_mRNA_1"	40	0
2013	"Zinshteyn"	"WT_mRNA_1"	41	0
2013	"Zinshteyn"	"WT_mRNA_1"	42	0
2013	"Zinshteyn"	"WT_mRNA_1"	43	0
2013	"Zinshteyn"	"WT_mRNA_1"	44	0
2013	"Zinshteyn"	"WT_mRNA_1"	45	0
2013	"Zinshteyn"	"WT_mRNA_1"	46	0
2013	"Zinshteyn"	"WT_mRNA_1"	47	0
2013	"Zinshteyn"	"WT_mRNA_1"	48	0
2013	"Zinshteyn"	"WT_mRNA_1"	49	0
2013	"Zinshteyn"	"WT_mRNA_1"	50	0
