"Year"	"Author"	"Dataset"	"key"	"value"
2013	"Zinshteyn"	"WT_rpf_2"	15	8974
2013	"Zinshteyn"	"WT_rpf_2"	16	11396
2013	"Zinshteyn"	"WT_rpf_2"	17	9790
2013	"Zinshteyn"	"WT_rpf_2"	18	6830
2013	"Zinshteyn"	"WT_rpf_2"	19	5039
2013	"Zinshteyn"	"WT_rpf_2"	20	4936
2013	"Zinshteyn"	"WT_rpf_2"	21	6520
2013	"Zinshteyn"	"WT_rpf_2"	22	8180
2013	"Zinshteyn"	"WT_rpf_2"	23	10297
2013	"Zinshteyn"	"WT_rpf_2"	24	16690
2013	"Zinshteyn"	"WT_rpf_2"	25	24752
2013	"Zinshteyn"	"WT_rpf_2"	26	41061
2013	"Zinshteyn"	"WT_rpf_2"	27	81059
2013	"Zinshteyn"	"WT_rpf_2"	28	4066907
2013	"Zinshteyn"	"WT_rpf_2"	29	1691114
2013	"Zinshteyn"	"WT_rpf_2"	30	625172
2013	"Zinshteyn"	"WT_rpf_2"	31	118323
2013	"Zinshteyn"	"WT_rpf_2"	32	16436
2013	"Zinshteyn"	"WT_rpf_2"	33	2640
2013	"Zinshteyn"	"WT_rpf_2"	34	717
2013	"Zinshteyn"	"WT_rpf_2"	35	177
2013	"Zinshteyn"	"WT_rpf_2"	36	0
2013	"Zinshteyn"	"WT_rpf_2"	37	0
2013	"Zinshteyn"	"WT_rpf_2"	38	0
2013	"Zinshteyn"	"WT_rpf_2"	39	0
2013	"Zinshteyn"	"WT_rpf_2"	40	0
2013	"Zinshteyn"	"WT_rpf_2"	41	0
2013	"Zinshteyn"	"WT_rpf_2"	42	0
2013	"Zinshteyn"	"WT_rpf_2"	43	0
2013	"Zinshteyn"	"WT_rpf_2"	44	0
2013	"Zinshteyn"	"WT_rpf_2"	45	0
2013	"Zinshteyn"	"WT_rpf_2"	46	0
2013	"Zinshteyn"	"WT_rpf_2"	47	0
2013	"Zinshteyn"	"WT_rpf_2"	48	0
2013	"Zinshteyn"	"WT_rpf_2"	49	0
2013	"Zinshteyn"	"WT_rpf_2"	50	0
