"Year"	"Author"	"Dataset"	"key"	"value"
2013	"Zinshteyn"	"Δncs6_mRNA_2"	15	9302
2013	"Zinshteyn"	"Δncs6_mRNA_2"	16	9250
2013	"Zinshteyn"	"Δncs6_mRNA_2"	17	5237
2013	"Zinshteyn"	"Δncs6_mRNA_2"	18	3621
2013	"Zinshteyn"	"Δncs6_mRNA_2"	19	2921
2013	"Zinshteyn"	"Δncs6_mRNA_2"	20	2908
2013	"Zinshteyn"	"Δncs6_mRNA_2"	21	3843
2013	"Zinshteyn"	"Δncs6_mRNA_2"	22	5427
2013	"Zinshteyn"	"Δncs6_mRNA_2"	23	7985
2013	"Zinshteyn"	"Δncs6_mRNA_2"	24	14322
2013	"Zinshteyn"	"Δncs6_mRNA_2"	25	29751
2013	"Zinshteyn"	"Δncs6_mRNA_2"	26	51266
2013	"Zinshteyn"	"Δncs6_mRNA_2"	27	69855
2013	"Zinshteyn"	"Δncs6_mRNA_2"	28	909057
2013	"Zinshteyn"	"Δncs6_mRNA_2"	29	249457
2013	"Zinshteyn"	"Δncs6_mRNA_2"	30	224899
2013	"Zinshteyn"	"Δncs6_mRNA_2"	31	170153
2013	"Zinshteyn"	"Δncs6_mRNA_2"	32	90952
2013	"Zinshteyn"	"Δncs6_mRNA_2"	33	32826
2013	"Zinshteyn"	"Δncs6_mRNA_2"	34	10124
2013	"Zinshteyn"	"Δncs6_mRNA_2"	35	3633
2013	"Zinshteyn"	"Δncs6_mRNA_2"	36	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	37	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	38	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	39	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	40	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	41	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	42	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	43	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	44	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	45	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	46	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	47	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	48	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	49	0
2013	"Zinshteyn"	"Δncs6_mRNA_2"	50	0
