"Year"	"Author"	"Dataset"	"key"	"value"
2013	"Zinshteyn"	"Δuba4_mRNA_2"	15	6403
2013	"Zinshteyn"	"Δuba4_mRNA_2"	16	7002
2013	"Zinshteyn"	"Δuba4_mRNA_2"	17	3388
2013	"Zinshteyn"	"Δuba4_mRNA_2"	18	2479
2013	"Zinshteyn"	"Δuba4_mRNA_2"	19	1644
2013	"Zinshteyn"	"Δuba4_mRNA_2"	20	1708
2013	"Zinshteyn"	"Δuba4_mRNA_2"	21	2189
2013	"Zinshteyn"	"Δuba4_mRNA_2"	22	3159
2013	"Zinshteyn"	"Δuba4_mRNA_2"	23	4629
2013	"Zinshteyn"	"Δuba4_mRNA_2"	24	7164
2013	"Zinshteyn"	"Δuba4_mRNA_2"	25	12023
2013	"Zinshteyn"	"Δuba4_mRNA_2"	26	21746
2013	"Zinshteyn"	"Δuba4_mRNA_2"	27	42001
2013	"Zinshteyn"	"Δuba4_mRNA_2"	28	872792
2013	"Zinshteyn"	"Δuba4_mRNA_2"	29	258773
2013	"Zinshteyn"	"Δuba4_mRNA_2"	30	244422
2013	"Zinshteyn"	"Δuba4_mRNA_2"	31	216958
2013	"Zinshteyn"	"Δuba4_mRNA_2"	32	175003
2013	"Zinshteyn"	"Δuba4_mRNA_2"	33	104253
2013	"Zinshteyn"	"Δuba4_mRNA_2"	34	41947
2013	"Zinshteyn"	"Δuba4_mRNA_2"	35	10049
2013	"Zinshteyn"	"Δuba4_mRNA_2"	36	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	37	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	38	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	39	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	40	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	41	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	42	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	43	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	44	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	45	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	46	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	47	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	48	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	49	0
2013	"Zinshteyn"	"Δuba4_mRNA_2"	50	0
