"Year"	"Author"	"Dataset"	"key"	"value"
2014	"Guydosh"	"dom34KO_disome_rpf"	15	444
2014	"Guydosh"	"dom34KO_disome_rpf"	16	170
2014	"Guydosh"	"dom34KO_disome_rpf"	17	328
2014	"Guydosh"	"dom34KO_disome_rpf"	18	309
2014	"Guydosh"	"dom34KO_disome_rpf"	19	442
2014	"Guydosh"	"dom34KO_disome_rpf"	20	489
2014	"Guydosh"	"dom34KO_disome_rpf"	21	667
2014	"Guydosh"	"dom34KO_disome_rpf"	22	884
2014	"Guydosh"	"dom34KO_disome_rpf"	23	1072
2014	"Guydosh"	"dom34KO_disome_rpf"	24	1255
2014	"Guydosh"	"dom34KO_disome_rpf"	25	1322
2014	"Guydosh"	"dom34KO_disome_rpf"	26	1631
2014	"Guydosh"	"dom34KO_disome_rpf"	27	4211
2014	"Guydosh"	"dom34KO_disome_rpf"	28	18143
2014	"Guydosh"	"dom34KO_disome_rpf"	29	11029
2014	"Guydosh"	"dom34KO_disome_rpf"	30	4375
2014	"Guydosh"	"dom34KO_disome_rpf"	31	2618
2014	"Guydosh"	"dom34KO_disome_rpf"	32	2202
2014	"Guydosh"	"dom34KO_disome_rpf"	33	2534
2014	"Guydosh"	"dom34KO_disome_rpf"	34	2607
2014	"Guydosh"	"dom34KO_disome_rpf"	35	2600
2014	"Guydosh"	"dom34KO_disome_rpf"	36	3544
2014	"Guydosh"	"dom34KO_disome_rpf"	37	4086
2014	"Guydosh"	"dom34KO_disome_rpf"	38	4690
2014	"Guydosh"	"dom34KO_disome_rpf"	39	5723
2014	"Guydosh"	"dom34KO_disome_rpf"	40	5937
2014	"Guydosh"	"dom34KO_disome_rpf"	41	5255
2014	"Guydosh"	"dom34KO_disome_rpf"	42	5917
2014	"Guydosh"	"dom34KO_disome_rpf"	43	4909
2014	"Guydosh"	"dom34KO_disome_rpf"	44	4881
2014	"Guydosh"	"dom34KO_disome_rpf"	45	7047
2014	"Guydosh"	"dom34KO_disome_rpf"	46	11039
2014	"Guydosh"	"dom34KO_disome_rpf"	47	6697
2014	"Guydosh"	"dom34KO_disome_rpf"	48	4068
2014	"Guydosh"	"dom34KO_disome_rpf"	49	3462
2014	"Guydosh"	"dom34KO_disome_rpf"	50	3091
