"Year"	"Author"	"Dataset"	"key"	"value"
2014	"Guydosh"	"dom34KO_glucose_starvation"	15	3383
2014	"Guydosh"	"dom34KO_glucose_starvation"	16	2470
2014	"Guydosh"	"dom34KO_glucose_starvation"	17	6383
2014	"Guydosh"	"dom34KO_glucose_starvation"	18	13698
2014	"Guydosh"	"dom34KO_glucose_starvation"	19	22614
2014	"Guydosh"	"dom34KO_glucose_starvation"	20	28092
2014	"Guydosh"	"dom34KO_glucose_starvation"	21	32259
2014	"Guydosh"	"dom34KO_glucose_starvation"	22	35583
2014	"Guydosh"	"dom34KO_glucose_starvation"	23	42453
2014	"Guydosh"	"dom34KO_glucose_starvation"	24	50876
2014	"Guydosh"	"dom34KO_glucose_starvation"	25	55456
2014	"Guydosh"	"dom34KO_glucose_starvation"	26	58404
2014	"Guydosh"	"dom34KO_glucose_starvation"	27	65944
2014	"Guydosh"	"dom34KO_glucose_starvation"	28	97540
2014	"Guydosh"	"dom34KO_glucose_starvation"	29	163011
2014	"Guydosh"	"dom34KO_glucose_starvation"	30	364186
2014	"Guydosh"	"dom34KO_glucose_starvation"	31	682815
2014	"Guydosh"	"dom34KO_glucose_starvation"	32	733561
2014	"Guydosh"	"dom34KO_glucose_starvation"	33	394913
2014	"Guydosh"	"dom34KO_glucose_starvation"	34	120468
2014	"Guydosh"	"dom34KO_glucose_starvation"	35	27793
2014	"Guydosh"	"dom34KO_glucose_starvation"	36	7288
2014	"Guydosh"	"dom34KO_glucose_starvation"	37	2712
2014	"Guydosh"	"dom34KO_glucose_starvation"	38	1274
2014	"Guydosh"	"dom34KO_glucose_starvation"	39	562
2014	"Guydosh"	"dom34KO_glucose_starvation"	40	187
2014	"Guydosh"	"dom34KO_glucose_starvation"	41	58
2014	"Guydosh"	"dom34KO_glucose_starvation"	42	13
2014	"Guydosh"	"dom34KO_glucose_starvation"	43	8
2014	"Guydosh"	"dom34KO_glucose_starvation"	44	1
2014	"Guydosh"	"dom34KO_glucose_starvation"	45	3
2014	"Guydosh"	"dom34KO_glucose_starvation"	46	0
2014	"Guydosh"	"dom34KO_glucose_starvation"	47	0
2014	"Guydosh"	"dom34KO_glucose_starvation"	48	0
2014	"Guydosh"	"dom34KO_glucose_starvation"	49	1
2014	"Guydosh"	"dom34KO_glucose_starvation"	50	0
