"Year"	"Author"	"Dataset"	"key"	"value"
2014	"Lareau"	"ANS_rep_2"	15	12385
2014	"Lareau"	"ANS_rep_2"	16	40018
2014	"Lareau"	"ANS_rep_2"	17	75422
2014	"Lareau"	"ANS_rep_2"	18	89851
2014	"Lareau"	"ANS_rep_2"	19	129398
2014	"Lareau"	"ANS_rep_2"	20	632678
2014	"Lareau"	"ANS_rep_2"	21	849900
2014	"Lareau"	"ANS_rep_2"	22	363378
2014	"Lareau"	"ANS_rep_2"	23	41358
2014	"Lareau"	"ANS_rep_2"	24	19202
2014	"Lareau"	"ANS_rep_2"	25	18618
2014	"Lareau"	"ANS_rep_2"	26	16129
2014	"Lareau"	"ANS_rep_2"	27	17754
2014	"Lareau"	"ANS_rep_2"	28	48470
2014	"Lareau"	"ANS_rep_2"	29	51175
2014	"Lareau"	"ANS_rep_2"	30	23833
2014	"Lareau"	"ANS_rep_2"	31	16111
2014	"Lareau"	"ANS_rep_2"	32	7464
2014	"Lareau"	"ANS_rep_2"	33	2467
2014	"Lareau"	"ANS_rep_2"	34	820
2014	"Lareau"	"ANS_rep_2"	35	546
2014	"Lareau"	"ANS_rep_2"	36	393
2014	"Lareau"	"ANS_rep_2"	37	0
2014	"Lareau"	"ANS_rep_2"	38	0
2014	"Lareau"	"ANS_rep_2"	39	0
2014	"Lareau"	"ANS_rep_2"	40	0
2014	"Lareau"	"ANS_rep_2"	41	0
2014	"Lareau"	"ANS_rep_2"	42	0
2014	"Lareau"	"ANS_rep_2"	43	0
2014	"Lareau"	"ANS_rep_2"	44	0
2014	"Lareau"	"ANS_rep_2"	45	0
2014	"Lareau"	"ANS_rep_2"	46	0
2014	"Lareau"	"ANS_rep_2"	47	0
2014	"Lareau"	"ANS_rep_2"	48	0
2014	"Lareau"	"ANS_rep_2"	49	0
2014	"Lareau"	"ANS_rep_2"	50	0
