"Year"	"Author"	"Dataset"	"key"	"value"
2014	"Pop"	"ACA-K_rpf"	15	57881
2014	"Pop"	"ACA-K_rpf"	16	269451
2014	"Pop"	"ACA-K_rpf"	17	534124
2014	"Pop"	"ACA-K_rpf"	18	679593
2014	"Pop"	"ACA-K_rpf"	19	931454
2014	"Pop"	"ACA-K_rpf"	20	900900
2014	"Pop"	"ACA-K_rpf"	21	783946
2014	"Pop"	"ACA-K_rpf"	22	873048
2014	"Pop"	"ACA-K_rpf"	23	859367
2014	"Pop"	"ACA-K_rpf"	24	808269
2014	"Pop"	"ACA-K_rpf"	25	946653
2014	"Pop"	"ACA-K_rpf"	26	1109832
2014	"Pop"	"ACA-K_rpf"	27	1831710
2014	"Pop"	"ACA-K_rpf"	28	5433028
2014	"Pop"	"ACA-K_rpf"	29	7683698
2014	"Pop"	"ACA-K_rpf"	30	5257137
2014	"Pop"	"ACA-K_rpf"	31	2457284
2014	"Pop"	"ACA-K_rpf"	32	667724
2014	"Pop"	"ACA-K_rpf"	33	95693
2014	"Pop"	"ACA-K_rpf"	34	18183
2014	"Pop"	"ACA-K_rpf"	35	10481
2014	"Pop"	"ACA-K_rpf"	36	8534
2014	"Pop"	"ACA-K_rpf"	37	6820
2014	"Pop"	"ACA-K_rpf"	38	6054
2014	"Pop"	"ACA-K_rpf"	39	4897
2014	"Pop"	"ACA-K_rpf"	40	4350
2014	"Pop"	"ACA-K_rpf"	41	3783
2014	"Pop"	"ACA-K_rpf"	42	3092
2014	"Pop"	"ACA-K_rpf"	43	2386
2014	"Pop"	"ACA-K_rpf"	44	1432
2014	"Pop"	"ACA-K_rpf"	45	825
2014	"Pop"	"ACA-K_rpf"	46	335
2014	"Pop"	"ACA-K_rpf"	47	106
2014	"Pop"	"ACA-K_rpf"	48	26
2014	"Pop"	"ACA-K_rpf"	49	7
2014	"Pop"	"ACA-K_rpf"	50	1
