"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	15	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	16	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	17	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	18	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	19	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	20	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	21	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	22	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	23	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	24	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	25	19807
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	26	28486
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	27	50982
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	28	136991
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	29	946036
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	30	2722246
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	31	4333996
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	32	2821541
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	33	684424
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	34	30742
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	35	3258
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	36	382
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	37	26
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	38	8
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	39	8
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	40	2
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	41	5
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	42	4
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	43	2
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	44	2
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	45	14
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	46	7
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	47	5
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	48	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	49	0
2015	"Nedialkova"	"WT_ribo_YPD_noCHX_rep1"	50	0
