"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	15	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	16	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	17	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	18	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	19	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	20	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	21	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	22	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	23	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	24	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	25	11504
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	26	22621
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	27	47012
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	28	235203
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	29	1499186
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	30	2715670
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	31	1696384
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	32	309551
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	33	15441
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	34	568
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	35	44
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	36	9
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	37	3
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	38	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	39	1
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	40	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	41	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	42	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	43	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	44	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	45	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	46	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	47	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	48	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	49	0
2015	"Nedialkova"	"WT_ribo_diamide_rep2"	50	0
