"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	15	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	16	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	17	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	18	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	19	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	20	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	21	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	22	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	23	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	24	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	25	11582
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	26	21488
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	27	45862
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	28	96167
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	29	658115
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	30	2086437
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	31	3205697
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	32	2610289
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	33	888320
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	34	49410
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	35	2252
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	36	333
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	37	41
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	38	2
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	39	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	40	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	41	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	42	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	43	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	44	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	45	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	46	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	47	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	48	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	49	0
2015	"Nedialkova"	"WT_ribo_rapamycin_rep2"	50	0
