"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	15	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	16	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	17	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	18	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	19	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	20	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	21	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	22	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	23	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	24	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	25	19310
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	26	33204
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	27	53876
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	28	103194
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	29	592519
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	30	2001582
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	31	3430663
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	32	1909396
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	33	376730
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	34	22425
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	35	2734
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	36	201
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	37	26
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	38	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	39	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	40	8
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	41	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	42	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	43	7
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	44	1
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	45	9
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	46	8
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	47	1
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	48	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	49	0
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep2"	50	0
