"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	15	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	16	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	17	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	18	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	19	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	20	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	21	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	22	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	23	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	24	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	25	7644
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	26	16095
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	27	41971
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	28	100141
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	29	768832
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	30	2375883
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	31	3561639
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	32	2653732
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	33	801617
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	34	35583
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	35	2031
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	36	220
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	37	41
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	38	7
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	39	1
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	40	2
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	41	2
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	42	4
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	43	4
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	44	1
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	45	3
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	46	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	47	1
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	48	2
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	49	0
2015	"Nedialkova"	"elp6Δ_ribo_rapamycin_rep1"	50	0
