"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	15	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	16	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	17	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	18	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	19	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	20	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	21	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	22	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	23	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	24	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	25	39292
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	26	67302
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	27	113109
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	28	352979
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	29	2802787
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	30	5641896
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	31	5222094
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	32	2450096
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	33	464755
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	34	17274
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	35	1442
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	36	346
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	37	83
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	38	13
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	39	2
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	40	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	41	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	42	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	43	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	44	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	45	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	46	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	47	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	48	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	49	0
2015	"Nedialkova"	"elp6Δ_ribo_tEKQ_rep2"	50	0
