"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	15	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	16	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	17	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	18	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	19	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	20	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	21	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	22	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	23	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	24	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	25	3741
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	26	8655
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	27	16996
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	28	33050
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	29	220135
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	30	604841
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	31	724173
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	32	324190
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	33	45079
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	34	1737
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	35	167
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	36	20
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	37	5
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	38	1
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	39	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	40	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	41	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	42	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	43	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	44	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	45	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	46	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	47	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	48	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	49	0
2015	"Nedialkova"	"hbs1Δ_ribo_YPD_rep1"	50	0
