"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	15	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	16	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	17	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	18	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	19	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	20	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	21	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	22	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	23	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	24	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	25	17187
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	26	27288
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	27	45554
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	28	147491
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	29	1638306
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	30	3910382
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	31	4192250
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	32	1904307
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	33	318777
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	34	8836
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	35	810
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	36	127
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	37	24
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	38	3
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	39	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	40	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	41	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	42	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	43	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	44	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	45	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	46	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	47	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	48	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	49	0
2015	"Nedialkova"	"ncs2Δ_ribo_YPD_rep2"	50	0
