"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	15	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	16	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	17	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	18	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	19	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	20	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	21	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	22	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	23	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	24	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	25	4859
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	26	6127
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	27	9830
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	28	22266
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	29	90431
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	30	213559
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	31	300146
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	32	357191
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	33	267773
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	34	70429
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	35	13703
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	36	6246
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	37	1845
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	38	427
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	39	61
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	40	14
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	41	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	42	1
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	43	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	44	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	45	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	46	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	47	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	48	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	49	0
2015	"Nedialkova"	"ncs2Δelp6Δ_ribo_paromomycin_rep1"	50	0
