"Year"	"Author"	"Dataset"	"key"	"value"
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	15	38
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	16	65
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	17	144
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	18	216
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	19	377
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	20	459
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	21	672
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	22	727
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	23	883
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	24	1042
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	25	1179
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	26	1317
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	27	1423
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	28	2684
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	29	3099
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	30	2995
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	31	3204
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	32	3955
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	33	5791
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	34	10189
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	35	18896
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	36	31304
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	37	44524
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	38	56846
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	39	63593
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	40	66208
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	41	68345
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	42	73661
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	43	88130
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	44	130718
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	45	243173
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	46	403343
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	47	608411
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	48	1039501
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	49	2245795
2015	"Sen"	"mRNA_WT_TIF1_rep_2_37_deg"	50	2182085
