Position	Counts	End
-20	1031	5
-19	1101	5
-18	1251	5
-17	1620	5
-16	1575	5
-15	1127	5
-14	1381	5
-13	1637	5
-12	1458	5
-11	1742	5
-10	1425	5
-9	1555	5
-8	1945	5
-7	1736	5
-6	1844	5
-5	1860	5
-4	1784	5
-3	2279	5
-2	2153	5
-1	1777	5
0	1911	5
1	1984	5
2	2126	5
3	1422	5
4	2248	5
5	2812	5
6	1253	5
7	1500	5
8	655	5
9	1186	5
10	1183	5
11	1828	5
12	1314	5
13	1398	5
14	1556	5
15	1313	5
16	1405	5
17	1536	5
18	1448	5
19	1549	5
20	1692	5
21	1390	5
22	1898	5
23	2152	5
24	1541	5
25	2091	5
-20	1878	3
-19	1570	3
-18	1742	3
-17	1885	3
-16	1596	3
-15	1629	3
-14	1601	3
-13	1470	3
-12	1377	3
-11	1490	3
-10	1095	3
-9	1090	3
-8	1273	3
-7	1191	3
-6	1220	3
-5	1466	3
-4	1332	3
-3	1149	3
-2	959	3
-1	1032	3
0	1312	3
1	895	3
2	3780	3
3	1225	3
4	950	3
5	964	3
6	1169	3
7	987	3
8	1055	3
9	853	3
10	923	3
11	1262	3
12	816	3
13	983	3
14	977	3
15	870	3
16	992	3
17	879	3
18	707	3
19	800	3
20	851	3
21	886	3
22	868	3
23	854	3
24	985	3
25	879	3
