Position	Counts	End
-20	702	5
-19	693	5
-18	657	5
-17	751	5
-16	749	5
-15	758	5
-14	670	5
-13	733	5
-12	701	5
-11	2997	5
-10	32880	5
-9	132157	5
-8	145623	5
-7	78753	5
-6	36379	5
-5	26212	5
-4	18115	5
-3	23680	5
-2	26346	5
-1	17804	5
0	32058	5
1	23639	5
2	14685	5
3	46822	5
4	13432	5
5	42694	5
6	11627	5
7	14576	5
8	14866	5
9	22157	5
10	20371	5
11	11088	5
12	16492	5
13	19265	5
14	12313	5
15	13625	5
16	18014	5
17	10469	5
18	14177	5
19	14771	5
20	9328	5
21	16101	5
22	14847	5
23	8727	5
24	13032	5
25	14232	5
-20	4695	3
-19	8803	3
-18	8623	3
-17	3364	3
-16	4823	3
-15	4979	3
-14	1442	3
-13	367	3
-12	174	3
-11	168	3
-10	179	3
-9	143	3
-8	147	3
-7	145	3
-6	120	3
-5	120	3
-4	158	3
-3	71	3
-2	92	3
-1	138	3
0	160	3
1	108	3
2	78	3
3	68	3
4	88	3
5	92	3
6	103	3
7	100	3
8	89	3
9	76	3
10	92	3
11	68	3
12	84	3
13	72	3
14	116	3
15	121	3
16	132	3
17	85	3
18	94	3
19	78	3
20	93	3
21	92	3
22	85	3
23	82	3
24	113	3
25	81	3
