Position	Mean	SD	End	BG	DataType
1	0.686405175752881	0.0125199719182725	5	Data	mRNA
2	0.70760688002324	0.0115421346954585	5	Data	mRNA
3	0.712267599496466	0.0116061053548949	5	Data	mRNA
4	0.709800159775346	0.0116243826861625	5	Data	mRNA
5	0.714643652561247	0.0116243826861625	5	Data	mRNA
6	0.714369492592234	0.0116061053548949	5	Data	mRNA
7	0.715283359155611	0.0114873027016559	5	Data	mRNA
8	0.71208482618379	0.0111583107388399	5	Data	mRNA
9	0.708155199961267	0.0110029534230658	5	Data	mRNA
10	0.708703519899293	0.0109755374261644	5	Data	mRNA
11	0.705322213614796	0.00976923356250605	5	Data	mRNA
12	0.705322213614796	0.00974181756560472	5	Data	mRNA
13	0.705413600271134	0.00968698557180207	5	Data	mRNA
14	0.705779146896485	0.0096778469061683	5	Data	mRNA
15	0.705048053645783	0.00955904425292921	5	Data	mRNA
16	0.702580613924664	0.00945851893095768	5	Data	mRNA
17	0.69865098770214	0.0093397162777186	5	Data	mRNA
18	0.700204560859882	0.00925746828701462	5	Data	mRNA
19	0.698468214389464	0.00918435896194442	5	Data	mRNA
20	0.696457707950034	0.00921177495884574	5	Data	mRNA
21	0.697554347826087	0.00918435896194442	5	Data	mRNA
22	0.694081654885252	0.00912038830250799	5	Data	mRNA
23	0.691522828507795	0.00873290887963591	5	Data	mRNA
24	0.691888375133146	0.00875484167715697	5	Data	mRNA
25	0.689786482037378	0.00873656434588942	5	Data	mRNA
26	0.688232908879636	0.00874204754526968	5	Data	mRNA
27	0.68805013556696	0.00874478914495981	5	Data	mRNA
28	0.686496562409219	0.00875210007746684	5	Data	mRNA
29	0.684120509344437	0.0087658080759175	5	Data	mRNA
30	0.681013363028953	0.00819281374067977	5	Data	mRNA
31	0.678637309964172	0.00817088094315871	5	Data	mRNA
32	0.676992350150092	0.00805756148929989	5	Data	mRNA
33	0.677357896775443	0.008004557228624	5	Data	mRNA
34	0.677814830057132	0.00796434709983538	5	Data	mRNA
35	0.675073230366999	0.00789306550789193	5	Data	mRNA
36	0.67342827055292	0.00785285537910332	5	Data	mRNA
37	0.674250750459959	0.00788666844194829	5	Data	mRNA
38	0.67178331073884	0.0076216471385688	5	Data	mRNA
39	0.671143604144476	0.00762073327200542	5	Data	mRNA
40	0.672788563958555	0.0076582018011039	5	Data	mRNA
41	0.668493391110681	0.0076216471385688	5	Data	mRNA
42	0.667579524547303	0.00806670015493367	5	Data	mRNA
43	0.664472378231819	0.00802557615958168	5	Data	mRNA
44	0.666574271327588	0.00825404280042607	5	Data	mRNA
45	0.667670911203641	0.0082567844001162	5	Data	mRNA
46	0.665020698169846	0.00827780333107388	5	Data	mRNA
47	0.664198218262806	0.00829699452890481	5	Data	mRNA
48	0.666757044640263	0.00826775079887673	5	Data	mRNA
49	0.667762297859979	0.00831344412704561	5	Data	mRNA
50	0.667122591265614	0.0086433499564249	5	Data	mRNA
51	0.667853684516316	0.00868904328459378	5	Data	mRNA
