Position	Mean	SD	End	BG	DataType
1	0.774834041214409	0.0173494415604845	5	Data	mRNA
2	0.797827277017461	0.0175679723139846	5	Data	mRNA
3	0.792601541607677	0.0147175711813749	5	Data	mRNA
4	0.789561113732893	0.0146225578102879	5	Data	mRNA
5	0.791936448010068	0.0145655497876357	5	Data	mRNA
6	0.788230926537675	0.0133018719521787	5	Data	mRNA
7	0.786520685858109	0.0105844895390908	5	Data	mRNA
8	0.789181060248545	0.010451470819569	5	Data	mRNA
9	0.791841434638981	0.0101569293691993	5	Data	mRNA
10	0.790701274185937	0.00813314456504641	5	Data	mRNA
11	0.792696554978764	0.00807423627497247	5	Data	mRNA
12	0.794501809029416	0.00807138587383986	5	Data	mRNA
13	0.795261915998112	0.00807613654239421	5	Data	mRNA
14	0.796782129935504	0.00804763253106811	5	Data	mRNA
15	0.800012584552462	0.00809323894918987	5	Data	mRNA
16	0.800867704892245	0.00783670284725499	5	Data	mRNA
17	0.802102878716376	0.00784430391694195	5	Data	mRNA
18	0.803718106024854	0.00764857637250275	5	Data	mRNA
19	0.804193172880289	0.00768943212207016	5	Data	mRNA
20	0.805713386817681	0.00766662891300928	5	Data	mRNA
21	0.80827874783703	0.00759251848356143	5	Data	mRNA
22	0.809418908290074	0.00760962089035709	5	Data	mRNA
23	0.803908132767028	0.00674119867862199	5	Data	mRNA
24	0.80542834670442	0.00674689948088721	5	Data	mRNA
25	0.806188453673116	0.00674024854491112	5	Data	mRNA
26	0.805238319962246	0.00670699386503068	5	Data	mRNA
27	0.804858266477898	0.00669274185936763	5	Data	mRNA
28	0.803718106024854	0.00669179172565676	5	Data	mRNA
29	0.800107597923549	0.0065388201982067	5	Data	mRNA
30	0.798682397357244	0.00655877300613497	5	Data	mRNA
31	0.798207330501809	0.00656827434324367	5	Data	mRNA
32	0.79944250432594	0.00650841591945886	5	Data	mRNA
33	0.798207330501809	0.00639630014157622	5	Data	mRNA
34	0.798207330501809	0.00644570709454145	5	Data	mRNA
35	0.794976875884851	0.00634404278747837	5	Data	mRNA
36	0.795736982853547	0.00635449425829794	5	Data	mRNA
37	0.796972156677678	0.00632123957841749	5	Data	mRNA
38	0.794786849142677	0.00628228409627183	5	Data	mRNA
39	0.792791568349851	0.006273732892874	5	Data	mRNA
40	0.796117036337895	0.00629083529966966	5	Data	mRNA
41	0.79060626081485	0.00623002674217398	5	Data	mRNA
42	0.794121755545068	0.0064979644486393	5	Data	mRNA
43	0.794501809029416	0.00647516123957842	5	Data	mRNA
44	0.794216768916155	0.0064599591002045	5	Data	mRNA
45	0.794596822400503	0.00648561271039799	5	Data	mRNA
46	0.790986314299198	0.006412452414661	5	Data	mRNA
47	0.790416234072676	0.00644760736196319	5	Data	mRNA
48	0.791176341041372	0.00644665722825232	5	Data	mRNA
49	0.788515966650936	0.00642385401919144	5	Data	mRNA
50	0.785570552147239	0.00642955482145666	5	Data	mRNA
51	0.785475538776152	0.00644760736196319	5	Data	mRNA
52	0.783385244612238	0.0064504577630958	5	Data	mRNA
53	0.782435110901369	0.00644475696083058	5	Data	mRNA
54	0.782530124272456	0.00642670442032405	5	Data	mRNA
55	0.780724870221803	0.00636684599653925	5	Data	mRNA
56	0.779679723139846	0.00635829479314142	5	Data	mRNA
57	0.778539562686802	0.00635544439200881	5	Data	mRNA
58	0.776259241780714	0.00604760106968696	5	Data	mRNA
59	0.776259241780714	0.00606660374390436	5	Data	mRNA
60	0.776259241780714	0.00609225735409785	5	Data	mRNA
61	0.772268680195061	0.00605615227308479	5	Data	mRNA
62	0.77103350637093	0.00604760106968696	5	Data	mRNA
63	0.773503854019192	0.00605235173824131	5	Data	mRNA
64	0.771698599968539	0.00605805254050653	5	Data	mRNA
65	0.771413559855278	0.0059801415762152	5	Data	mRNA
66	0.772363693566148	0.00600294478527607	5	Data	mRNA
67	0.770748466257669	0.00600389491898694	5	Data	mRNA
68	0.770653452886582	0.00596873997168476	5	Data	mRNA
69	0.769513292433538	0.00596683970426302	5	Data	mRNA
70	0.769513292433538	0.00605235173824131	5	Data	mRNA
71	0.769798332546799	0.00604855120339783	5	Data	mRNA
72	0.770368412773321	0.00611030989460437	5	Data	mRNA
73	0.770463426144408	0.00609130722038697	5	Data	mRNA
