Position	Mean	SD	End	BG	DataType
1	0.778652188921255	0.0092633548723104	5	Data	mRNA
2	0.78669932839572	0.00927249934898593	5	Data	mRNA
3	0.780389639489605	0.00922677696560829	5	Data	mRNA
4	0.780846863323381	0.00920848801225723	5	Data	mRNA
5	0.780938308090137	0.0091335033035179	5	Data	mRNA
6	0.773256947682693	0.00770422159913279	5	Data	mRNA
7	0.768684709344928	0.00755790997232433	5	Data	mRNA
8	0.765209808208228	0.00747195189157436	5	Data	mRNA
9	0.760820459403974	0.00736221817146802	5	Data	mRNA
10	0.75624822106621	0.00720401872498138	5	Data	mRNA
11	0.751767427495201	0.0071162317488963	5	Data	mRNA
12	0.747195189157436	0.00698729462777135	5	Data	mRNA
13	0.743354508953714	0.00685744305897885	5	Data	mRNA
14	0.738325046782174	0.00677422832123154	5	Data	mRNA
15	0.732106802642814	0.0067458804435374	5	Data	mRNA
16	0.72598000327021	0.00670107250782731	5	Data	mRNA
17	0.72113343063218	0.00668918468814912	5	Data	mRNA
18	0.716195413227395	0.00654470195667577	5	Data	mRNA
19	0.709519945254259	0.00637187134750828	5	Data	mRNA
20	0.702570142980857	0.00629139995276363	5	Data	mRNA
21	0.696809122675274	0.00624384867405088	5	Data	mRNA
22	0.690773768069425	0.00612314158193391	5	Data	mRNA
23	0.686201529731661	0.00614874611662539	5	Data	mRNA
24	0.679708951292036	0.00607559030322116	5	Data	mRNA
25	0.672576259485124	0.00600609228048714	5	Data	mRNA
26	0.667638242080338	0.00602895347217596	5	Data	mRNA
27	0.661145663640713	0.00605181466386478	5	Data	mRNA
28	0.657030649136725	0.00602255233850309	5	Data	mRNA
29	0.650995294530876	0.00603169681517862	5	Data	mRNA
30	0.646148721892846	0.00604358463485681	5	Data	mRNA
31	0.646697390493378	0.00607010361721584	5	Data	mRNA
32	0.648800620128749	0.0060883925705669	5	Data	mRNA
33	0.650812404997366	0.00609113591356956	5	Data	mRNA
34	0.64724605909391	0.00608199143689403	5	Data	mRNA
35	0.64587438759258	0.00607650475088871	5	Data	mRNA
36	0.644228381790985	0.00607376140788605	5	Data	mRNA
37	0.639107474852689	0.00592562088574249	5	Data	mRNA
38	0.637370024284339	0.00591921975206962	5	Data	mRNA
39	0.634718126048436	0.00591281861839675	5	Data	mRNA
40	0.632523451646309	0.00589910190338346	5	Data	mRNA
41	0.630786001077958	0.00588721408370527	5	Data	mRNA
42	0.630420222010937	0.00584240614799518	5	Data	mRNA
43	0.628499881909076	0.00579668376461754	5	Data	mRNA
44	0.627951213308544	0.00572901463721863	5	Data	mRNA
45	0.627128210407747	0.00566683219582503	5	Data	mRNA
46	0.626122317973439	0.00565951661448461	5	Data	mRNA
47	0.625482204606152	0.00564214210880111	5	Data	mRNA
48	0.624750646472109	0.00560647864976654	5	Data	mRNA
49	0.623104640670514	0.00554886844671071	5	Data	mRNA
50	0.622373082536472	0.00553240838869476	5	Data	mRNA
51	0.622555972069982	0.00548302821464691	5	Data	mRNA
52	0.622190193002961	0.00544279251727458	5	Data	mRNA
53	0.624201977871578	0.0053842678665512	5	Data	mRNA
54	0.624659201705354	0.0053531766458544	5	Data	mRNA
55	0.624019088338067	0.00529099420446081	5	Data	mRNA
56	0.626122317973439	0.00530928315781187	5	Data	mRNA
57	0.627859768541789	0.00539158344789162	5	Data	mRNA
58	0.627768323775034	0.00537055115153791	5	Data	mRNA
59	0.628499881909076	0.00538792565722141	5	Data	mRNA
60	0.630054442943916	0.00542999024992884	5	Data	mRNA
61	0.629048550509608	0.00541901687791821	5	Data	mRNA
62	0.630511666777692	0.00542176022092087	5	Data	mRNA
63	0.631883338279022	0.00542084577325331	5	Data	mRNA
64	0.630786001077958	0.00542358911625597	5	Data	mRNA
65	0.633437899313862	0.00541901687791821	5	Data	mRNA
66	0.635083905115457	0.00541627353491555	5	Data	mRNA
67	0.636455576616786	0.00541627353491555	5	Data	mRNA
68	0.638558806252158	0.00542084577325331	5	Data	mRNA
69	0.638375916718647	0.00541444463958044	5	Data	mRNA
70	0.63791869288487	0.00545102254628256	5	Data	mRNA
71	0.638467361485402	0.00540072792456715	5	Data	mRNA
72	0.638924585319179	0.00536140667486238	5	Data	mRNA
73	0.638101582418381	0.00536415001786504	5	Data	mRNA
74	0.639930477753487	0.0053531766458544	5	Data	mRNA
75	0.640387701587263	0.00536780780853525	5	Data	mRNA
76	0.641119259721305	0.00537055115153791	5	Data	mRNA
77	0.643313934123432	0.00538884010488896	5	Data	mRNA
78	0.644502716091251	0.00545010809861501	5	Data	mRNA
