Position	Mean	SD	End	BG	DataType
1	0.721559670497458	0.0063702191028533	5	Data	mRNA
2	0.720990392650912	0.00620512852735487	5	Data	mRNA
3	0.721654550138549	0.00618615259913666	5	Data	mRNA
4	0.725165096858918	0.00604478193391099	5	Data	mRNA
5	0.728296125014923	0.0059650830353945	5	Data	mRNA
6	0.733514505274931	0.00597646859232543	5	Data	mRNA
7	0.736835292713118	0.00540149796731365	5	Data	mRNA
8	0.741484395126579	0.00536354611087723	5	Data	mRNA
9	0.744141025077129	0.00535405814676812	5	Data	mRNA
10	0.748031090361862	0.00534362138624811	5	Data	mRNA
11	0.751162118517867	0.00527815443389528	5	Data	mRNA
12	0.751921155646595	0.00523925378104795	5	Data	mRNA
13	0.7550521838026	0.00523640739181522	5	Data	mRNA
14	0.757613934112058	0.00512160302609504	5	Data	mRNA
15	0.761124480832427	0.00514627173277872	5	Data	mRNA
16	0.76491966647607	0.00514152775072416	5	Data	mRNA
17	0.765963342528071	0.00506847042708405	5	Data	mRNA
18	0.769094370684076	0.00516999164305148	5	Data	mRNA
19	0.771751000634625	0.00515481090047691	5	Data	mRNA
20	0.774312750944084	0.00515860608612055	5	Data	mRNA
21	0.775830825201541	0.00515575969688782	5	Data	mRNA
22	0.778107936587726	0.00515291330765509	5	Data	mRNA
23	0.779910649768456	0.00514722052918963	5	Data	mRNA
24	0.780385047973911	0.00512350061891686	5	Data	mRNA
25	0.78209288151355	0.00514247654713508	5	Data	mRNA
26	0.784275113258644	0.00512350061891686	5	Data	mRNA
27	0.783705835412098	0.00507890718760407	5	Data	mRNA
28	0.784939270746282	0.00506941922349496	5	Data	mRNA
29	0.788260058184469	0.0050722656127277	5	Data	mRNA
30	0.788639576748833	0.00506277764861859	5	Data	mRNA
31	0.790537169570654	0.00506277764861859	5	Data	mRNA
32	0.791865484545929	0.00507036801990587	5	Data	mRNA
33	0.79290916059793	0.00506562403785132	5	Data	mRNA
34	0.792150123469202	0.00504759690604402	5	Data	mRNA
35	0.793288679162294	0.00504095533116765	5	Data	mRNA
36	0.791485965981565	0.00487491595925831	5	Data	mRNA
37	0.792055243828111	0.00487396716284739	5	Data	mRNA
38	0.793383558803386	0.00488250633054559	5	Data	mRNA
39	0.793288679162294	0.00486827438438193	5	Data	mRNA
40	0.793288679162294	0.00486447919873829	5	Data	mRNA
41	0.793004040239021	0.00484455447410917	5	Data	mRNA
42	0.793288679162294	0.00487112077361466	5	Data	mRNA
43	0.793573318085568	0.00489673827670925	5	Data	mRNA
44	0.792245003110293	0.0048834551269565	5	Data	mRNA
45	0.790062771365199	0.00488155753413468	5	Data	mRNA
46	0.788829336031015	0.00483506651000006	5	Data	mRNA
47	0.791485965981565	0.0049195093905711	5	Data	mRNA
48	0.790537169570654	0.00499636189985485	5	Data	mRNA
49	0.785318789310646	0.00501344023525124	5	Data	mRNA
50	0.79290916059793	0.00502197940294944	5	Data	mRNA
51	0.783516076129916	0.00508934394812408	5	Data	mRNA
52	0.789967891724108	0.00520130192461153	5	Data	mRNA
53	0.795755549830662	0.00519750673896789	5	Data	mRNA
54	0.796419707318299	0.00518801877485878	5	Data	mRNA
55	0.798696818704485	0.00515481090047691	5	Data	mRNA
56	0.798032661216847	0.00512065422968413	5	Data	mRNA
57	0.796040188753935	0.0050997807086441	5	Data	mRNA
58	0.796799225882663	0.0051263470081496	5	Data	mRNA
59	0.797748022293574	0.00512160302609504	5	Data	mRNA
60	0.797653142652483	0.00512065422968413	5	Data	mRNA
61	0.798696818704485	0.00508365116965862	5	Data	mRNA
62	0.799076337268849	0.00507321440913861	5	Data	mRNA
63	0.798886577986667	0.00506657283426223	5	Data	mRNA
64	0.799360976192122	0.00508839515171317	5	Data	mRNA
65	0.801353448655034	0.005334133422139	5	Data	mRNA
66	0.800594411526306	0.00533508221854991	5	Data	mRNA
67	0.801638087578307	0.00533223582931718	5	Data	mRNA
68	0.800689291167397	0.00521458507436428	5	Data	mRNA
69	0.800404652244123	0.00521743146359701	5	Data	mRNA
70	0.801163689372852	0.00520130192461153	5	Data	mRNA
71	0.802966402553582	0.00522881702052793	5	Data	mRNA
72	0.802112485783762	0.00523071461334975	5	Data	mRNA
73	0.802492004348127	0.00523640739181522	5	Data	mRNA
74	0.805338393580858	0.00535121175753539	5	Data	mRNA
75	0.80372543968231	0.00529997675134622	5	Data	mRNA
76	0.803440800759037	0.00522976581693884	5	Data	mRNA
77	0.805907671427404	0.00526012730208798	5	Data	mRNA
78	0.805907671427404	0.00525443452362252	5	Data	mRNA
79	0.806192310350678	0.00531895267956443	5	Data	mRNA
80	0.808754060660136	0.00550966075815745	5	Data	mRNA
81	0.80733086604377	0.00545747695555737	5	Data	mRNA
82	0.807520625325952	0.00545273297350282	5	Data	mRNA
83	0.808469421736863	0.00544134741657189	5	Data	mRNA
84	0.809228458865591	0.00544798899144827	5	Data	mRNA
85	0.810556773840866	0.00546222093761192	5	Data	mRNA
86	0.811695329533959	0.00541383232065549	5	Data	mRNA
87	0.811600449892868	0.00539865157808092	5	Data	mRNA
88	0.811505570251777	0.00540529315295729	5	Data	mRNA
89	0.812264607380505	0.00538916361397181	5	Data	mRNA
90	0.812169727739414	0.00539106120679363	5	Data	mRNA
91	0.813687801996871	0.00542901306323005	5	Data	mRNA
92	0.81454171876669	0.0054147811170664	5	Data	mRNA
93	0.813403163073598	0.00539106120679363	5	Data	mRNA
94	0.81454171876669	0.00539865157808092	5	Data	mRNA
95	0.817577867281604	0.00542806426681914	5	Data	mRNA
96	0.817103469076149	0.00543375704528461	5	Data	mRNA
97	0.816154672665238	0.00534362138624811	5	Data	mRNA
98	0.815680274459783	0.00520225072102244	5	Data	mRNA
99	0.815585394818692	0.00520604590666608	5	Data	mRNA
100	0.815964913383056	0.00523640739181522	5	Data	mRNA
101	0.81634443194742	0.00527530804466255	5	Data	mRNA
102	0.816154672665238	0.00526012730208798	5	Data	mRNA
103	0.81634443194742	0.00527435924825164	5	Data	mRNA
104	0.817957385845968	0.00526771767337526	5	Data	mRNA
105	0.817008589435058	0.00528479600877165	5	Data	mRNA
106	0.81719834871724	0.00527151285901891	5	Data	mRNA
107	0.819190821180152	0.0052620248949098	5	Data	mRNA
108	0.818811302615788	0.0052525369308007	5	Data	mRNA
109	0.819570339744516	0.0052439977631025	5	Data	mRNA
110	0.821657691848519	0.00542237148835368	5	Data	mRNA
111	0.820519136155427	0.00541572991347731	5	Data	mRNA
112	0.820993534360882	0.00542047389553186	5	Data	mRNA
113	0.822321849336157	0.00544039862016098	5	Data	mRNA
114	0.822037210412883	0.00543375704528461	5	Data	mRNA
115	0.8208037750787	0.00518517238562605	5	Data	mRNA
116	0.822511608618339	0.00517283803228421	5	Data	mRNA
117	0.821278173284155	0.00518517238562605	5	Data	mRNA
118	0.822511608618339	0.00525728091285525	5	Data	mRNA
119	0.825073358927797	0.00527530804466255	5	Data	mRNA
120	0.823745043952522	0.00529048878723712	5	Data	mRNA
121	0.823365525388158	0.00531136230827715	5	Data	mRNA
122	0.825642636774343	0.00530946471545533	5	Data	mRNA
123	0.826496553544163	0.00533033823649536	5	Data	mRNA
124	0.825832396056526	0.0052259706312952	5	Data	mRNA
125	0.827255590672891	0.00522881702052793	5	Data	mRNA
126	0.826781192467436	0.00522217544565156	5	Data	mRNA
127	0.826401673903072	0.00521458507436428	5	Data	mRNA
128	0.827919748160529	0.00520889229589881	5	Data	mRNA
129	0.826117034979799	0.00511591024762958	5	Data	mRNA
130	0.823365525388158	0.00490812383364017	5	Data	mRNA
131	0.824788720004524	0.00493089494750203	5	Data	mRNA
132	0.824978479286706	0.00492520216903656	5	Data	mRNA
133	0.824978479286706	0.00495841004341843	5	Data	mRNA
134	0.827065831390709	0.00494228050443295	5	Data	mRNA
135	0.825642636774343	0.00494607569007659	5	Data	mRNA
136	0.825168238568888	0.00493089494750203	5	Data	mRNA
137	0.828109507442711	0.00493469013314567	5	Data	mRNA
138	0.834276684113629	0.00794996512701933	5	Data	mRNA
139	0.834561323036903	0.00794237475573205	5	Data	mRNA
140	0.834656202677994	0.00790062771365199	5	Data	mRNA
141	0.83342276734381	0.007911064474172	5	Data	mRNA
142	0.827255590672891	0.00493469013314567	5	Data	mRNA
143	0.828394146365984	0.0049375365223784	5	Data	mRNA
144	0.827729988878347	0.00491666300133837	5	Data	mRNA
145	0.827824868519438	0.00492140698339292	5	Data	mRNA
146	0.829342942776895	0.00499636189985485	5	Data	mRNA
147	0.829248063135804	0.00500774745678578	5	Data	mRNA
148	0.828868544571439	0.00498782273215666	5	Data	mRNA
149	0.830196859546714	0.00496884680393845	5	Data	mRNA
150	0.829248063135804	0.00504000653475674	5	Data	mRNA
151	0.828583905648166	0.00497643717522573	5	Data	mRNA
152	0.83076613739326	0.00507036801990587	5	Data	mRNA
153	0.829532702059077	0.00506941922349496	5	Data	mRNA
154	0.829153183494712	0.00507321440913861	5	Data	mRNA
155	0.830955896675443	0.00509598552300046	5	Data	mRNA
156	0.830955896675443	0.00508649755889135	5	Data	mRNA
157	0.830291739187805	0.00509883191223319	5	Data	mRNA
158	0.831809813445262	0.00510357589428774	5	Data	mRNA
159	0.830671257752169	0.00508839515171317	5	Data	mRNA
160	0.829532702059077	0.00488819910901105	5	Data	mRNA
161	0.830955896675443	0.00483316891717824	5	Data	mRNA
162	0.830101979905623	0.00480850021049457	5	Data	mRNA
163	0.829532702059077	0.00478667789304363	5	Data	mRNA
164	0.831240535598716	0.00476580437200359	5	Data	mRNA
165	0.831525174521989	0.00482178336024732	5	Data	mRNA
166	0.829912220623441	0.00473544288685446	5	Data	mRNA
167	0.831430294880898	0.00476295798277086	5	Data	mRNA
168	0.830386618828896	0.00475062362942903	5	Data	mRNA
169	0.829248063135804	0.00477624113252361	5	Data	mRNA
170	0.831904693086353	0.00479331946792	5	Data	mRNA
171	0.830481498469987	0.00480185863561819	5	Data	mRNA
172	0.829058303853621	0.00479806344997455	5	Data	mRNA
173	0.829058303853621	0.00479426826433091	5	Data	mRNA
174	0.827255590672891	0.00479616585715273	5	Data	mRNA
175	0.827065831390709	0.00476295798277086	5	Data	mRNA
176	0.830671257752169	0.00478288270739998	5	Data	mRNA
177	0.829437822417986	0.0047847803002218	5	Data	mRNA
178	0.82896342421253	0.00479711465356364	5	Data	mRNA
179	0.832284211650717	0.00483601530641097	5	Data	mRNA
180	0.833897165549265	0.00486447919873829	5	Data	mRNA
181	0.832948369138355	0.00489863586953107	5	Data	mRNA
182	0.834086924831447	0.00490243105517471	5	Data	mRNA
183	0.833707406267083	0.00488819910901105	5	Data	mRNA
184	0.832473970932899	0.00486732558797102	5	Data	mRNA
185	0.834940841601267	0.00486827438438193	5	Data	mRNA
186	0.834656202677994	0.00489199429465469	5	Data	mRNA
187	0.832663730215081	0.00487681355208013	5	Data	mRNA
188	0.833612526625992	0.00488060873772377	5	Data	mRNA
189	0.832853489497264	0.00485404243821827	5	Data	mRNA
190	0.832948369138355	0.00485214484539645	5	Data	mRNA
191	0.834466443395811	0.00485783762386192	5	Data	mRNA
192	0.834276684113629	0.00486922318079284	5	Data	mRNA
193	0.833992045190356	0.00485119604898554	5	Data	mRNA
194	0.83617427693545	0.00488155753413468	5	Data	mRNA
195	0.836269156576541	0.00495651245059661	5	Data	mRNA
196	0.835794758371086	0.00492140698339292	5	Data	mRNA
197	0.836743554781997	0.00489294309106561	5	Data	mRNA
198	0.836933314064179	0.00489768707312016	5	Data	mRNA
199	0.83702819370527	0.00491476540851655	5	Data	mRNA
200	0.838071869757271	0.00481419298896003	5	Data	mRNA
201	0.838166749398362	0.00480944900690548	5	Data	mRNA
202	0.835699878729995	0.00475536761148358	5	Data	mRNA
203	0.838451388321636	0.00485214484539645	5	Data	mRNA
204	0.838166749398362	0.00514342534354599	5	Data	mRNA
205	0.837312832628543	0.00514816932560054	5	Data	mRNA
206	0.839115545809273	0.00515006691842236	5	Data	mRNA
207	0.838166749398362	0.00514627173277872	5	Data	mRNA
208	0.837882110475089	0.0051624012717642	5	Data	mRNA
209	0.840918258990003	0.00520604590666608	5	Data	mRNA
210	0.839020666168182	0.00521363627795336	5	Data	mRNA
211	0.838736027244909	0.00526961526619709	5	Data	mRNA
212	0.843100490735097	0.00543660343451734	5	Data	mRNA
213	0.842056814683096	0.00543565463810643	5	Data	mRNA
214	0.839969462579093	0.00534077499701538	5	Data	mRNA
215	0.841677296118732	0.00531990147597534	5	Data	mRNA
216	0.841202897913276	0.00532938944008445	5	Data	mRNA
217	0.841867055400914	0.00533223582931718	5	Data	mRNA
218	0.843764648222735	0.00532844064367354	5	Data	mRNA
219	0.842626092529642	0.00531895267956443	5	Data	mRNA
