Position	Mean	SD	End	BG	DataType
1	0.959031136623639	0.0428954570727249	5	Data	mRNA
2	0.951040032615151	0.0428461292702033	5	Data	mRNA
3	0.978466290817123	0.0427672047861689	5	Data	mRNA
4	0.980143436102855	0.0429053226332292	5	Data	mRNA
5	0.98221520380876	0.0428559948307076	5	Data	mRNA
6	0.98349772667432	0.0427968014676818	5	Data	mRNA
7	0.988529162531516	0.0427474736651603	5	Data	mRNA
8	0.991488830682808	0.0427474736651603	5	Data	mRNA
9	0.957748613758079	0.0198495077346648	5	Data	mRNA
10	0.963667950060663	0.019888969976682	5	Data	mRNA
11	0.949757509749591	0.0138413813875421	5	Data	mRNA
12	0.945318007522653	0.0109803688412932	5	Data	mRNA
13	0.951927933060539	0.0109705032807889	5	Data	mRNA
14	0.949954820959677	0.0107929231917114	5	Data	mRNA
15	0.950842721405065	0.0105857464211209	5	Data	mRNA
16	0.951927933060539	0.0105956119816252	5	Data	mRNA
17	0.957748613758079	0.0130324054261889	5	Data	mRNA
18	0.958833825413553	0.0130718676682062	5	Data	mRNA
19	0.957945924968166	0.0130324054261889	5	Data	mRNA
20	0.955479534842089	0.0129633465026588	5	Data	mRNA
21	0.955676846052175	0.0129929431841717	5	Data	mRNA
22	0.957156680127821	0.0129238842606416	5	Data	mRNA
23	0.95005347656472	0.0119965215732368	5	Data	mRNA
24	0.948376331278988	0.0119767904522281	5	Data	mRNA
25	0.947291119623515	0.0119471937707152	5	Data	mRNA
26	0.943344895421792	0.011907731528698	5	Data	mRNA
27	0.939497326825112	0.0118682692866808	5	Data	mRNA
28	0.938905393194854	0.0118386726051679	5	Data	mRNA
29	0.931012944791409	0.0117893448026463	5	Data	mRNA
30	0.925981508934212	0.0112368734144052	5	Data	mRNA
31	0.926474786959428	0.0112072767328922	5	Data	mRNA
32	0.92430436364848	0.0111974111723879	5	Data	mRNA
33	0.920555450656844	0.011296066777431	5	Data	mRNA
34	0.915819981614777	0.0111579489303707	5	Data	mRNA
35	0.910985856967666	0.0111579489303707	5	Data	mRNA
36	0.909604678497064	0.0111283522488578	5	Data	mRNA
37	0.913057624673571	0.011167814490875	5	Data	mRNA
38	0.910393923337408	0.0111480833698664	5	Data	mRNA
39	0.907828877606288	0.0111382178093621	5	Data	mRNA
40	0.909506022892021	0.0111579489303707	5	Data	mRNA
41	0.907631566396202	0.0111283522488578	5	Data	mRNA
42	0.903192064169264	0.010940906599276	5	Data	mRNA
43	0.905461143085255	0.0109310410387717	5	Data	mRNA
44	0.904079964614652	0.0109803688412932	5	Data	mRNA
45	0.904967865060039	0.0109705032807889	5	Data	mRNA
46	0.903192064169264	0.010940906599276	5	Data	mRNA
47	0.907730222001245	0.0116610925160903	5	Data	mRNA
48	0.904474587034824	0.00899640462387714	5	Data	mRNA
49	0.904869209454996	0.00883460943160651	5	Data	mRNA
50	0.903783997799523	0.00881981109085005	5	Data	mRNA
51	0.905263831875169	0.00882967665135436	5	Data	mRNA
52	0.904869209454996	0.00881191864244661	5	Data	mRNA
53	0.903981309009609	0.00880402619404316	5	Data	mRNA
54	0.901810885698661	0.00880698586219445	5	Data	mRNA
55	0.905263831875169	0.00883855565580823	5	Data	mRNA
56	0.903882653404566	0.00886913889337158	5	Data	mRNA
57	0.905066520665083	0.00889577590673321	5	Data	mRNA
58	0.913945525118958	0.0106153431026338	5	Data	mRNA
59	0.915524014799648	0.0106252086631381	5	Data	mRNA
60	0.912860313463485	0.0104574941345649	5	Data	mRNA
61	0.915524014799648	0.0104476285740606	5	Data	mRNA
62	0.911479134992882	0.00991488830682808	5	Data	mRNA
63	0.90980198970715	0.00987542606481085	5	Data	mRNA
64	0.913748213908872	0.00992475386733238	5	Data	mRNA
65	0.911873757413054	0.00987542606481085	5	Data	mRNA
66	0.913550902698786	0.00990502274632377	5	Data	mRNA
67	0.916609226455121	0.00991488830682808	5	Data	mRNA
68	0.915030736774432	0.00993461942783669	5	Data	mRNA
69	0.914438803144174	0.00996421610934961	5	Data	mRNA
70	0.921344695497188	0.0103884352110348	5	Data	mRNA
71	0.918582338555982	0.0103983007715391	5	Data	mRNA
72	0.917003848875293	0.0103588385295219	5	Data	mRNA
73	0.921246039892145	0.0103588385295219	5	Data	mRNA
