ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	Data	Corr
YAL001C	3.06445798922692	NA	-4.9	NA	NA	NA	21.4	2.24525787961424	1
YAL002W	3.10516942799933	1	-0.7	-7	136	0.352941176470588	30.5	0.474494384160623	0
YAL003W	2.31386722036915	0	0	-1.5	22	0.363636363636364	23.7	2.50872004260797	1
YAL007C	2.33243845991561	0	-3.2	-9.4	76	0.381578947368421	22.2	1.38014577107438	0
YAL008W	2.29666519026153	0	-1.4	-9.3	49	0.408163265306122	28.7	1.98054259337343	0
YAL009W	2.41329976408125	0	-1.7	-18	26	0.384615384615385	34.9	1.14492422324443	0
YAL010C	2.69284691927723	0	-0.4	-5.5	42	0.380952380952381	30.4	0.768877777959591	0
YAL011W	2.79588001734408	0	-0.3	-9	15	0.333333333333333	33.9	1.10251009046596	0
YAL012W	2.59549622182557	0	0	-1.5	65	0.4	28.7	1.41551652420129	0
YAL013W	2.60745502321467	0	-2.8	-8	19	0.263157894736842	30.2	1.72210004148062	0
YAL014C	2.40654018043396	1	-2.5	-13.3	49	0.408163265306122	38.4	1.62839337877666	0
YAL015C	2.60097289568675	NA	0	NA	NA	NA	10.2	1.55638881422939	0
YAL016W	2.80277372529198	0	-1.2	-6.9	88	0.375	24.3	1.67437295805704	1
YAL017W	3.13225968953104	NA	-1.6	NA	NA	NA	0.7	1.66959214013132	1
YAL018C	2.51188336097887	NA	0	NA	NA	NA	NA	3.45767797126123	1
YAL019W	3.05346260492546	0	0	-13.4	111	0.333333333333333	22	0.416348240667237	0
YAL020C	2.52244423350632	NA	-3.6	NA	NA	NA	NA	-Inf	0
YAL021C	2.92272545799326	NA	-0.1	NA	NA	NA	31.1	1.30183763621719	0
YAL022C	2.71349054309394	0	-2.3	-11.7	17	0.294117647058824	35.8	1.10791587409428	0
YAL023C	2.88024177589548	0	-0.9	-5.9	89	0.370786516853933	23.9	1.70043223239202	1
YAL024C	3.15685190107001	NA	-1.3	NA	NA	NA	19.5	0.791418358747891	0
YAL025C	2.48572142648158	0	-1.3	-7.2	24	0.333333333333333	32.5	1.29840312510494	0
YAL026C	3.13193929521042	NA	-4.7	NA	NA	NA	NA	1.7904825740709	1
YAL027W	2.41664050733828	1	-3.3	-4.9	81	0.37037037037037	31.3	1.83099489843705	0
YAL028W	2.72263392253381	NA	-0.9	NA	NA	NA	44.8	0.49699516248922	0
YAL029C	3.16761267272753	NA	0	NA	NA	NA	26.4	1.0026283808674	0
YAL030W	2.06818586174616	0	-3.1	-11	23	0.347826086956522	24.2	2.43954130198104	1
YAL031C	2.88081359228079	NA	-0.2	NA	NA	NA	28.5	1.51168331397378	0
YAL032C	2.57863920996807	0	-5.7	-5	21	0.333333333333333	37.4	1.28900900950637	0
YAL033W	2.2380461031288	NA	0	NA	NA	NA	27.7	1.35307495696258	0
YAL034C	2.6159500516564	NA	-1	NA	NA	NA	NA	1.07711555205188	0
YAL034W-A	2.46089784275655	0	-0.4	-9	45	0.377777777777778	30.1	1.73688249471413	0
YAL035W	3.00086772153123	0	-0.7	-4	27	0.37037037037037	21.4	1.17933637422129	0
YAL036C	2.56702636615906	NA	-2.6	NA	NA	NA	20.5	0.999096373845229	0
YAL037C-A	1.47712125471966	NA	-4.8	NA	NA	NA	NA	-Inf	0
YAL037W	2.42651126136458	NA	-2.1	NA	NA	NA	NA	0.655378917992729	0
YAL038W	2.69897000433602	0	0	-4	28	0.392857142857143	19	1.97855336554097	1
YAL039C	2.42975228000241	0	0	-3.2	57	0.385964912280702	32	2.0782963884264	1
YAL040C	2.76342799356294	1	0	-8.8	322	0.397515527950311	30.1	0.633485442761405	0
YAL041W	2.931457870689	0	-0.9	-13.7	33	0.393939393939394	21.1	1.28227865778112	0
YAL042W	2.61804809671209	0	0	-11.7	17	0.294117647058824	26.9	1.29694745060436	0
YAL043C	2.89486965674525	NA	0	NA	NA	NA	3.3	1.64615023502388	1
YAL044C	2.23044892137827	0	0	-7.3	10	0.5	25.3	3.10741100423788	1
YAL044W-A	2.04139268515822	0	0	-12.7	2	1	34.2	2.03355360506075	0
YAL046C	2.07188200730613	NA	0	NA	NA	NA	NA	1.99316755208132	0
YAL047C	2.79379038469082	NA	0	NA	NA	NA	NA	0.825791718615128	0
YAL048C	2.8208579894397	0	-4	-13.2	2	1	NA	1.00352943234886	0
YAL049C	2.39093510710338	NA	0	NA	NA	NA	27.5	1.75572905021837	0
YAL051W	3.01994668167884	0	-0.3	-8.8	26	0.384615384615385	33	1.51807427154786	1
YAL053W	2.89376176205794	NA	0	NA	NA	NA	29.3	1.08988481140742	0
YAL054C	2.85308952985187	NA	-0.4	NA	NA	NA	NA	2.93702781927675	1
YAL055W	2.25527250510331	0	0	-3.4	1	1	30.4	2.2181488039963	1
YAL056W	2.94448267215017	NA	0	NA	NA	NA	22.9	0.854526202410927	0
YAL058W	2.70070371714502	NA	0	NA	NA	NA	28.8	0.957570315862209	0
YAL059W	2.32633586092875	NA	-1.9	NA	NA	NA	NA	1.22610561709023	0
YAL060W	2.58206336291171	NA	-2.1	NA	NA	NA	NA	1.57452408805554	0
YAL061W	2.62013605497376	NA	-1	NA	NA	NA	NA	2.31819238209376	1
YAL067C	2.77305469336426	NA	0	NA	NA	NA	NA	1.631303352892	0
YAR002C-A	2.34044411484012	NA	-0.3	NA	NA	NA	NA	2.43485906861644	1
YAR002W	2.73158876518674	0	-1.1	-3.9	43	0.372093023255814	25.1	1.37761331736392	0
YAR003W	2.62940959910272	0	0	-11.5	86	0.383720930232558	35.3	2.03806759180907	1
YAR007C	2.79309160017658	NA	0	NA	NA	NA	27	1.81769832902285	1
YAR008W	2.43933269383026	NA	-2.2	NA	NA	NA	28.2	0.643300425055003	0
YAR014C	2.85064623518307	0	-4.7	-11.8	151	0.357615894039735	33.9	1.07135878998054	0
YAR015W	2.48572142648158	0	0	-12.6	104	0.336538461538462	27.4	1.85470562587223	0
YAR018C	2.63848925695464	NA	-3.3	NA	NA	NA	NA	1.23152043325054	0
YAR019C	2.98855895687862	0	-2	-10.3	34	0.382352941176471	20.6	1.03307842694115	0
YAR023C	2.25285303097989	NA	-2.2	NA	NA	NA	57	1.1846471621243	0
YAR027W	2.37106786227174	NA	0	NA	NA	NA	NA	1.18448278116779	0
YAR028W	2.36921585741014	NA	-4.5	NA	NA	NA	32.4	2.18135938941092	1
