"Year"	"Author"	"Dataset"	"Position"	"X5prime"	"Reads"	"SD"	"Type"	"DataType"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	499	0	1.1503	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	498	0	0.9633	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	497	0	0.9742	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	496	0	0.9596	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	495	0	0.9642	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	494	0	1.0422	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	493	0	0.8815	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	492	0	1.0168	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	491	0	1.1548	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	490	0	1.1975	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	489	0	1.1221	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	488	0	0.995	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	487	0	1.0214	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	486	0	0.9769	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	485	0	1.1639	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	484	0	1.1076	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	483	0	1.123	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	482	0	0.9151	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	481	0	0.9533	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	480	0	1.035	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	479	0	1.0323	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	478	0	1.0404	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	477	0	0.9062	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	476	0	0.9378	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	475	0	0.9351	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	474	0	1.0531	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	473	0	0.9397	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	472	0	0.833	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	471	0	0.8577	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	470	0	1.2456	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	469	0	0.8812	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	468	0	0.9533	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	467	0	0.9505	0	100	"RPF"
"2012"	"Brar"	"rpf_15_tp_ndt80_release_tc"	466	0	0.9106	0	100	"RPF"
