Position	Counts	End
-20	1909	5
-19	1892	5
-18	1612	5
-17	1519	5
-16	1310	5
-15	1370	5
-14	1358	5
-13	1159	5
-12	1235	5
-11	1008	5
-10	2174	5
-9	14835	5
-8	106611	5
-7	536465	5
-6	107041	5
-5	45618	5
-4	141553	5
-3	38648	5
-2	35917	5
-1	100338	5
0	33400	5
1	66963	5
2	116126	5
3	24018	5
4	22944	5
5	153100	5
6	29633	5
7	9256	5
8	109879	5
9	35086	5
10	40355	5
11	79428	5
12	24327	5
13	26151	5
14	94027	5
15	22341	5
16	28438	5
17	95092	5
18	26838	5
19	29926	5
20	80216	5
21	23424	5
22	31275	5
23	79261	5
24	25837	5
25	29305	5
-20	78012	3
-19	22213	3
-18	26137	3
-17	77122	3
-16	21741	3
-15	31062	3
-14	71858	3
-13	18933	3
-12	5832	3
-11	9974	3
-10	3911	3
-9	5000	3
-8	8702	3
-7	3272	3
-6	2980	3
-5	5748	3
-4	1865	3
-3	1487	3
-2	4497	3
-1	1051	3
0	1363	3
1	4352	3
2	1427	3
3	901	3
4	3070	3
5	917	3
6	1004	3
7	2649	3
8	803	3
9	872	3
10	2050	3
11	657	3
12	816	3
13	1905	3
14	722	3
15	868	3
16	1486	3
17	733	3
18	723	3
19	1914	3
20	638	3
21	714	3
22	1631	3
23	567	3
24	656	3
25	1178	3
