Position	Counts	End
-20	325	5
-19	362	5
-18	382	5
-17	356	5
-16	387	5
-15	417	5
-14	379	5
-13	416	5
-12	315	5
-11	427	5
-10	649	5
-9	8470	5
-8	74448	5
-7	97670	5
-6	8176	5
-5	13034	5
-4	16681	5
-3	4883	5
-2	13830	5
-1	14489	5
0	5408	5
1	21554	5
2	17777	5
3	4938	5
4	13653	5
5	26315	5
6	5468	5
7	10036	5
8	13588	5
9	4076	5
10	13657	5
11	13801	5
12	4210	5
13	11624	5
14	16457	5
15	3376	5
16	10928	5
17	15978	5
18	3646	5
19	10068	5
20	13567	5
21	3173	5
22	10823	5
23	12634	5
24	3012	5
25	9479	5
-20	4780	3
-19	1127	3
-18	4054	3
-17	5240	3
-16	980	3
-15	1702	3
-14	1849	3
-13	645	3
-12	448	3
-11	754	3
-10	402	3
-9	365	3
-8	381	3
-7	249	3
-6	291	3
-5	243	3
-4	144	3
-3	140	3
-2	130	3
-1	95	3
0	63	3
1	74	3
2	77	3
3	64	3
4	61	3
5	65	3
6	52	3
7	55	3
8	70	3
9	64	3
10	42	3
11	48	3
12	35	3
13	42	3
14	52	3
15	42	3
16	79	3
17	66	3
18	36	3
19	37	3
20	55	3
21	47	3
22	51	3
23	36	3
24	47	3
25	40	3
