Position	Mean	SD	End	BG	DataType
1	4.59908735332464	0.117308487296085	5	Data	RPF
2	12.2308964289121	0.235968454860559	5	Data	RPF
3	5.70054377206093	0.133607339332846	5	Data	RPF
4	5.97354278627532	0.133431646897955	5	Data	RPF
5	7.1101376919897	0.156366267052501	5	Data	RPF
6	8.76299806022832	0.181503800044519	5	Data	RPF
7	4.93155149934811	0.125187617260788	5	Data	RPF
8	6.01273571405858	0.134756097560976	5	Data	RPF
9	5.9532705822495	0.13947276369765	5	Data	RPF
10	5.99381499030114	0.136904951187713	5	Data	RPF
11	5.83839475943651	0.127187808058002	5	Data	RPF
12	5.91272617419786	0.131580118930264	5	Data	RPF
13	5.65053900213057	0.121349413298566	5	Data	RPF
14	5.397812191942	0.120565554742901	5	Data	RPF
15	5.42619327757815	0.121700798168347	5	Data	RPF
16	5.00993735491462	0.114524437943206	5	Data	RPF
17	4.68152764969631	0.102361115527713	5	Data	RPF
18	4.61125067574013	0.105307342512799	5	Data	RPF
19	4.4450186027284	0.100482557954654	5	Data	RPF
20	4.48556301078004	0.10523976849938	5	Data	RPF
21	4.07741596972684	0.0933602569402487	5	Data	RPF
22	4.22067287817598	0.0985634559735428	5	Data	RPF
23	4.01795083791777	0.0944819855630108	5	Data	RPF
24	4.05849524596941	0.100928546443222	5	Data	RPF
25	3.99362419308678	0.0960361878716571	5	Data	RPF
26	3.97470346932935	0.096955194454161	5	Data	RPF
27	3.80036251470729	0.0946441631952173	5	Data	RPF
28	3.75846662638726	0.0899815562692785	5	Data	RPF
29	3.59899195471746	0.0875894361942316	5	Data	RPF
30	3.69224409323624	0.089697745412917	5	Data	RPF
31	3.57736827042325	0.0870758736922441	5	Data	RPF
32	3.48006169109931	0.0856433046077527	5	Data	RPF
33	3.43816580277928	0.0852243457245524	5	Data	RPF
34	3.24625560466817	0.0842918243393646	5	Data	RPF
35	3.31653257862435	0.0822510891340986	5	Data	RPF
36	3.23814672305784	0.0828997996629249	5	Data	RPF
37	3.12732534105002	0.0796157026107419	5	Data	RPF
38	3.09624129487709	0.0777371450376825	5	Data	RPF
39	3.1408401437339	0.0808050052469234	5	Data	RPF
40	3.06110280789901	0.0798049098483162	5	Data	RPF
41	2.92865774159697	0.0794535249785353	5	Data	RPF
42	2.89081629408211	0.0792913473463287	5	Data	RPF
43	2.76783158965879	0.0744395331828155	5	Data	RPF
44	2.80297007663688	0.0784399147772443	5	Data	RPF
45	2.71377237892327	0.0728447864661176	5	Data	RPF
46	2.60159951664706	0.0701012815212898	5	Data	RPF
47	2.49888701624956	0.0660873851241772	5	Data	RPF
48	2.46510000953986	0.0690876713199987	5	Data	RPF
49	2.49753553598118	0.0715068210004134	5	Data	RPF
50	2.31103125894362	0.0669928769039972	5	Data	RPF
51	2.2569720482081	0.0632627913632461	5	Data	RPF
52	2.20561579800935	0.0637358094571819	5	Data	RPF
53	2.12587846217445	0.0609652749069864	5	Data	RPF
54	2.06641333036538	0.0602354755620568	5	Data	RPF
55	1.92450790218463	0.056924348904506	5	Data	RPF
56	2.04614112633956	0.0580460775272681	5	Data	RPF
57	1.78530543454066	0.0526401564537158	5	Data	RPF
58	1.79341431615098	0.0538429738925812	5	Data	RPF
59	1.90423569815881	0.0580731071326359	5	Data	RPF
60	1.71908290138964	0.0513292205933793	5	Data	RPF
61	1.678538493338	0.0552485133717048	5	Data	RPF
62	1.62583076287086	0.0515184278309537	5	Data	RPF
63	1.6555633287754	0.0532753521798582	5	Data	RPF
64	1.50149457817916	0.0472612649855312	5	Data	RPF
65	1.44743536744364	0.0459368143225109	5	Data	RPF
66	1.47581645307979	0.0523563455973543	5	Data	RPF
