ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	Data	Corr
YAL001C	3.06445798922692	NA	-4.9	NA	NA	NA	21.4	1.33861126009681	1
YAL002W	3.10516942799933	1	-0.7	-7	136	0.352941176470588	30.5	0.495188645881602	0
YAL003W	2.31386722036915	0	0	-1.5	22	0.363636363636364	23.7	2.75070875331881	1
YAL007C	2.33243845991561	0	-3.2	-9.4	76	0.381578947368421	22.2	1.37376475520244	0
YAL008W	2.29666519026153	0	-1.4	-9.3	49	0.408163265306122	28.7	2.0089236837607	1
YAL009W	2.41329976408125	0	-1.7	-18	26	0.384615384615385	34.9	1.16561848496541	0
YAL010C	2.69284691927723	0	-0.4	-5.5	42	0.380952380952381	30.4	1.07480776816132	0
YAL011W	2.79588001734408	0	-0.3	-9	15	0.333333333333333	33.9	1.18404414203746	0
YAL012W	2.59549622182557	0	0	-1.5	65	0.4	28.7	2.09435851737312	1
YAL013W	2.60745502321467	0	-2.8	-8	19	0.263157894736842	30.2	1.84774265803306	1
YAL014C	2.40654018043396	1	-2.5	-13.3	49	0.408163265306122	38.4	1.71603443012826	0
YAL015C	2.60097289568675	NA	0	NA	NA	NA	10.2	1.61928075574482	0
YAL016W	2.80277372529198	0	-1.2	-6.9	88	0.375	24.3	2.3076618826451	1
YAL017W	3.13225968953104	NA	-1.6	NA	NA	NA	0.7	1.37152763922789	1
YAL018C	2.51188336097887	NA	0	NA	NA	NA	NA	0.880514602887272	0
YAL019W	3.05346260492546	0	0	-13.4	111	0.333333333333333	22	1.06281676781662	0
YAL020C	2.52244423350632	NA	-3.6	NA	NA	NA	NA	0.217250466310144	0
YAL021C	2.92272545799326	NA	-0.1	NA	NA	NA	31.1	1.56997906552952	1
YAL022C	2.71349054309394	0	-2.3	-11.7	17	0.294117647058824	35.8	0.635694613912364	0
YAL023C	2.88024177589548	0	-0.9	-5.9	89	0.370786516853933	23.9	1.43352243567345	1
YAL024C	3.15685190107001	NA	-1.3	NA	NA	NA	19.5	0.201097786487982	0
YAL025C	2.48572142648158	0	-1.3	-7.2	24	0.333333333333333	32.5	1.36609394950214	0
YAL026C	3.13193929521042	NA	-4.7	NA	NA	NA	NA	0.956094574871018	0
YAL027W	2.41664050733828	1	-3.3	-4.9	81	0.37037037037037	31.3	1.46350898877515	0
YAL028W	2.72263392253381	NA	-0.9	NA	NA	NA	44.8	1.13871725461414	0
YAL029C	3.16761267272753	NA	0	NA	NA	NA	26.4	0.910618362397091	0
YAL030W	2.06818586174616	0	-3.1	-11	23	0.347826086956522	24.2	2.28324159286445	1
YAL031C	2.88081359228079	NA	-0.2	NA	NA	NA	28.5	1.43296289793416	1
YAL032C	2.57863920996807	0	-5.7	-5	21	0.333333333333333	37.4	2.13670308914881	1
YAL033W	2.2380461031288	NA	0	NA	NA	NA	27.7	1.18188369244465	0
YAL034C	2.6159500516564	NA	-1	NA	NA	NA	NA	2.83020357359582	1
YAL034W-A	2.46089784275655	0	-0.4	-9	45	0.377777777777778	30.1	1.20507554454797	0
YAL035W	3.00086772153123	0	-0.7	-4	27	0.37037037037037	21.4	1.73964433886629	1
YAL036C	2.56702636615906	NA	-2.6	NA	NA	NA	20.5	1.30502636404696	0
YAL037C-A	1.47712125471966	NA	-4.8	NA	NA	NA	NA	-Inf	0
YAL037W	2.42651126136458	NA	-2.1	NA	NA	NA	NA	-Inf	0
YAL038W	2.69897000433602	0	0	-4	28	0.392857142857143	19	3.01757590007991	1
YAL039C	2.42975228000241	0	0	-3.2	57	0.385964912280702	32	1.9282944229784	1
YAL040C	2.76342799356294	1	0	-8.8	322	0.397515527950311	30.1	1.28620291918779	0
YAL041W	2.931457870689	0	-0.9	-13.7	33	0.393939393939394	21.1	1.28345077979962	0
YAL042W	2.61804809671209	0	0	-11.7	17	0.294117647058824	26.9	1.87004916920911	1
YAL043C	2.89486965674525	NA	0	NA	NA	NA	3.3	1.57707017719981	1
YAL044C	2.23044892137827	0	0	-7.3	10	0.5	25.3	2.41669463644719	1
YAL044W-A	2.04139268515822	0	0	-12.7	2	1	34.2	2.01042487599825	0
YAL046C	2.07188200730613	NA	0	NA	NA	NA	NA	1.5067058527848	0
YAL047C	2.79379038469082	NA	0	NA	NA	NA	NA	1.13172170881686	0
YAL048C	2.8208579894397	0	-4	-13.2	2	1	NA	1.24100204189473	0
YAL049C	2.39093510710338	NA	0	NA	NA	NA	27.5	2.35433696171932	1
YAL051W	3.01994668167884	0	-0.3	-8.8	26	0.384615384615385	33	1.56340292314122	1
YAL053W	2.89376176205794	NA	0	NA	NA	NA	29.3	2.2409128416234	1
YAL054C	2.85308952985187	NA	-0.4	NA	NA	NA	NA	4.10330934399757	1
YAL055W	2.25527250510331	0	0	-3.4	1	1	30.4	1.2453251932452	0
YAL056W	2.94448267215017	NA	0	NA	NA	NA	22.9	1.42105753122103	1
YAL058W	2.70070371714502	NA	0	NA	NA	NA	28.8	0.699228875625375	0
YAL059W	2.32633586092875	NA	-1.9	NA	NA	NA	NA	1.3794254440858	0
YAL060W	2.58206336291171	NA	-2.1	NA	NA	NA	NA	2.38040286289136	1
YAL061W	2.62013605497376	NA	-1	NA	NA	NA	NA	2.91893324762454	1
YAL067C	2.77305469336426	NA	0	NA	NA	NA	NA	1.10614601752229	0
YAR002C-A	2.34044411484012	NA	-0.3	NA	NA	NA	NA	1.51894030920181	0
YAR002W	2.73158876518674	0	-1.1	-3.9	43	0.372093023255814	25.1	1.3963015963873	0
YAR003W	2.62940959910272	0	0	-11.5	86	0.383720930232558	35.3	0.855190568965947	0
YAR007C	2.79309160017658	NA	0	NA	NA	NA	27	2.33742606518626	1
YAR008W	2.43933269383026	NA	-2.2	NA	NA	NA	28.2	0.994987905817407	0
YAR014C	2.85064623518307	0	-4.7	-11.8	151	0.357615894039735	33.9	1.20119752112659	0
YAR015W	2.48572142648158	0	0	-12.6	104	0.336538461538462	27.4	2.24997367794103	1
YAR018C	2.63848925695464	NA	-3.3	NA	NA	NA	NA	-0.194943336370704	0
YAR019C	2.98855895687862	0	-2	-10.3	34	0.382352941176471	20.6	1.32127965018245	1
YAR023C	2.25285303097989	NA	-2.2	NA	NA	NA	57	1.64547911231177	0
YAR027W	2.37106786227174	NA	0	NA	NA	NA	NA	2.40929702554469	1
YAR028W	2.36921585741014	NA	-4.5	NA	NA	NA	32.4	1.55213981208235	0
YAR029W	1.86923171973098	NA	0	NA	NA	NA	NA	-Inf	0
YAR035W	2.83695673705955	NA	0	NA	NA	NA	NA	3.29753251063778	1
YAR042W	3.07481644064517	NA	0	NA	NA	NA	NA	1.58312779327073	1
YBL001C	2.01703333929878	0	-2.1	-9.2	62	0.403225806451613	20.2	2.34677033686049	1
YBL002W	2.11727129565576	0	0	-2.8	24	0.333333333333333	24.7	3.1503307988138	1
YBL004W	3.39672227850377	NA	-0.4	NA	NA	NA	22.5	1.04252989473862	1
YBL005W	2.98944981766669	NA	-3	NA	NA	NA	41.1	0.968221243743469	0
YBL006C	2.25527250510331	NA	-2.2	NA	NA	NA	30.8	1.74592754381439	0
YBL007C	3.0948203803548	0	-1.4	-11.9	50	0.42	28.5	2.0752777779655	1
YBL008W	2.92427928606188	NA	-4.6	NA	NA	NA	26.1	0.869485516330632	0
YBL008W-A	1.89762709129044	NA	-3.3	NA	NA	NA	NA	1.47911406210573	0
YBL009W	2.82994669594164	1	-2.2	-10.5	38	0.394736842105263	32.1	1.39020242726071	0
YBL010C	2.44715803134222	0	-1.4	-14.4	3	0.666666666666667	20.7	1.30982524692873	0
YBL011W	2.88024177589548	1	-1.9	-9.7	102	0.343137254901961	19.2	1.22341208932833	0
YBL013W	2.60314437262018	0	-0.1	-3.5	67	0.388059701492537	4.7	1.0431648705015	0
YBL014C	2.95133751879592	NA	-2.4	NA	NA	NA	NA	0.403605250822169	0
YBL015W	2.72098574415374	0	0	-4.3	93	0.354838709677419	21.5	3.48696874284812	1
YBL016W	2.54777470538782	NA	0	NA	NA	NA	NA	1.21428370742448	0
YBL017C	3.19838213000829	NA	-1.2	NA	NA	NA	NA	1.49997058004407	1
YBL018C	2.12385164096709	1	-0.1	-9.6	34	0.382352941176471	27.9	1.48886960049232	0
YBL019W	2.7160033436348	0	-2.4	-13.3	33	0.393939393939394	35.3	0.809351328855496	0
YBL020W	2.75891189239797	0	-1.5	-9.5	56	0.392857142857143	40.4	0.533630281302945	0
YBL021C	2.15836249209525	0	-1.7	-7.1	48	0.395833333333333	32.1	1.65188892927291	0
YBL022C	3.0542299098634	0	-1.3	-11.9	120	0.358333333333333	19.7	1.76851862188247	1
YBL023C	2.93851972517649	NA	0	NA	NA	NA	NA	1.15654771679749	0
YBL024W	2.83505610172012	NA	-1.6	NA	NA	NA	28.7	1.38521525878964	0
YBL025W	2.16136800223497	0	0	-5.1	49	0.408163265306122	NA	1.53000782119029	0
YBL026W	1.97772360528885	NA	-1.7	NA	NA	NA	30.5	1.95601919615315	0
YBL028C	2.02530586526477	0	-1.4	-6.9	28	0.392857142857143	30	2.16353982966446	0
YBL029C-A	1.9731278535997	1	0	-7.6	118	0.355932203389831	24.3	3.03807189810198	1
YBL029W	2.57518784492766	NA	0	NA	NA	NA	6.1	1.01197870406688	0
YBL030C	2.50242711998443	0	-0.7	-3.9	141	0.354609929078014	23.3	2.86570184079742	1
YBL031W	2.52891670027765	0	0	-9.8	31	0.419354838709677	37.4	-Inf	0
YBL032W	2.58092497567562	NA	0	NA	NA	NA	21.4	1.59274927499235	0
YBL033C	2.53781909507327	0	0	-1.5	29	0.379310344827586	27.6	2.50362621198313	1
YBL034C	3.17983892802319	NA	-6.4	NA	NA	NA	NA	1.1729049924355	1
YBL035C	2.8481891169914	NA	-1.6	NA	NA	NA	29.1	1.34972608515654	0
YBL036C	2.40993312333129	0	-2.4	-6.2	17	0.294117647058824	32.9	1.78608079528322	0
YBL037W	3.01072386539177	NA	-0.6	NA	NA	NA	21.1	1.32295952944042	1
YBL038W	2.3654879848909	0	-1.6	-10.2	75	0.373333333333333	25.9	2.39263673480579	1
YBL039C	2.76267856372744	NA	0	NA	NA	NA	27.6	1.53612975505315	1
YBL039W-B	1.77085201164214	0	-0.5	-11.4	73	0.383561643835616	44.2	2.27994010598262	0
YBL040C	2.34044411484012	0	-2.1	-7.4	29	0.379310344827586	24	2.0118558311047	1
YBL041W	2.38201704257487	0	-0.4	-8	32	0.40625	33.5	2.62745567488947	1
YBL042C	2.8055008581584	0	-1.6	-6.4	57	0.385964912280702	23.7	1.42134284930403	0
YBL043W	2.40993312333129	NA	-3	NA	NA	NA	NA	2.65001865831301	1
YBL044W	2.08635983067475	NA	-3.9	NA	NA	NA	NA	1.016872632549	0
YBL045C	2.65991620006985	0	0	-8	98	0.357142857142857	24.5	2.63749141076412	1
YBL046W	2.64443858946784	0	-1.3	-8.5	9	0.555555555555556	23.6	1.68013901388376	1
YBL047C	3.14019367857863	NA	0	NA	NA	NA	NA	2.03545684058989	1
YBL049W	2.13987908640124	0	-2.1	-6.2	206	0.378640776699029	27.3	2.31187066344306	1
YBL050W	2.46538285144842	0	-1.4	-7.2	68	0.382352941176471	29.8	2.47553495047769	1
YBL051C	2.82477646247555	0	-0.3	-8.6	64	0.40625	26	1.82029517198769	1
YBL052C	2.91960102378411	NA	-1.4	NA	NA	NA	30.1	0.376747638678268	0
YBL054W	2.72015930340596	NA	-0.4	NA	NA	NA	NA	1.68518398584592	1
YBL055C	2.62117628177504	NA	0	NA	NA	NA	1.3	1.75621681868739	1
YBL056W	2.67024585307412	NA	0	NA	NA	NA	0.3	2.06223328224693	1
YBL057C	2.31806333496276	NA	-2.1	NA	NA	NA	NA	1.68811965892121	0
YBL058W	2.62634036737504	0	0	-9.3	42	0.380952380952381	29.5	2.41003723031381	1
YBL059C-A	2.03742649794062	NA	0	NA	NA	NA	NA	1.77562795660475	0
YBL059W	2.28555730900777	NA	-2.4	NA	NA	NA	26.9	1.34246529605038	0
YBL060W	2.83695673705955	NA	-0.2	NA	NA	NA	36.9	0.816627708187989	0
YBL061C	2.84260923961056	0	0	-8.6	101	0.346534653465347	23.4	1.15105630231724	0
YBL063W	3.04571405894087	0	-1.4	-10.5	18	0.277777777777778	27.6	0.686447562004569	0
YBL064C	2.41664050733828	0	-0.3	-8.8	13	0.384615384615385	26.8	2.6966864708475	1
YBL066C	3.05994188806195	1	-3.4	-11.6	68	0.382352941176471	26.6	1.5840047563631	1
YBL067C	2.8733206018154	0	-3.2	-8.9	268	0.369402985074627	34.8	1.49078472203404	1
YBL068W	2.51321760006794	NA	-1.5	NA	NA	NA	30.1	1.88404423650156	1
YBL069W	2.63245729218472	NA	-1.8	NA	NA	NA	34.1	0.655962591591993	0
YBL071C-B	1.50514997831991	NA	-1.6	NA	NA	NA	NA	-Inf	0
YBL071W-A	1.91381385238372	0	-0.2	-4.6	44	0.363636363636364	37	2.32902710790124	1
YBL074C	2.55022835305509	0	-2.8	-9.2	15	0.333333333333333	NA	0.491781082783503	0
YBL075C	2.81224469680037	NA	-0.2	NA	NA	NA	43.1	2.73283247931542	1
YBL076C	3.03019478535675	0	-1.1	-9.3	18	0.277777777777778	21	1.71301438980159	1
YBL078C	2.06818586174616	NA	0	NA	NA	NA	6.5	3.64198896485758	1
YBL079W	3.17666993266815	0	-0.3	-9.7	95	0.357894736842105	25.8	0.994415587067457	0
YBL080C	2.73319726510657	0	-1.2	-12	17	0.294117647058824	30.3	1.09371125958893	0
YBL082C	2.66086547800387	NA	0	NA	NA	NA	33	1.2306440008811	0
YBL085W	2.9912260756925	0	0	-4.3	209	0.382775119617225	19.3	1.25371646001354	0
YBL086C	2.66838591669	NA	-2.2	NA	NA	NA	NA	2.209196687853	1
YBL088C	3.4451369687133	NA	0	NA	NA	NA	42.1	0.760336352870384	0
YBL089W	2.66181268553726	NA	-1.7	NA	NA	NA	NA	0.89651533803191	0
YBL090W	2.24797326636181	0	0	-6.3	32	0.40625	32.2	1.76388443347589	0
YBL091C	2.62428209583567	0	-7.4	-8.6	32	0.40625	26.6	1.73780932512631	1
YBL091C-A	2.24303804868629	0	0	-10.9	14	0.357142857142857	25	1.80057740454799	0
YBL092W	2.11394335230684	10	0	-5.6	366	0.407103825136612	19.4	2.18563788504401	1
YBL093C	2.34242268082221	0	0	-5.7	81	0.37037037037037	31.1	2.37799368147712	1
YBL095W	2.43136376415899	2	-2.3	-7.4	45	0.377777777777778	38.9	1.36422534361375	0
YBL097W	2.87737134586977	NA	-1.7	NA	NA	NA	NA	0.614400814249454	0
YBL098W	2.66275783168157	0	-4.2	-11.8	31	0.419354838709677	26.3	1.90876471973947	1
YBL099W	2.73639650227664	NA	0	NA	NA	NA	0.8	3.01596236714767	1
YBL101C	3.04805317311561	NA	-4.2	NA	NA	NA	NA	1.84155197394775	1
YBL102W	2.33243845991561	0	0	-13	107	0.327102803738318	26.5	1.8508860099221	0
YBL103C	2.68663626926229	NA	-3.7	NA	NA	NA	0	2.1702143232692	1
YBL104C	3.01619735351244	0	0	-10.8	26	0.384615384615385	23.7	1.01654308063089	0
YBL105C	3.06107532362979	NA	0	NA	NA	NA	NA	1.70642304189118	1
YBL106C	3.00432137378264	NA	0	NA	NA	NA	19.5	0.22659649272292	0
YBL107C	2.29225607135648	0	0	-7.9	1	1	32.7	1.5301152887906	0
YBR001C	2.89209460269048	NA	-1.8	NA	NA	NA	NA	1.98673285192037	1
YBR002C	2.45636603312904	0	0	-10.3	1	1	29.5	1.68648028641657	0
YBR003W	2.67486114073781	0	-6.9	-14.7	30	0.4	21.4	1.54812541343311	0
YBR004C	2.63648789635337	0	0	-6.6	17	0.294117647058824	36.5	2.36086703581169	1
YBR005W	2.32837960343874	0	0	-5.8	36	0.416666666666667	37.7	3.12120510811758	1
YBR006W	2.69635638873333	NA	0	NA	NA	NA	NA	2.24473765766775	1
YBR007C	2.8668778143375	NA	-4.6	NA	NA	NA	23.1	0.998245369221589	0
YBR008C	2.73878055848437	4	-2.3	-8.4	219	0.378995433789954	52.6	0.85421058852327	0
YBR011C	2.45788189673399	0	-0.7	-4.2	32	0.40625	29.9	2.7217705649894	1
YBR013C	2.11058971029925	NA	-1.3	NA	NA	NA	NA	1.41045787417614	0
YBR014C	2.30749603791321	NA	-0.8	NA	NA	NA	NA	1.5494743084047	0
YBR015C	2.77597433112937	0	0	-9.4	94	0.361702127659574	26.1	1.3879455139705	0
YBR016W	2.10720996964787	NA	-0.6	NA	NA	NA	26.7	3.31779053775374	1
YBR017C	2.96284268120124	NA	-1.9	NA	NA	NA	29.2	1.10200180626483	0
YBR018C	2.56348108539441	NA	-1	NA	NA	NA	NA	1.65520532116141	0
YBR019C	2.84447717574568	NA	-1.9	NA	NA	NA	NA	0.719107266710308	0
YBR020W	2.72263392253381	NA	-0.4	NA	NA	NA	NA	0.723743906643324	0
YBR021W	2.80140371001736	NA	-4.3	NA	NA	NA	NA	0.989606800544305	0
YBR022W	2.24797326636181	0	-0.5	-4.3	15	0.333333333333333	33.1	1.34891108550507	0
YBR023C	3.06632592536204	NA	-2	NA	NA	NA	21.2	1.09494989541857	0
YBR024W	2.47856649559384	NA	-0.5	NA	NA	NA	19.8	1.81523555463266	1
YBR025C	2.59549622182557	0	0	-4.8	22	0.363636363636364	25.1	2.0691017221589	1
YBR026C	2.57978359661681	0	0	-3.2	4	0.75	26.6	3.10893125812424	1
YBR028C	2.72015930340596	1	-5.5	-8.6	101	0.346534653465347	33.1	1.34939188392273	0
YBR029C	2.65991620006985	0	0	-8.8	81	0.37037037037037	36.8	1.63566022963133	1
YBR030W	2.7419390777292	2	0	-12.7	90	0.366666666666667	36.2	0.60810691900016	0
YBR033W	2.96331551138611	NA	-0.2	NA	NA	NA	NA	1.30829748174715	1
YBR034C	2.54157924394658	0	0	-4.7	30	0.4	22.9	1.81179248922603	1
YBR035C	2.35793484700045	0	-1.7	-8	28	0.392857142857143	27.2	2.68830024004455	1
YBR036C	2.61278385671974	NA	0	NA	NA	NA	27.5	2.34961398296757	1
YBR037C	2.46982201597816	NA	0	NA	NA	NA	31.9	1.11231238364544	0
YBR038W	2.98362628712453	0	0	-7.2	38	0.394736842105263	30.4	0.672916355423033	0
YBR039W	2.49276038902684	0	-1	-9	88	0.375	26.2	2.87232585133829	1
YBR040W	2.47421626407626	NA	0	NA	NA	NA	NA	3.39531364973668	1
YBR041W	2.82542611776782	0	0	-3.6	54	0.407407407407407	22.9	1.14227560702288	0
YBR042C	2.59879050676312	NA	-3.9	NA	NA	NA	34.2	0.797466686780316	0
YBR043C	2.83821922190763	2	-4	-8.3	150	0.353333333333333	46.2	1.74160886931531	1
YBR044C	2.75739602879302	NA	-1.7	NA	NA	NA	35.8	1.19515523791808	0
YBR045C	2.8055008581584	NA	-4	NA	NA	NA	NA	0.722372844968009	0
YBR046C	2.52374646681156	0	-0.3	-1.6	32	0.40625	24.3	2.72386608638181	1
YBR047W	2.24303804868629	1	-4.3	-7.4	54	0.407407407407407	33.1	2.27074979931233	1
YBR049C	2.90848501887865	0	0	-4.8	150	0.353333333333333	26.2	2.32644785728624	1
YBR050C	2.52891670027765	3	0	-10.1	179	0.385474860335196	38	2.40281471990753	1
YBR052C	2.32221929473392	0	0	-0.3	65	0.4	38.2	2.30588417045394	1
YBR053C	2.55388302664387	0	-1.5	-10.4	13	0.384615384615385	32.9	1.89906687231185	1
YBR054W	2.53655844257153	0	-0.5	-1.5	315	0.393650793650794	29.1	1.49383330509567	0
YBR055C	2.95375969173323	NA	0	NA	NA	NA	28.2	1.06633902348615	0
YBR056W	2.69983772586725	0	0	-2.2	38	0.394736842105263	24.7	2.44042970204473	1
YBR057C	2.56348108539441	NA	-2.6	NA	NA	NA	32.5	2.2749940794498	1
YBR058C	2.8926510338773	0	-2.3	-7.4	23	0.347826086956522	25.5	1.6915921685965	1
YBR058C-A	1.90308998699194	0	-0.3	-3.5	45	0.377777777777778	31	2.30067276364159	1
YBR059C	3.04453976039241	0	-1.2	-9.1	151	0.357615894039735	25.8	1.76487673777974	1
YBR060C	2.79239168949825	NA	-3	NA	NA	NA	35.5	0.735143837639618	0
YBR061C	2.49136169383427	0	0	-2.9	8	0.625	26.1	1.32598112485883	0
YBR062C	2.25527250510331	NA	0	NA	NA	NA	NA	2.07995779958129	1
YBR063C	2.60638136511061	NA	0	NA	NA	NA	NA	0.87732928908983	0
YBR065C	2.56110138364906	0	0	-3.6	32	0.40625	18.3	1.72442789494415	1
YBR066C	2.34242268082221	NA	0	NA	NA	NA	31.1	1.9490604702411	1
YBR067C	2.32221929473392	NA	0	NA	NA	NA	28.1	3.4204573915904	1
YBR068C	2.78461729263288	0	-0.2	-14.4	15	0.333333333333333	31.8	2.43216978746599	1
YBR069C	2.79169064902012	0	0	-11	106	0.330188679245283	30.8	2.28605486489643	1
YBR070C	2.3747483460101	0	-3.6	-13.9	22	0.363636363636364	34.5	1.31088380717245	0
YBR071W	2.32428245529769	0	-1.1	-3.5	73	0.383561643835616	39	2.20637897611414	1
YBR072C-A	1.72427586960079	NA	-0.4	NA	NA	NA	NA	-Inf	0
YBR072W	2.33041377334919	0	0	-2.8	75	0.373333333333333	24.3	3.61998570263553	1
YBR073W	2.98136550907854	NA	-3.2	NA	NA	NA	NA	1.11447126704008	0
YBR074W	2.98944981766669	0	0	-8.2	6	0.666666666666667	27.1	0.805493946245769	0
YBR076W	2.54900326202579	NA	-1.5	NA	NA	NA	NA	0.890891171593682	0
YBR077C	2.20951501454263	NA	-2.1	NA	NA	NA	NA	2.72104876921489	1
YBR078W	2.63245729218472	0	-0.1	-3.5	177	0.389830508474576	23.8	1.86394299506116	1
YBR079C	2.98407703390283	0	0	-8.1	26	0.384615384615385	21.6	1.80079175036381	1
YBR080C	2.87966920563205	0	-0.4	-11.3	1	1	25.7	2.04497609919768	1
YBR081C	3.12450422483428	NA	0	NA	NA	NA	23.6	1.19920180013591	1
YBR082C	2.17026171539496	0	0	-1.8	50	0.42	26.8	2.58569169073828	1
YBR083W	2.68663626926229	0	0	-7.8	34	0.382352941176471	36.1	0.872537969612802	0
YBR084W	2.98900461569854	0	0	-22.6	15	0.333333333333333	24.8	1.06556898010311	0
YBR085C-A	1.92941892571429	NA	0	NA	NA	NA	33.8	3.62207661480488	1
YBR085W	2.48713837547719	NA	-3.7	NA	NA	NA	27.3	0.426897983651378	0
YBR086C	2.97589113640179	1	-2.1	-12.3	304	0.388157894736842	22.3	1.55194573133465	1
YBR087W	2.54900326202579	0	0	-8	12	0.416666666666667	31.7	0.793981158585625	0
YBR088C	2.41161970596323	0	0	-1.8	41	0.390243902439024	23.2	1.67428126091795	0
YBR091C	2.03742649794062	0	-0.1	-7.2	42	0.380952380952381	31.2	1.53674586768961	0
YBR094W	2.8767949762007	NA	-0.2	NA	NA	NA	33.2	1.28114220202048	0
YBR095C	2.63346845557959	0	-3.1	-15.8	41	0.390243902439024	29.6	2.08404900973859	1
YBR096W	2.36172783601759	0	0	-4.3	63	0.412698412698413	30.8	1.24385549816443	0
YBR097W	3.16256440652302	NA	-1.1	NA	NA	NA	30.2	0.522809376449841	0
YBR098W	2.8394780473742	0	-1.3	-8.7	13	0.384615384615385	30.9	0.814165947329646	0
YBR101C	2.46239799789896	0	0	-6	73	0.383561643835616	28.8	3.15189737126975	1
YBR102C	2.8767949762007	1	0	-3.9	79	0.367088607594937	31.3	1.60699578140949	1
YBR103W	2.72835378202123	NA	-4.6	NA	NA	NA	12.7	1.01922795639196	0
YBR104W	2.51719589794997	1	-1.5	-6.6	89	0.370786516853933	29.6	1.98191504280429	1
YBR105C	2.55870857053317	0	0	-5.9	24	0.333333333333333	34.8	2.0577088865204	1
YBR106W	2.27415784926368	0	-0.7	-0.8	40	0.4	26.4	2.40168061867845	1
YBR107C	2.38916608436453	NA	-3.5	NA	NA	NA	46.5	1.12130754814209	0
YBR108W	2.97634997900327	NA	0	NA	NA	NA	29.8	1.71649711545166	1
YBR109C	2.16731733474818	NA	0	NA	NA	NA	27.7	2.98942423144518	1
YBR110W	2.65224634100332	NA	-2.8	NA	NA	NA	NA	1.41504884312344	0
YBR111C	2.36361197989214	NA	0	NA	NA	NA	1.9	2.32607853306422	1
YBR111W-A	1.98227123303957	NA	-3.8	NA	NA	NA	NA	1.48726050460969	0
YBR114W	2.89762709129044	0	-1.2	-9.8	79	0.367088607594937	32.7	1.23442183023488	0
YBR115C	3.14363923527454	NA	-2	NA	NA	NA	NA	1.57351755585386	1
YBR117C	2.83314711191279	NA	0	NA	NA	NA	NA	1.45507582123829	1
YBR119W	2.47421626407626	0	0	-3.9	38	0.394736842105263	26.6	1.7401752149253	0
YBR120C	2.20951501454263	NA	-1.5	NA	NA	NA	24.9	1.77603289321395	0
YBR121C	2.82412583391655	0	-1.6	-9.8	165	0.381818181818182	22.3	1.79529201386631	1
YBR122C	2.24797326636181	NA	-3	NA	NA	NA	NA	1.85406106382498	0
YBR123C	2.81224469680037	NA	-1	NA	NA	NA	29.6	1.14176787228892	0
YBR125C	2.59439255037543	0	-3.1	-8.9	189	0.391534391534392	36.2	1.41564580002026	0
