ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	Data	Corr
YAL001C	3.06445798922692	NA	-4.9	NA	NA	NA	21.4	1.53259246663284	1
YAL002W	3.10516942799933	1	-0.7	-7	136	0.352941176470588	30.5	1.54241845390489	1
YAL003W	2.31386722036915	0	0	-1.5	22	0.363636363636364	23.7	3.16811051543015	1
YAL007C	2.33243845991561	0	-3.2	-9.4	76	0.381578947368421	22.2	2.34610143223398	1
YAL008W	2.29666519026153	0	-1.4	-9.3	49	0.408163265306122	28.7	2.30507751899327	1
YAL009W	2.41329976408125	0	-1.7	-18	26	0.384615384615385	34.9	1.83170207894202	1
YAL010C	2.69284691927723	0	-0.4	-5.5	42	0.380952380952381	30.4	1.49156818954783	1
YAL011W	2.79588001734408	0	-0.3	-9	15	0.333333333333333	33.9	1.14330569874353	1
YAL012W	2.59549622182557	0	0	-1.5	65	0.4	28.7	3.19311168340206	1
YAL013W	2.60745502321467	0	-2.8	-8	19	0.263157894736842	30.2	1.79484667815977	1
YAL014C	2.40654018043396	1	-2.5	-13.3	49	0.408163265306122	38.4	2.17095255350748	1
YAL015C	2.60097289568675	NA	0	NA	NA	NA	10.2	1.91521900671786	1
YAL016W	2.80277372529198	0	-1.2	-6.9	88	0.375	24.3	2.37193555159473	1
YAL017W	3.13225968953104	NA	-1.6	NA	NA	NA	0.7	2.02926370240571	1
YAL018C	2.51188336097887	NA	0	NA	NA	NA	NA	-Inf	0
YAL019W	3.05346260492546	0	0	-13.4	111	0.333333333333333	22	1.26508387221874	1
YAL020C	2.52244423350632	NA	-3.6	NA	NA	NA	NA	1.86809409373002	1
YAL021C	2.92272545799326	NA	-0.1	NA	NA	NA	31.1	1.69519349843863	1
YAL022C	2.71349054309394	0	-2.3	-11.7	17	0.294117647058824	35.8	1.91439462136867	1
YAL023C	2.88024177589548	0	-0.9	-5.9	89	0.370786516853933	23.9	2.31693867810145	1
YAL024C	3.15685190107001	NA	-1.3	NA	NA	NA	19.5	0.888786471315362	1
YAL025C	2.48572142648158	0	-1.3	-7.2	24	0.333333333333333	32.5	0.753231904281852	0
YAL026C	3.13193929521042	NA	-4.7	NA	NA	NA	NA	1.61070923451024	1
YAL027W	2.41664050733828	1	-3.3	-4.9	81	0.37037037037037	31.3	1.63723136147537	1
YAL028W	2.72263392253381	NA	-0.9	NA	NA	NA	44.8	1.55188349425725	1
YAL029C	3.16761267272753	NA	0	NA	NA	NA	26.4	1.39558989594297	1
YAL030W	2.06818586174616	0	-3.1	-11	23	0.347826086956522	24.2	2.26724180360938	1
YAL031C	2.88081359228079	NA	-0.2	NA	NA	NA	28.5	1.72506778747095	1
YAL032C	2.57863920996807	0	-5.7	-5	21	0.333333333333333	37.4	1.58496406111769	1
YAL033W	2.2380461031288	NA	0	NA	NA	NA	27.7	1.80082094120108	1
YAL034C	2.6159500516564	NA	-1	NA	NA	NA	NA	1.86675275327073	1
YAL034W-A	2.46089784275655	0	-0.4	-9	45	0.377777777777778	30.1	1.01611102052011	0
YAL035W	3.00086772153123	0	-0.7	-4	27	0.37037037037037	21.4	2.16854593034534	1
YAL036C	2.56702636615906	NA	-2.6	NA	NA	NA	20.5	1.5836276794265	1
YAL037C-A	1.47712125471966	NA	-4.8	NA	NA	NA	NA	-Inf	0
YAL037W	2.42651126136458	NA	-2.1	NA	NA	NA	NA	0.821766828813678	0
YAL038W	2.69897000433602	0	0	-4	28	0.392857142857143	19	3.41265799131878	1
YAL039C	2.42975228000241	0	0	-3.2	57	0.385964912280702	32	2.30967680482716	1
YAL040C	2.76342799356294	1	0	-8.8	322	0.397515527950311	30.1	1.73220213595741	1
YAL041W	2.931457870689	0	-0.9	-13.7	33	0.393939393939394	21.1	1.75632714316506	1
YAL042W	2.61804809671209	0	0	-11.7	17	0.294117647058824	26.9	2.4848790419771	1
YAL043C	2.89486965674525	NA	0	NA	NA	NA	3.3	1.87882236348546	1
YAL044C	2.23044892137827	0	0	-7.3	10	0.5	25.3	2.70223012702047	1
YAL044W-A	2.04139268515822	0	0	-12.7	2	1	34.2	1.99891261020292	1
YAL046C	2.07188200730613	NA	0	NA	NA	NA	NA	2.04372674850183	1
YAL047C	2.79379038469082	NA	0	NA	NA	NA	NA	1.04908448077255	1
YAL048C	2.8208579894397	0	-4	-13.2	2	1	NA	1.35673246761726	1
YAL049C	2.39093510710338	NA	0	NA	NA	NA	27.5	2.28284171794621	1
YAL051W	3.01994668167884	0	-0.3	-8.8	26	0.384615384615385	33	1.55922069602228	1
YAL053W	2.89376176205794	NA	0	NA	NA	NA	29.3	2.04481875222468	1
YAL054C	2.85308952985187	NA	-0.4	NA	NA	NA	NA	1.94620176607891	1
YAL055W	2.25527250510331	0	0	-3.4	1	1	30.4	1.57031524127606	1
YAL056W	2.94448267215017	NA	0	NA	NA	NA	22.9	1.78562384254632	1
YAL058W	2.70070371714502	NA	0	NA	NA	NA	28.8	1.70314771310895	1
YAL059W	2.32633586092875	NA	-1.9	NA	NA	NA	NA	0.802667993000226	0
YAL060W	2.58206336291171	NA	-2.1	NA	NA	NA	NA	2.81303429637861	1
YAL061W	2.62013605497376	NA	-1	NA	NA	NA	NA	2.68895748285201	1
YAL067C	2.77305469336426	NA	0	NA	NA	NA	NA	0.45056461739148	0
YAR002C-A	2.34044411484012	NA	-0.3	NA	NA	NA	NA	2.56584329814005	1
YAR002W	2.73158876518674	0	-1.1	-3.9	43	0.372093023255814	25.1	1.85257055905748	1
YAR003W	2.62940959910272	0	0	-11.5	86	0.383720930232558	35.3	1.7692756311604	1
YAR007C	2.79309160017658	NA	0	NA	NA	NA	27	2.25693554556252	1
YAR008W	2.43933269383026	NA	-2.2	NA	NA	NA	28.2	1.17943414390939	1
YAR014C	2.85064623518307	0	-4.7	-11.8	151	0.357615894039735	33.9	1.68799580912085	1
YAR015W	2.48572142648158	0	0	-12.6	104	0.336538461538462	27.4	1.68265082999614	1
YAR018C	2.63848925695464	NA	-3.3	NA	NA	NA	NA	1.44490490674771	1
YAR019C	2.98855895687862	0	-2	-10.3	34	0.382352941176471	20.6	1.41852667021096	1
YAR023C	2.25285303097989	NA	-2.2	NA	NA	NA	57	1.46837402098559	1
YAR027W	2.37106786227174	NA	0	NA	NA	NA	NA	2.40413211187339	1
YAR028W	2.36921585741014	NA	-4.5	NA	NA	NA	32.4	1.57195975223895	1
YAR029W	1.86923171973098	NA	0	NA	NA	NA	NA	0.676149427505735	0
YAR035W	2.83695673705955	NA	0	NA	NA	NA	NA	1.34553810913929	1
YAR042W	3.07481644064517	NA	0	NA	NA	NA	NA	1.63641193058932	1
YBL001C	2.01703333929878	0	-2.1	-9.2	62	0.403225806451613	20.2	2.84092936666849	1
YBL002W	2.11727129565576	0	0	-2.8	24	0.333333333333333	24.7	2.67816426487568	1
YBL004W	3.39672227850377	NA	-0.4	NA	NA	NA	22.5	0.36831754534795	1
YBL005W	2.98944981766669	NA	-3	NA	NA	NA	41.1	1.42566875389919	1
YBL006C	2.25527250510331	NA	-2.2	NA	NA	NA	30.8	2.20393219898803	1
YBL007C	3.0948203803548	0	-1.4	-11.9	50	0.42	28.5	2.18475925441102	1
YBL008W	2.92427928606188	NA	-4.6	NA	NA	NA	26.1	1.31489111916667	1
YBL008W-A	1.89762709129044	NA	-3.3	NA	NA	NA	NA	0.791139132972223	0
YBL009W	2.82994669594164	1	-2.2	-10.5	38	0.394736842105263	32.1	1.04834529342208	1
YBL010C	2.44715803134222	0	-1.4	-14.4	3	0.666666666666667	20.7	1.39495890505948	1
YBL011W	2.88024177589548	1	-1.9	-9.7	102	0.343137254901961	19.2	1.97755252841767	1
YBL013W	2.60314437262018	0	-0.1	-3.5	67	0.388059701492537	4.7	1.12251449825901	1
YBL014C	2.95133751879592	NA	-2.4	NA	NA	NA	NA	1.21985396944358	1
YBL015W	2.72098574415374	0	0	-4.3	93	0.354838709677419	21.5	1.81944817316511	1
YBL016W	2.54777470538782	NA	0	NA	NA	NA	NA	1.5875784350299	1
YBL017C	3.19838213000829	NA	-1.2	NA	NA	NA	NA	1.65628720140447	1
YBL018C	2.12385164096709	1	-0.1	-9.6	34	0.382352941176471	27.9	1.43044326693637	1
YBL019W	2.7160033436348	0	-2.4	-13.3	33	0.393939393939394	35.3	1.53736091108767	1
YBL020W	2.75891189239797	0	-1.5	-9.5	56	0.392857142857143	40.4	1.73295107197815	1
YBL021C	2.15836249209525	0	-1.7	-7.1	48	0.395833333333333	32.1	1.6214913193172	1
YBL022C	3.0542299098634	0	-1.3	-11.9	120	0.358333333333333	19.7	2.39706957394109	1
YBL023C	2.93851972517649	NA	0	NA	NA	NA	NA	1.51045463504615	1
YBL024W	2.83505610172012	NA	-1.6	NA	NA	NA	28.7	1.60016299070422	1
YBL025W	2.16136800223497	0	0	-5.1	49	0.408163265306122	NA	1.78905833434874	1
YBL026W	1.97772360528885	NA	-1.7	NA	NA	NA	30.5	2.06460058008601	1
YBL028C	2.02530586526477	0	-1.4	-6.9	28	0.392857142857143	30	1.13314221970875	0
YBL029C-A	1.9731278535997	1	0	-7.6	118	0.355932203389831	24.3	2.04059869999136	1
YBL029W	2.57518784492766	NA	0	NA	NA	NA	6.1	0.749266910816643	0
YBL030C	2.50242711998443	0	-0.7	-3.9	141	0.354609929078014	23.3	2.84865583500431	1
YBL031W	2.52891670027765	0	0	-9.8	31	0.419354838709677	37.4	1.16745845085521	1
YBL032W	2.58092497567562	NA	0	NA	NA	NA	21.4	2.18636623225265	1
YBL033C	2.53781909507327	0	0	-1.5	29	0.379310344827586	27.6	2.24883905003378	1
YBL034C	3.17983892802319	NA	-6.4	NA	NA	NA	NA	0.842575477114862	1
