"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-20	765	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-19	794	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-18	867	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-17	922	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-16	998	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-15	1042	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-14	889	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-13	982	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-12	993	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-11	3440	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-10	45557	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-9	204113	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-8	321957	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-7	162998	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-6	40884	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-5	50715	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-4	34304	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-3	26937	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-2	41709	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-1	24821	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	0	31945	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	1	43908	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	2	20924	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	3	52201	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	4	20170	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	5	52640	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	6	14187	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	7	18828	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	8	18820	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	9	21564	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	10	30575	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	11	15728	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	12	15420	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	13	28629	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	14	18933	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	15	13724	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	16	26690	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	17	16952	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	18	15402	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	19	23088	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	20	13810	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	21	16303	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	22	24033	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	23	14184	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	24	13681	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	25	22154	5
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-20	9290	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-19	10132	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-18	14844	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-17	7864	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-16	4927	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-15	7886	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-14	4673	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-13	705	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-12	287	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-11	273	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-10	239	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-9	212	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-8	219	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-7	140	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-6	115	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-5	148	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-4	131	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-3	100	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-2	139	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	-1	112	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	0	130	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	1	118	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	2	77	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	3	111	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	4	83	3
2015	"Nedialkova"	"elp6Δ_ribo_YPD_rep1"	5	103	3
