Position	Mean	SD	End	BG	DataType
1	8.78709048044874	0.33168035119096	5	Data	RPF
2	37.8261929924396	0.837492886757174	5	Data	RPF
3	5.42272985936103	0.250467441671409	5	Data	RPF
4	3.82651816925453	0.166937647345744	5	Data	RPF
5	4.09966669376473	0.19364279326884	5	Data	RPF
6	4.95081700674742	0.208153808633444	5	Data	RPF
7	2.02056743354199	0.120319486220632	5	Data	RPF
8	2.53515974311032	0.159743110316234	5	Data	RPF
9	2.13153402162426	0.12066092187627	5	Data	RPF
10	2.14860580440615	0.135720673116007	5	Data	RPF
11	2.12665636940086	0.133891553532233	5	Data	RPF
12	2.15592228274124	0.14474432972929	5	Data	RPF
13	2.12665636940086	0.142915210145517	5	Data	RPF
14	1.73888301764084	0.105369482155922	5	Data	RPF
15	1.75961303959028	0.118283066417364	5	Data	RPF
16	1.69742297374197	0.159986992927404	5	Data	RPF
17	1.60596699455329	0.0967848142427445	5	Data	RPF
18	1.6559629298431	0.128526136086497	5	Data	RPF
19	1.74619949597594	0.145354036257215	5	Data	RPF
20	1.68035119096008	0.114466303552557	5	Data	RPF
21	1.63401349483782	0.106832777822941	5	Data	RPF
22	1.76083245264613	0.121941305584912	5	Data	RPF
23	1.43768799284611	0.0928217218112349	5	Data	RPF
24	1.43402975367856	0.091187708316397	5	Data	RPF
25	1.65962116901065	0.10522315258922	5	Data	RPF
26	1.46939273229819	0.114697992033168	5	Data	RPF
27	1.96935208519633	0.168400943012763	5	Data	RPF
28	1.61572229900008	0.100955206893748	5	Data	RPF
29	1.62669701650272	0.11225916592147	5	Data	RPF
30	1.50109747175026	0.106430371514511	5	Data	RPF
31	1.55109340704008	0.107576619787009	5	Data	RPF
32	1.5937728639948	0.103942768880579	5	Data	RPF
33	1.53158279814649	0.0980530038208276	5	Data	RPF
34	1.47427038452158	0.107137631086904	5	Data	RPF
35	1.62547760344687	0.102991626697017	5	Data	RPF
36	1.48890334119177	0.100918624502073	5	Data	RPF
37	1.82911958377368	0.136086497032762	5	Data	RPF
38	1.63157466872612	0.171571416957971	5	Data	RPF
39	1.58279814649216	0.0969433379400049	5	Data	RPF
40	1.70595886513292	0.127062840419478	5	Data	RPF
