Position	Mean	SD	End	BG	DataType
1	0.614532320324225	0.00992916333311921	5	Data	mRNA
2	0.633932106587868	0.0105905196830161	5	Data	mRNA
3	0.634108468281174	0.0105287930903591	5	Data	mRNA
4	0.635254819287662	0.0102025239577433	5	Data	mRNA
5	0.641780201939979	0.010343613312388	5	Data	mRNA
6	0.642044744479937	0.0103524313970532	5	Data	mRNA
7	0.637812063840597	0.0102113420424086	5	Data	mRNA
8	0.636312989447497	0.00991152716378862	5	Data	mRNA
9	0.63216848965481	0.00979689206313982	5	Data	mRNA
10	0.631727585421545	0.00967343887782573	5	Data	mRNA
11	0.631463042881587	0.00954998569251164	5	Data	mRNA
12	0.63216848965481	0.00920608039056523	5	Data	mRNA
13	0.629611245101875	0.00925898889855699	5	Data	mRNA
14	0.628729436635346	0.00913553571324289	5	Data	mRNA
15	0.628376713248734	0.00906499103592056	5	Data	mRNA
16	0.627318543088899	0.00894153785060646	5	Data	mRNA
17	0.6243203943027	0.00881808466529237	5	Data	mRNA
18	0.626172192082411	0.00881808466529237	5	Data	mRNA
19	0.624144032609394	0.00860115978252618	5	Data	mRNA
20	0.620793160436583	0.00812762863599998	5	Data	mRNA
21	0.620087713663359	0.00792128545483214	5	Data	mRNA
22	0.61858863927026	0.00774933280385894	5	Data	mRNA
23	0.618676820116913	0.00761882515081261	5	Data	mRNA
24	0.616736841490548	0.00758002557828532	5	Data	mRNA
25	0.614444139477572	0.00750242643323075	5	Data	mRNA
26	0.614708682017531	0.00739131856644806	5	Data	mRNA
27	0.615943213870672	0.00749272654009893	5	Data	mRNA
28	0.613738692704349	0.00747420856230181	5	Data	mRNA
29	0.612063256617943	0.00736927335478483	5	Data	mRNA
30	0.605714235658933	0.00725287463720297	5	Data	mRNA
31	0.602892448566039	0.00719291166147899	5	Data	mRNA
32	0.603156991105998	0.00714264857888682	5	Data	mRNA
33	0.603686076185916	0.00707386751849754	5	Data	mRNA
34	0.603686076185916	0.007102967197893	5	Data	mRNA
35	0.604832427192404	0.00713471230268806	5	Data	mRNA
36	0.606948767512074	0.00719202985301246	5	Data	mRNA
37	0.606419682432156	0.00697245954484668	5	Data	mRNA
38	0.608006937671909	0.00699450475650991	5	Data	mRNA
