"ORF"	"Length"	"uATGs"	"FE_atg"	"FE_cap"	"utr"	"utr_gc"	"polyA"	"RPF"
"YAL001C"	1160	NA	-4.9	NA	NA	NA	21.4	11.572
"YAL002W"	1274	1	-0.7	-7	136	0.352941176470588	30.5	10.666
"YAL003W"	206	0	0	-1.5	22	0.363636363636364	23.7	3966.714
"YAL007C"	215	0	-3.2	-9.4	76	0.381578947368421	22.2	257.059
"YAL008W"	198	0	-1.4	-9.3	49	0.408163265306122	28.7	87.128
"YAL009W"	259	0	-1.7	-18	26	0.384615384615385	34.9	17.912
"YAL010C"	493	0	-0.4	-5.5	42	0.380952380952381	30.4	19.376
"YAL011W"	625	0	-0.3	-9	15	0.333333333333333	33.9	8.162
"YAL012W"	394	0	0	-1.5	65	0.4	28.7	714.499
"YAL013W"	405	0	-2.8	-8	19	0.263157894736842	30.2	48.614
"YAL014C"	255	1	-2.5	-13.3	49	0.408163265306122	38.4	14.871
"YAL015C"	399	NA	0	NA	NA	NA	10.2	12.599
"YAL016W"	635	0	-1.2	-6.9	88	0.375	24.3	139.832
"YAL017W"	1356	NA	-1.6	NA	NA	NA	0.7	31.394
"YAL018C"	325	NA	0	NA	NA	NA	NA	0
"YAL019W"	1131	0	0	-13.4	111	0.333333333333333	22	26.857
"YAL020C"	333	NA	-3.6	NA	NA	NA	NA	5.563
"YAL021C"	837	NA	-0.1	NA	NA	NA	31.1	64.852
"YAL022C"	517	0	-2.3	-11.7	17	0.294117647058824	35.8	66.169
"YAL023C"	759	0	-0.9	-5.9	89	0.370786516853933	23.9	259.84
"YAL024C"	1435	NA	-1.3	NA	NA	NA	19.5	11.235
"YAL025C"	306	0	-1.3	-7.2	24	0.333333333333333	32.5	107.584
"YAL026C"	1355	NA	-4.7	NA	NA	NA	NA	45.161
"YAL027W"	261	1	-3.3	-4.9	81	0.37037037037037	31.3	12.933
"YAL028W"	528	NA	-0.9	NA	NA	NA	44.8	3.846
"YAL029C"	1471	NA	0	NA	NA	NA	26.4	19.412
"YAL030W"	117	0	-3.1	-11	23	0.347826086956522	24.2	145.524
"YAL031C"	760	NA	-0.2	NA	NA	NA	28.5	14.449
"YAL032C"	379	0	-5.7	-5	21	0.333333333333333	37.4	12.48
"YAL033W"	173	NA	0	NA	NA	NA	27.7	98.613
"YAL034C"	413	NA	-1	NA	NA	NA	NA	2.786
"YAL034W-A"	289	0	-0.4	-9	45	0.377777777777778	30.1	17.133
"YAL035W"	1002	0	-0.7	-4	27	0.37037037037037	21.4	246.916
"YAL036C"	369	NA	-2.6	NA	NA	NA	20.5	152.861
"YAL037C-A"	30	NA	-4.8	NA	NA	NA	NA	0
"YAL037W"	267	NA	-2.1	NA	NA	NA	NA	2.11
"YAL038W"	500	0	0	-4	28	0.392857142857143	19	14465.373
"YAL039C"	269	0	0	-3.2	57	0.385964912280702	32	43.998
"YAL040C"	580	1	0	-8.8	322	0.397515527950311	30.1	49.402
"YAL041W"	854	0	-0.9	-13.7	33	0.393939393939394	21.1	35.918
"YAL042W"	415	0	0	-11.7	17	0.294117647058824	26.9	164.649
"YAL043C"	785	NA	0	NA	NA	NA	3.3	39.382
"YAL044C"	170	0	0	-7.3	10	0.5	25.3	701.382
"YAL044W-A"	110	0	0	-12.7	2	1	34.2	108.677
"YAL046C"	118	NA	0	NA	NA	NA	NA	48.888
"YAL047C"	622	NA	0	NA	NA	NA	NA	8.903
"YAL048C"	662	0	-4	-13.2	2	1	NA	18.299
"YAL049C"	246	NA	0	NA	NA	NA	27.5	60.383
"YAL051W"	1047	0	-0.3	-8.8	26	0.384615384615385	33	10.41
"YAL053W"	783	NA	0	NA	NA	NA	29.3	81.394
