Position	Mean	SD	End	BG	DataType
1	2.31661291759895	0.164717811373287	5	Data	RPF
2	30.0201589109853	0.771753921594601	5	Data	RPF
3	9.19152410519242	0.303640887184761	5	Data	RPF
4	7.60821866999357	0.268633746065159	5	Data	RPF
5	8.49260960354142	0.28804121377357	5	Data	RPF
6	7.3932625403118	0.247875125541605	5	Data	RPF
7	4.350712064759	0.162384001965313	5	Data	RPF
8	3.14572941780005	0.127745357068022	5	Data	RPF
9	2.53156904728071	0.115400733620584	5	Data	RPF
10	2.02058761900862	0.112501896671732	5	Data	RPF
11	1.44941847442564	0.0714145678839887	5	Data	RPF
12	1.53785756778042	0.078600244219065	5	Data	RPF
13	1.41993877664071	0.0758488057591383	5	Data	RPF
14	1.43590694627421	0.0763892668851954	5	Data	RPF
15	1.43959190849733	0.0805778406121373	5	Data	RPF
16	1.41993877664071	0.0767946127297381	5	Data	RPF
17	1.52557436037004	0.0940893687635627	5	Data	RPF
18	1.37694755070436	0.069645786016893	5	Data	RPF
19	1.32412975883969	0.0588242802883423	5	Data	RPF
20	1.49732298332615	0.0773842066854367	5	Data	RPF
21	1.56610894482431	0.0829116500201107	5	Data	RPF
22	1.45924504035395	0.0663538864309094	5	Data	RPF
23	1.55382573741393	0.0775438883817717	5	Data	RPF
24	1.60664352927859	0.0757505400998553	5	Data	RPF
25	1.53171596407523	0.0739203421957076	5	Data	RPF
26	1.50714954925446	0.085970168665297	5	Data	RPF
27	1.71105079226688	0.0799513970342075	5	Data	RPF
28	1.66068964188429	0.0883653941103225	5	Data	RPF
29	1.66068964188429	0.0902815744663428	5	Data	RPF
30	1.56610894482431	0.0731465001288533	5	Data	RPF
31	1.77615179154193	0.109062598596824	5	Data	RPF
32	1.60787185001963	0.0805655574047269	5	Data	RPF
33	1.53171596407523	0.0670663124607118	5	Data	RPF
34	1.40519892774825	0.0626320745855622	5	Data	RPF
35	1.48749641739784	0.0670294628384806	5	Data	RPF
36	1.56979390704743	0.076315567640733	5	Data	RPF
37	1.66191796262533	0.0694738211131476	5	Data	RPF
38	1.63120994409936	0.079361803078509	5	Data	RPF
39	1.62138337817105	0.0789564572339662	5	Data	RPF
40	1.59313200112716	0.0684665981054959	5	Data	RPF
41	1.37694755070436	0.0745959186032789	5	Data	RPF
42	1.48995305887992	0.0657765756826212	5	Data	RPF
43	1.44082022923837	0.0690930416834256	5	Data	RPF
44	1.556282378896	0.0896305644735923	5	Data	RPF
45	1.5943603218682	0.0830344820942146	5	Data	RPF
46	1.56119566186016	0.0805041413676749	5	Data	RPF
47	1.50714954925446	0.0924188525557501	5	Data	RPF
48	1.41993877664071	0.0719918786322769	5	Data	RPF
49	1.32781472106281	0.0600648842367913	5	Data	RPF
50	1.38308915440955	0.0614651698815754	5	Data	RPF
51	1.40519892774825	0.0609984079999807	5	Data	RPF
52	1.23691898622595	0.0560482754135949	5	Data	RPF
53	1.4101122107124	0.06542036266772	5	Data	RPF
54	1.41379717293552	0.0646096709786344	5	Data	RPF
55	1.44573351220252	0.0643640068304267	5	Data	RPF
56	1.45556007813083	0.0637129968376762	5	Data	RPF
57	1.45310343664876	0.0698423173354592	5	Data	RPF
58	1.42239541812279	0.060912425548108	5	Data	RPF
59	1.40888388997136	0.06351646551911	5	Data	RPF
60	1.29956334401892	0.0587260146290592	5	Data	RPF
61	1.27745357068022	0.0565641701248311	5	Data	RPF
62	1.44204854997941	0.0779860838485456	5	Data	RPF
63	1.45064679516668	0.0702967960096435	5	Data	RPF
64	1.34623953217839	0.0600157514071498	5	Data	RPF
65	1.37326258848124	0.0673488262311507	5	Data	RPF
66	1.30079166475996	0.0551270348578159	5	Data	RPF
67	1.48012649295161	0.0714268510913991	5	Data	RPF
68	1.43590694627421	0.085810486968962	5	Data	RPF
69	1.42485205960487	0.0655309115344135	5	Data	RPF
70	1.25043051437737	0.0570923480434777	5	Data	RPF
71	1.39045907885578	0.092160905200132	5	Data	RPF
72	1.36589266403501	0.0669680468014287	5	Data	RPF
73	1.43836358775629	0.062435543266996	5	Data	RPF
74	1.43099366331006	0.0832310134127808	5	Data	RPF
75	1.25165883511841	0.0569203831397323	5	Data	RPF
76	1.43099366331006	0.0683928988610336	5	Data	RPF
77	1.32044479661658	0.060531646118386	5	Data	RPF
78	1.37080594699916	0.0654694954973615	5	Data	RPF
79	1.45310343664876	0.0838574569907105	5	Data	RPF
80	1.29219341957269	0.0616248515779104	5	Data	RPF
81	1.28482349512646	0.0601140170664329	5	Data	RPF
82	1.28728013660853	0.0644131396600683	5	Data	RPF
83	1.37694755070436	0.0677050392460519	5	Data	RPF
84	1.24920219363633	0.0562816563543922	5	Data	RPF
85	1.38308915440955	0.064278024378554	5	Data	RPF
86	1.302019985501	0.062976004393053	5	Data	RPF
87	1.21554620533188	0.0581978367104125	5	Data	RPF
88	1.40028564478409	0.0656905932307485	5	Data	RPF
89	1.31307487217035	0.064978167200946	5	Data	RPF
90	1.23446234474387	0.0589471123624461	5	Data	RPF
91	1.21972249585141	0.0561588242802883	5	Data	RPF
92	1.30570494772411	0.0675207911348961	5	Data	RPF
93	1.24920219363633	0.0613054881852404	5	Data	RPF
94	1.28482349512646	0.0610598240370327	5	Data	RPF
95	1.33027136254489	0.0660468062456497	5	Data	RPF
96	1.18975146977006	0.0587751474587007	5	Data	RPF
97	1.19982369984658	0.0681103850905947	5	Data	RPF
98	1.18913730939954	0.0575591099250724	5	Data	RPF
99	1.22672392407533	0.0566133029544727	5	Data	RPF
100	1.20559680732946	0.0575836763398932	5	Data	RPF
101	1.21161557896055	0.0597086712218901	5	Data	RPF
102	1.27499692919815	0.0609369919629288	5	Data	RPF
103	1.25411547660049	0.0570800648360673	5	Data	RPF
104	1.27868189142126	0.0616248515779104	5	Data	RPF
105	1.21051009029362	0.0538004484574941	5	Data	RPF
106	1.32904304180385	0.0645851045638137	5	Data	RPF
107	1.29342174031373	0.0676559064164104	5	Data	RPF
108	1.33641296625008	0.0751977957663878	5	Data	RPF
109	1.34746785291943	0.0673979590607922	5	Data	RPF
110	1.2418322691901	0.0571906137027608	5	Data	RPF
111	1.13889899109106	0.0575345435102517	5	Data	RPF
112	1.2958783817958	0.0729622520176974	5	Data	RPF
113	1.21026442614541	0.057227463324992	5	Data	RPF
114	1.23200570326179	0.0619442149705805	5	Data	RPF
115	1.26271372178776	0.0631848189190296	5	Data	RPF
116	1.2130895638498	0.0612809217704196	5	Data	RPF
117	1.1847153547318	0.0876284016656993	5	Data	RPF
118	1.15179635887197	0.05906994443655	5	Data	RPF
119	1.20166618095814	0.0582592527474645	5	Data	RPF
120	1.27622524993919	0.0632462349560815	5	Data	RPF
121	1.09332829159853	0.0543531927909615	5	Data	RPF
122	1.15118219850145	0.0582592527474645	5	Data	RPF
123	1.15634114561381	0.0590453780217292	5	Data	RPF
124	1.17230931524731	0.0687491118759348	5	Data	RPF
125	1.13902182316517	0.0607158942295418	5	Data	RPF
126	1.19159395088162	0.061133523281495	5	Data	RPF
127	1.17685410198916	0.0604825132887445	5	Data	RPF
128	1.26885532549295	0.0597578040515317	5	Data	RPF
129	1.24428891067218	0.0767946127297381	5	Data	RPF
130	1.27622524993919	0.0605807789480276	5	Data	RPF
131	1.17931074347123	0.0612072225259573	5	Data	RPF
132	1.22795224481637	0.0623864104373544	5	Data	RPF
133	1.14270678538828	0.0576205259621244	5	Data	RPF
134	1.11728054604878	0.0643640068304267	5	Data	RPF
135	1.25657211808257	0.067803304905335	5	Data	RPF
136	1.16297407761542	0.0599789017849186	5	Data	RPF
137	1.2479738728953	0.072851703151004	5	Data	RPF
138	1.05696999766378	0.056625586161883	5	Data	RPF
139	1.13202039494125	0.0665872673717067	5	Data	RPF
140	1.15474432865046	0.0563430723914441	5	Data	RPF
141	1.09861007078499	0.0579644557696152	5	Data	RPF
142	1.2164060298506	0.0630742700523361	5	Data	RPF
143	1.18926014147365	0.0602245659331264	5	Data	RPF
144	1.17329197184014	0.0620424806298636	5	Data	RPF
145	1.21136991481234	0.0737238108771414	5	Data	RPF
146	1.19748989043861	0.057608242754714	5	Data	RPF
147	1.11666638567826	0.0566133029544727	5	Data	RPF
148	1.21259823555338	0.069265006587171	5	Data	RPF
149	1.15683247391023	0.0598437865034044	5	Data	RPF
150	1.22353029014863	0.0645728213564033	5	Data	RPF
151	1.15646397768791	0.0608018766814145	5	Data	RPF
152	1.05254804299604	0.0530143231832293	5	Data	RPF
153	1.0925912991539	0.0547339722206835	5	Data	RPF
154	1.21566903740598	0.0665258513346548	5	Data	RPF
155	1.09910139908141	0.0593401749995785	5	Data	RPF
156	1.05365353166298	0.0543163431687303	5	Data	RPF
157	1.23569066548491	0.0656783100233381	5	Data	RPF
158	1.07711445781682	0.0542303607168576	5	Data	RPF
159	1.16174575687438	0.0596841048070693	5	Data	RPF
160	1.15511282487277	0.0624232600595856	5	Data	RPF
161	1.15535848902098	0.059831503295994	5	Data	RPF
162	1.07527197670526	0.0559991425839533	5	Data	RPF
163	1.20436848658842	0.0676190567941792	5	Data	RPF
164	1.1463917476114	0.0579767389770256	5	Data	RPF
165	1.08399305396663	0.0569326663471427	5	Data	RPF
166	1.08079942003993	0.0564781876729584	5	Data	RPF
167	1.06581390699926	0.0560114257913637	5	Data	RPF
168	1.26517036326984	0.0692895730019918	5	Data	RPF
169	1.19822688288323	0.0739449086105284	5	Data	RPF
170	1.06974453337058	0.0898025293773377	5	Data	RPF
171	1.06974453337058	0.0666241169939379	5	Data	RPF
172	1.29096509883165	0.0710706380764979	5	Data	RPF
173	1.02675330743423	0.057767924451049	5	Data	RPF
174	1.17967923969355	0.0651378488972811	5	Data	RPF
175	1.06151478440563	0.0614651698815754	5	Data	RPF
176	0.988429700313824	0.0579030397325633	5	Data	RPF
177	1.16850152095009	0.0883776773177329	5	Data	RPF
178	1.06974453337058	0.0581364206733606	5	Data	RPF
179	1.11212159893642	0.0582961023696956	5	Data	RPF
180	1.00869699254096	0.0555569471171794	5	Data	RPF
