ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	Data	Corr
YAL001C	3.06445798922692	NA	-4.9	NA	NA	NA	21.4	1.10168551653594	1
YAL002W	3.10516942799933	1	-0.7	-7	136	0.352941176470588	30.5	0.746082576820026	1
YAL003W	2.31386722036915	0	0	-1.5	22	0.363636363636364	23.7	3.66587050130428	1
YAL007C	2.33243845991561	0	-3.2	-9.4	76	0.381578947368421	22.2	1.81640395903384	1
YAL008W	2.29666519026153	0	-1.4	-9.3	49	0.408163265306122	28.7	2.10847689640277	1
YAL009W	2.41329976408125	0	-1.7	-18	26	0.384615384615385	34.9	1.44362429062677	1
YAL010C	2.69284691927723	0	-0.4	-5.5	42	0.380952380952381	30.4	1.19148728855444	1
YAL011W	2.79588001734408	0	-0.3	-9	15	0.333333333333333	33.9	1.06011605835549	1
YAL012W	2.59549622182557	0	0	-1.5	65	0.4	28.7	3.30530815464673	1
YAL013W	2.60745502321467	0	-2.8	-8	19	0.263157894736842	30.2	1.91239082941789	1
YAL014C	2.40654018043396	1	-2.5	-13.3	49	0.408163265306122	38.4	1.60861272098449	1
YAL015C	2.60097289568675	NA	0	NA	NA	NA	10.2	1.41778079118713	1
YAL016W	2.80277372529198	0	-1.2	-6.9	88	0.375	24.3	2.14518278729369	1
YAL017W	3.13225968953104	NA	-1.6	NA	NA	NA	0.7	1.19910908153777	1
YAL018C	2.51188336097887	NA	0	NA	NA	NA	NA	1.69656718516915	1
YAL019W	3.05346260492546	0	0	-13.4	111	0.333333333333333	22	1.77550509616136	1
YAL020C	2.52244423350632	NA	-3.6	NA	NA	NA	NA	0.967342171943061	1
YAL021C	2.92272545799326	NA	-0.1	NA	NA	NA	31.1	1.96845190592955	1
YAL022C	2.71349054309394	0	-2.3	-11.7	17	0.294117647058824	35.8	1.32055951030894	1
YAL023C	2.88024177589548	0	-0.9	-5.9	89	0.370786516853933	23.9	1.94968700971863	1
YAL024C	3.15685190107001	NA	-1.3	NA	NA	NA	19.5	0.93616050175578	1
YAL025C	2.48572142648158	0	-1.3	-7.2	24	0.333333333333333	32.5	2.66222960916978	1
YAL026C	3.13193929521042	NA	-4.7	NA	NA	NA	NA	1.05523518689196	1
YAL027W	2.41664050733828	1	-3.3	-4.9	81	0.37037037037037	31.3	1.28932140834619	1
YAL028W	2.72263392253381	NA	-0.9	NA	NA	NA	44.8	0.470871133312502	1
YAL029C	3.16761267272753	NA	0	NA	NA	NA	26.4	0.917807637485492	1
YAL030W	2.06818586174616	0	-3.1	-11	23	0.347826086956522	24.2	2.18285765379417	1
YAL031C	2.88081359228079	NA	-0.2	NA	NA	NA	28.5	1.37461045500016	1
YAL032C	2.57863920996807	0	-5.7	-5	21	0.333333333333333	37.4	1.81712606927729	1
YAL033W	2.2380461031288	NA	0	NA	NA	NA	27.7	1.61469132101916	1
YAL034C	2.6159500516564	NA	-1	NA	NA	NA	NA	2.04439755313759	1
YAL034W-A	2.46089784275655	0	-0.4	-9	45	0.377777777777778	30.1	1.32529861007253	1
YAL035W	3.00086772153123	0	-0.7	-4	27	0.37037037037037	21.4	2.47653195575066	1
YAL036C	2.56702636615906	NA	-2.6	NA	NA	NA	20.5	2.24276240516278	1
YAL037C-A	1.47712125471966	NA	-4.8	NA	NA	NA	NA	0.373642294046224	0
YAL037W	2.42651126136458	NA	-2.1	NA	NA	NA	NA	0.639058792310056	0
YAL038W	2.69897000433602	0	0	-4	28	0.392857142857143	19	2.95620999937195	1
YAL039C	2.42975228000241	0	0	-3.2	57	0.385964912280702	32	2.29622908193367	1
YAL040C	2.76342799356294	1	0	-8.8	322	0.397515527950311	30.1	1.43364335432462	1
YAL041W	2.931457870689	0	-0.9	-13.7	33	0.393939393939394	21.1	1.42002450629785	1
YAL042W	2.61804809671209	0	0	-11.7	17	0.294117647058824	26.9	1.8767333038138	1
YAL043C	2.89486965674525	NA	0	NA	NA	NA	3.3	1.64866376195485	1
YAL044C	2.23044892137827	0	0	-7.3	10	0.5	25.3	3.04560152523759	1
YAL044W-A	2.04139268515822	0	0	-12.7	2	1	34.2	2.03759106198206	1
YAL046C	2.07188200730613	NA	0	NA	NA	NA	NA	1.90726587955507	1
YAL047C	2.79379038469082	NA	0	NA	NA	NA	NA	1.20021750618318	1
YAL048C	2.8208579894397	0	-4	-13.2	2	1	NA	1.09973351674263	1
YAL049C	2.39093510710338	NA	0	NA	NA	NA	27.5	2.2317701458121	1
YAL051W	3.01994668167884	0	-0.3	-8.8	26	0.384615384615385	33	1.10645423335936	1
YAL053W	2.89376176205794	NA	0	NA	NA	NA	29.3	2.66582077355866	1
YAL054C	2.85308952985187	NA	-0.4	NA	NA	NA	NA	3.19737561522683	1
YAL055W	2.25527250510331	0	0	-3.4	1	1	30.4	1.36381553411545	1
YAL056W	2.94448267215017	NA	0	NA	NA	NA	22.9	1.29845940616062	1
YAL058W	2.70070371714502	NA	0	NA	NA	NA	28.8	1.22207679975523	1
YAL059W	2.32633586092875	NA	-1.9	NA	NA	NA	NA	2.51029816183835	1
YAL060W	2.58206336291171	NA	-2.1	NA	NA	NA	NA	2.23401035109284	1
YAL061W	2.62013605497376	NA	-1	NA	NA	NA	NA	1.63028498965556	1
YAL067C	2.77305469336426	NA	0	NA	NA	NA	NA	2.76519664381125	1
YAR002C-A	2.34044411484012	NA	-0.3	NA	NA	NA	NA	2.16366952415966	1
YAR002W	2.73158876518674	0	-1.1	-3.9	43	0.372093023255814	25.1	2.03945898740027	1
YAR003W	2.62940959910272	0	0	-11.5	86	0.383720930232558	35.3	1.31460259147734	1
YAR007C	2.79309160017658	NA	0	NA	NA	NA	27	2.17697517194194	1
YAR008W	2.43933269383026	NA	-2.2	NA	NA	NA	28.2	1.33363713237464	1
YAR014C	2.85064623518307	0	-4.7	-11.8	151	0.357615894039735	33.9	1.75524774074944	1
YAR015W	2.48572142648158	0	0	-12.6	104	0.336538461538462	27.4	2.85011700984288	1
YAR018C	2.63848925695464	NA	-3.3	NA	NA	NA	NA	0.726287528118642	1
YAR019C	2.98855895687862	0	-2	-10.3	34	0.382352941176471	20.6	1.06791082370586	1
YAR023C	2.25285303097989	NA	-2.2	NA	NA	NA	57	1.10138024681101	1
YAR027W	2.37106786227174	NA	0	NA	NA	NA	NA	1.54599774637944	1
YAR028W	2.36921585741014	NA	-4.5	NA	NA	NA	32.4	1.06185378045257	1
YAR029W	1.86923171973098	NA	0	NA	NA	NA	NA	0.0852014256902632	0
YAR035W	2.83695673705955	NA	0	NA	NA	NA	NA	2.52313125132201	1
YAR042W	3.07481644064517	NA	0	NA	NA	NA	NA	1.34845946546039	1
YBL001C	2.01703333929878	0	-2.1	-9.2	62	0.403225806451613	20.2	2.61581569244423	1
YBL002W	2.11727129565576	0	0	-2.8	24	0.333333333333333	24.7	2.75520757182632	1
YBL004W	3.39672227850377	NA	-0.4	NA	NA	NA	22.5	1.6565443660497	1
YBL005W	2.98944981766669	NA	-3	NA	NA	NA	41.1	0.874505532843624	1
YBL006C	2.25527250510331	NA	-2.2	NA	NA	NA	30.8	1.92268714121897	1
YBL007C	3.0948203803548	0	-1.4	-11.9	50	0.42	28.5	1.83923588179559	1
YBL008W	2.92427928606188	NA	-4.6	NA	NA	NA	26.1	1.15672239723088	1
YBL008W-A	1.89762709129044	NA	-3.3	NA	NA	NA	NA	1.74673379463488	1
YBL009W	2.82994669594164	1	-2.2	-10.5	38	0.394736842105263	32.1	1.59762591080893	1
YBL010C	2.44715803134222	0	-1.4	-14.4	3	0.666666666666667	20.7	1.7371063786596	1
YBL011W	2.88024177589548	1	-1.9	-9.7	102	0.343137254901961	19.2	1.22779038708291	1
YBL013W	2.60314437262018	0	-0.1	-3.5	67	0.388059701492537	4.7	1.02387925005827	1
YBL014C	2.95133751879592	NA	-2.4	NA	NA	NA	NA	0.822070193199336	1
YBL015W	2.72098574415374	0	0	-4.3	93	0.354838709677419	21.5	2.84631250752073	1
YBL016W	2.54777470538782	NA	0	NA	NA	NA	NA	1.13759661525688	1
YBL017C	3.19838213000829	NA	-1.2	NA	NA	NA	NA	1.47357916490085	1
YBL018C	2.12385164096709	1	-0.1	-9.6	34	0.382352941176471	27.9	1.66961324660287	1
YBL019W	2.7160033436348	0	-2.4	-13.3	33	0.393939393939394	35.3	1.11090409742981	1
YBL020W	2.75891189239797	0	-1.5	-9.5	56	0.392857142857143	40.4	0.956151973817842	1
YBL021C	2.15836249209525	0	-1.7	-7.1	48	0.395833333333333	32.1	1.88204627027227	1
YBL022C	3.0542299098634	0	-1.3	-11.9	120	0.358333333333333	19.7	1.8113809081881	1
YBL023C	2.93851972517649	NA	0	NA	NA	NA	NA	1.75292526405315	1
YBL024W	2.83505610172012	NA	-1.6	NA	NA	NA	28.7	2.21691834843588	1
YBL025W	2.16136800223497	0	0	-5.1	49	0.408163265306122	NA	1.66268848765752	1
YBL026W	1.97772360528885	NA	-1.7	NA	NA	NA	30.5	2.41600031389796	1
YBL028C	2.02530586526477	0	-1.4	-6.9	28	0.392857142857143	30	2.70781184251078	1
YBL029C-A	1.9731278535997	1	0	-7.6	118	0.355932203389831	24.3	2.5409596287944	1
YBL029W	2.57518784492766	NA	0	NA	NA	NA	6.1	2.51495096463542	1
YBL030C	2.50242711998443	0	-0.7	-3.9	141	0.354609929078014	23.3	3.22268465657233	1
YBL031W	2.52891670027765	0	0	-9.8	31	0.419354838709677	37.4	0.674672289710205	1
YBL032W	2.58092497567562	NA	0	NA	NA	NA	21.4	1.67101659066779	1
YBL033C	2.53781909507327	0	0	-1.5	29	0.379310344827586	27.6	2.26016940600453	1
YBL034C	3.17983892802319	NA	-6.4	NA	NA	NA	NA	1.1980995896912	1
YBL035C	2.8481891169914	NA	-1.6	NA	NA	NA	29.1	1.51023838480654	1
YBL036C	2.40993312333129	0	-2.4	-6.2	17	0.294117647058824	32.9	2.17221808498661	1
YBL037W	3.01072386539177	NA	-0.6	NA	NA	NA	21.1	0.871257420174173	1
YBL038W	2.3654879848909	0	-1.6	-10.2	75	0.373333333333333	25.9	2.01587600907761	1
YBL039C	2.76267856372744	NA	0	NA	NA	NA	27.6	2.66055367251221	1
YBL039W-B	1.77085201164214	0	-0.5	-11.4	73	0.383561643835616	44.2	1.57871782050216	1
YBL040C	2.34044411484012	0	-2.1	-7.4	29	0.379310344827586	24	2.26052374752388	1
YBL041W	2.38201704257487	0	-0.4	-8	32	0.40625	33.5	2.5720077004878	1
YBL042C	2.8055008581584	0	-1.6	-6.4	57	0.385964912280702	23.7	1.52306961995438	1
YBL043W	2.40993312333129	NA	-3	NA	NA	NA	NA	2.62495885713628	1
YBL044W	2.08635983067475	NA	-3.9	NA	NA	NA	NA	0.0468050347759572	0
YBL045C	2.65991620006985	0	0	-8	98	0.357142857142857	24.5	2.59521711643662	1
YBL046W	2.64443858946784	0	-1.3	-8.5	9	0.555555555555556	23.6	1.43054159603811	1
YBL047C	3.14019367857863	NA	0	NA	NA	NA	NA	1.84231995579962	1
YBL049W	2.13987908640124	0	-2.1	-6.2	206	0.378640776699029	27.3	2.47401283916379	1
YBL050W	2.46538285144842	0	-1.4	-7.2	68	0.382352941176471	29.8	2.09623357807606	1
YBL051C	2.82477646247555	0	-0.3	-8.6	64	0.40625	26	1.72383744956225	1
YBL052C	2.91960102378411	NA	-1.4	NA	NA	NA	30.1	0.680271788222271	1
YBL054W	2.72015930340596	NA	-0.4	NA	NA	NA	NA	2.45161921014718	1
YBL055C	2.62117628177504	NA	0	NA	NA	NA	1.3	1.69274196390055	1
YBL056W	2.67024585307412	NA	0	NA	NA	NA	0.3	2.00243163473686	1
YBL057C	2.31806333496276	NA	-2.1	NA	NA	NA	NA	1.60386373686047	1
YBL058W	2.62634036737504	0	0	-9.3	42	0.380952380952381	29.5	2.31164126325695	1
YBL059C-A	2.03742649794062	NA	0	NA	NA	NA	NA	1.82195077501988	1
YBL059W	2.28555730900777	NA	-2.4	NA	NA	NA	26.9	1.6525775549682	1
YBL060W	2.83695673705955	NA	-0.2	NA	NA	NA	36.9	0.610255444387623	1
YBL061C	2.84260923961056	0	0	-8.6	101	0.346534653465347	23.4	2.10516246406397	1
YBL063W	3.04571405894087	0	-1.4	-10.5	18	0.277777777777778	27.6	0.541918329909357	1
YBL064C	2.41664050733828	0	-0.3	-8.8	13	0.384615384615385	26.8	2.70823119207296	1
YBL066C	3.05994188806195	1	-3.4	-11.6	68	0.382352941176471	26.6	1.22881494353745	1
YBL067C	2.8733206018154	0	-3.2	-8.9	268	0.369402985074627	34.8	1.22119771962226	1
YBL068W	2.51321760006794	NA	-1.5	NA	NA	NA	30.1	2.08180848279292	1
YBL069W	2.63245729218472	NA	-1.8	NA	NA	NA	34.1	1.59009146416587	1
YBL071C-B	1.50514997831991	NA	-1.6	NA	NA	NA	NA	1.14780916343828	0
YBL071W-A	1.91381385238372	0	-0.2	-4.6	44	0.363636363636364	37	2.63076930138452	1
YBL074C	2.55022835305509	0	-2.8	-9.2	15	0.333333333333333	NA	0.489528801639063	0
YBL075C	2.81224469680037	NA	-0.2	NA	NA	NA	43.1	2.76064691464002	1
YBL076C	3.03019478535675	0	-1.1	-9.3	18	0.277777777777778	21	2.35812964432433	1
YBL078C	2.06818586174616	NA	0	NA	NA	NA	6.5	3.24181310722793	1
YBL079W	3.17666993266815	0	-0.3	-9.7	95	0.357894736842105	25.8	1.33830786903706	1
YBL080C	2.73319726510657	0	-1.2	-12	17	0.294117647058824	30.3	0.676485630473673	1
YBL082C	2.66086547800387	NA	0	NA	NA	NA	33	1.17783534629422	1
YBL085W	2.9912260756925	0	0	-4.3	209	0.382775119617225	19.3	1.32193747440208	1
YBL086C	2.66838591669	NA	-2.2	NA	NA	NA	NA	1.75902140292849	1
YBL088C	3.4451369687133	NA	0	NA	NA	NA	42.1	0.143925958774713	1
YBL089W	2.66181268553726	NA	-1.7	NA	NA	NA	NA	1.1715263305937	1
YBL090W	2.24797326636181	0	0	-6.3	32	0.40625	32.2	1.98296663962377	1
YBL091C	2.62428209583567	0	-7.4	-8.6	32	0.40625	26.6	1.95124433489988	1
YBL091C-A	2.24303804868629	0	0	-10.9	14	0.357142857142857	25	1.50983880060389	1
YBL092W	2.11394335230684	10	0	-5.6	366	0.407103825136612	19.4	3.42473164179251	1
YBL093C	2.34242268082221	0	0	-5.7	81	0.37037037037037	31.1	2.53195380961909	1
YBL095W	2.43136376415899	2	-2.3	-7.4	45	0.377777777777778	38.9	1.86585024884897	1
YBL097W	2.87737134586977	NA	-1.7	NA	NA	NA	NA	0.795268989244556	1
YBL098W	2.66275783168157	0	-4.2	-11.8	31	0.419354838709677	26.3	1.75536939936278	1
YBL099W	2.73639650227664	NA	0	NA	NA	NA	0.8	2.89324986677863	1
YBL101C	3.04805317311561	NA	-4.2	NA	NA	NA	NA	1.86691521796474	1
YBL102W	2.33243845991561	0	0	-13	107	0.327102803738318	26.5	1.879728588536	1
YBL103C	2.68663626926229	NA	-3.7	NA	NA	NA	0	1.84434204725634	1
YBL104C	3.01619735351244	0	0	-10.8	26	0.384615384615385	23.7	1.03321355219002	1
YBL105C	3.06107532362979	NA	0	NA	NA	NA	NA	1.54750450601983	1
YBL106C	3.00432137378264	NA	0	NA	NA	NA	19.5	-0.176388697277729	0
YBL107C	2.29225607135648	0	0	-7.9	1	1	32.7	2.04980534062059	1
YBR001C	2.89209460269048	NA	-1.8	NA	NA	NA	NA	1.74861293260807	1
YBR002C	2.45636603312904	0	0	-10.3	1	1	29.5	1.76797052561581	1
YBR003W	2.67486114073781	0	-6.9	-14.7	30	0.4	21.4	1.36894588744664	1
YBR004C	2.63648789635337	0	0	-6.6	17	0.294117647058824	36.5	2.06370037868665	1
YBR005W	2.32837960343874	0	0	-5.8	36	0.416666666666667	37.7	2.78081727984875	1
YBR006W	2.69635638873333	NA	0	NA	NA	NA	NA	1.73302341677789	1
YBR007C	2.8668778143375	NA	-4.6	NA	NA	NA	23.1	1.58135368436108	1
YBR008C	2.73878055848437	4	-2.3	-8.4	219	0.378995433789954	52.6	0.436984959408012	1
YBR011C	2.45788189673399	0	-0.7	-4.2	32	0.40625	29.9	3.06458686455393	1
YBR013C	2.11058971029925	NA	-1.3	NA	NA	NA	NA	1.33565492588308	1
YBR014C	2.30749603791321	NA	-0.8	NA	NA	NA	NA	1.90064009238393	1
YBR015C	2.77597433112937	0	0	-9.4	94	0.361702127659574	26.1	2.05309091790201	1
YBR016W	2.10720996964787	NA	-0.6	NA	NA	NA	26.7	2.86373676673408	1
YBR017C	2.96284268120124	NA	-1.9	NA	NA	NA	29.2	1.79248238887989	1
YBR018C	2.56348108539441	NA	-1	NA	NA	NA	NA	0.501221126820732	0
YBR019C	2.84447717574568	NA	-1.9	NA	NA	NA	NA	0.112217571350095	0
YBR020W	2.72263392253381	NA	-0.4	NA	NA	NA	NA	0.198612880218546	0
YBR021W	2.80140371001736	NA	-4.3	NA	NA	NA	NA	1.527500158425	1
YBR022W	2.24797326636181	0	-0.5	-4.3	15	0.333333333333333	33.1	1.38906265291372	1
YBR023C	3.06632592536204	NA	-2	NA	NA	NA	21.2	1.92516799324343	1
YBR024W	2.47856649559384	NA	-0.5	NA	NA	NA	19.8	1.48417194499224	1
YBR025C	2.59549622182557	0	0	-4.8	22	0.363636363636364	25.1	2.68472156018695	1
YBR026C	2.57978359661681	0	0	-3.2	4	0.75	26.6	2.28645805467917	1
YBR028C	2.72015930340596	1	-5.5	-8.6	101	0.346534653465347	33.1	1.5362894066992	1
YBR029C	2.65991620006985	0	0	-8.8	81	0.37037037037037	36.8	2.25915948264896	1
YBR030W	2.7419390777292	2	0	-12.7	90	0.366666666666667	36.2	0.762007566969213	1
YBR033W	2.96331551138611	NA	-0.2	NA	NA	NA	NA	1.01303934972443	1
YBR034C	2.54157924394658	0	0	-4.7	30	0.4	22.9	2.51937316967675	1
YBR035C	2.35793484700045	0	-1.7	-8	28	0.392857142857143	27.2	2.57357075767145	1
YBR036C	2.61278385671974	NA	0	NA	NA	NA	27.5	2.17010821354584	1
YBR037C	2.46982201597816	NA	0	NA	NA	NA	31.9	1.12645051868917	1
YBR038W	2.98362628712453	0	0	-7.2	38	0.394736842105263	30.4	-0.034615403964434	0
YBR039W	2.49276038902684	0	-1	-9	88	0.375	26.2	2.70980263734962	1
YBR040W	2.47421626407626	NA	0	NA	NA	NA	NA	1.80439221431234	1
YBR041W	2.82542611776782	0	0	-3.6	54	0.407407407407407	22.9	1.64681525126533	1
YBR042C	2.59879050676312	NA	-3.9	NA	NA	NA	34.2	1.59449603174876	1
YBR043C	2.83821922190763	2	-4	-8.3	150	0.353333333333333	46.2	1.41258497692158	1
YBR044C	2.75739602879302	NA	-1.7	NA	NA	NA	35.8	0.933645108486781	1
YBR045C	2.8055008581584	NA	-4	NA	NA	NA	NA	0.75488267008278	1
YBR046C	2.52374646681156	0	-0.3	-1.6	32	0.40625	24.3	2.39339809473082	1
YBR047W	2.24303804868629	1	-4.3	-7.4	54	0.407407407407407	33.1	2.1754097772604	1
YBR049C	2.90848501887865	0	0	-4.8	150	0.353333333333333	26.2	1.95165265452047	1
YBR050C	2.52891670027765	3	0	-10.1	179	0.385474860335196	38	3.06051366020264	1
YBR052C	2.32221929473392	0	0	-0.3	65	0.4	38.2	2.40309769218322	1
YBR053C	2.55388302664387	0	-1.5	-10.4	13	0.384615384615385	32.9	1.5364468612678	1
YBR054W	2.53655844257153	0	-0.5	-1.5	315	0.393650793650794	29.1	2.1284031215384	1
YBR055C	2.95375969173323	NA	0	NA	NA	NA	28.2	1.38107220725525	1
YBR056W	2.69983772586725	0	0	-2.2	38	0.394736842105263	24.7	1.84234902407773	1
YBR057C	2.56348108539441	NA	-2.6	NA	NA	NA	32.5	2.17583178529731	1
YBR058C	2.8926510338773	0	-2.3	-7.4	23	0.347826086956522	25.5	1.71509046081805	1
YBR058C-A	1.90308998699194	0	-0.3	-3.5	45	0.377777777777778	31	2.6241632442071	1
YBR059C	3.04453976039241	0	-1.2	-9.1	151	0.357615894039735	25.8	1.47989386696682	1
YBR060C	2.79239168949825	NA	-3	NA	NA	NA	35.5	1.13855746490383	1
YBR061C	2.49136169383427	0	0	-2.9	8	0.625	26.1	2.16079903071668	1
YBR062C	2.25527250510331	NA	0	NA	NA	NA	NA	1.8981374307377	1
YBR063C	2.60638136511061	NA	0	NA	NA	NA	NA	0.622830957472271	1
YBR065C	2.56110138364906	0	0	-3.6	32	0.40625	18.3	1.89023901984342	1
YBR066C	2.34242268082221	NA	0	NA	NA	NA	31.1	2.66379608869465	1
YBR067C	2.32221929473392	NA	0	NA	NA	NA	28.1	2.77369243767459	1
YBR068C	2.78461729263288	0	-0.2	-14.4	15	0.333333333333333	31.8	2.46389527206821	1
YBR069C	2.79169064902012	0	0	-11	106	0.330188679245283	30.8	1.91921080765881	1
YBR070C	2.3747483460101	0	-3.6	-13.9	22	0.363636363636364	34.5	1.53491189044344	1
YBR071W	2.32428245529769	0	-1.1	-3.5	73	0.383561643835616	39	1.98637962170691	1
YBR072C-A	1.72427586960079	NA	-0.4	NA	NA	NA	NA	-0.19831596505863	0
YBR072W	2.33041377334919	0	0	-2.8	75	0.373333333333333	24.3	3.22395557365227	1
YBR073W	2.98136550907854	NA	-3.2	NA	NA	NA	NA	1.31243024416272	1
YBR074W	2.98944981766669	0	0	-8.2	6	0.666666666666667	27.1	1.73869255558553	1
YBR076W	2.54900326202579	NA	-1.5	NA	NA	NA	NA	0.354479134759215	0
YBR077C	2.20951501454263	NA	-2.1	NA	NA	NA	NA	2.52460482657008	1
YBR078W	2.63245729218472	0	-0.1	-3.5	177	0.389830508474576	23.8	3.03941477185165	1
YBR079C	2.98407703390283	0	0	-8.1	26	0.384615384615385	21.6	2.38610385998729	1
YBR080C	2.87966920563205	0	-0.4	-11.3	1	1	25.7	2.04148890981497	1
YBR081C	3.12450422483428	NA	0	NA	NA	NA	23.6	1.12064798167573	1
YBR082C	2.17026171539496	0	0	-1.8	50	0.42	26.8	2.95907105370069	1
YBR083W	2.68663626926229	0	0	-7.8	34	0.382352941176471	36.1	1.76625062482177	1
YBR084W	2.98900461569854	0	0	-22.6	15	0.333333333333333	24.8	1.89496501368384	1
YBR085C-A	1.92941892571429	NA	0	NA	NA	NA	33.8	3.55406338571109	1
YBR085W	2.48713837547719	NA	-3.7	NA	NA	NA	27.3	1.1838291138146	1
YBR086C	2.97589113640179	1	-2.1	-12.3	304	0.388157894736842	22.3	1.64643499051939	1
YBR087W	2.54900326202579	0	0	-8	12	0.416666666666667	31.7	1.51029443784058	1
YBR088C	2.41161970596323	0	0	-1.8	41	0.390243902439024	23.2	2.02807118872333	1
YBR091C	2.03742649794062	0	-0.1	-7.2	42	0.380952380952381	31.2	2.03614962420277	1
YBR094W	2.8767949762007	NA	-0.2	NA	NA	NA	33.2	1.43783428474737	1
YBR095C	2.63346845557959	0	-3.1	-15.8	41	0.390243902439024	29.6	1.67233247540811	1
YBR096W	2.36172783601759	0	0	-4.3	63	0.412698412698413	30.8	1.83692982568898	1
YBR097W	3.16256440652302	NA	-1.1	NA	NA	NA	30.2	0.293436117276054	1
YBR098W	2.8394780473742	0	-1.3	-8.7	13	0.384615384615385	30.9	1.19282033555846	1
YBR101C	2.46239799789896	0	0	-6	73	0.383561643835616	28.8	2.57832837864879	1
YBR102C	2.8767949762007	1	0	-3.9	79	0.367088607594937	31.3	1.33474773834104	1
YBR103W	2.72835378202123	NA	-4.6	NA	NA	NA	12.7	1.33035610929793	1
YBR104W	2.51719589794997	1	-1.5	-6.6	89	0.370786516853933	29.6	1.65627991771848	1
YBR105C	2.55870857053317	0	0	-5.9	24	0.333333333333333	34.8	2.43862727579249	1
YBR106W	2.27415784926368	0	-0.7	-0.8	40	0.4	26.4	2.97795279503955	1
YBR107C	2.38916608436453	NA	-3.5	NA	NA	NA	46.5	0.884972060964284	1
YBR108W	2.97634997900327	NA	0	NA	NA	NA	29.8	1.73651162912267	1
YBR109C	2.16731733474818	NA	0	NA	NA	NA	27.7	2.96094852713254	1
YBR110W	2.65224634100332	NA	-2.8	NA	NA	NA	NA	1.78383057564919	1
YBR111C	2.36361197989214	NA	0	NA	NA	NA	1.9	2.17795511922561	1
YBR111W-A	1.98227123303957	NA	-3.8	NA	NA	NA	NA	2.24322114390671	1
YBR114W	2.89762709129044	0	-1.2	-9.8	79	0.367088607594937	32.7	1.66743388078629	1
YBR115C	3.14363923527454	NA	-2	NA	NA	NA	NA	1.60514179692433	1
YBR117C	2.83314711191279	NA	0	NA	NA	NA	NA	1.37855289255096	1
YBR119W	2.47421626407626	0	0	-3.9	38	0.394736842105263	26.6	1.62252951507878	1
YBR120C	2.20951501454263	NA	-1.5	NA	NA	NA	24.9	1.7940660721412	1
YBR121C	2.82412583391655	0	-1.6	-9.8	165	0.381818181818182	22.3	2.35393270503433	1
YBR122C	2.24797326636181	NA	-3	NA	NA	NA	NA	1.83981288407337	1
YBR123C	2.81224469680037	NA	-1	NA	NA	NA	29.6	1.22199024557367	1
YBR125C	2.59439255037543	0	-3.1	-8.9	189	0.391534391534392	36.2	1.63052162981959	1
YBR126C	2.69460519893357	0	0	-8.1	108	0.324074074074074	31.5	2.19207882763475	1
YBR127C	2.71349054309394	0	-2	-10	65	0.4	24.2	2.48768996632712	1
YBR128C	2.53655844257153	NA	-4.9	NA	NA	NA	30.6	1.07213037362567	1
YBR129C	2.51587384371168	NA	-1.1	NA	NA	NA	32.5	1.80887776735043	1
YBR130C	2.62838893005031	0	-2.9	-12	61	0.409836065573771	28.5	1.65040748243153	1
YBR131W	2.84757265914211	1	0	-8.6	31	0.419354838709677	NA	0.95723634683009	1
YBR132C	2.77524625974024	NA	-0.8	NA	NA	NA	NA	1.70320283196899	1
YBR133C	2.91750550955255	NA	-1	NA	NA	NA	32	1.01848107591694	1
YBR135W	2.17609125905568	0	0	-11.8	105	0.333333333333333	23.8	2.08325141511887	1
YBR136W	3.37438169805088	NA	-1.1	NA	NA	NA	23.3	0.437543100634431	1
YBR137W	2.25285303097989	NA	-0.3	NA	NA	NA	NA	1.905860435917	1
YBR138C	2.71933128698373	NA	-1.6	NA	NA	NA	NA	1.18362107771379	1
YBR139W	2.70586371228392	NA	0	NA	NA	NA	14.7	2.09699050657033	1
YBR140C	3.49023948524629	NA	0	NA	NA	NA	NA	0.924823264616092	1
YBR141C	2.52762990087134	0	-2	-7.5	15	0.333333333333333	32.7	1.43457143075569	1
YBR142W	2.88817949391832	0	0	-9.4	48	0.395833333333333	24	1.9770750432822	1
YBR143C	2.64048143697042	0	-0.6	-2.8	37	0.405405405405405	23.5	2.71656943923252	1
YBR145W	2.54530711646582	0	0	-1.5	42	0.380952380952381	36.7	1.42167748943444	1
YBR146W	2.44404479591808	0	-4.4	-13	44	0.363636363636364	28.5	1.82955459791731	1
YBR147W	2.47129171105894	NA	-1.5	NA	NA	NA	47.6	2.0117588619864	1
YBR148W	2.78461729263288	NA	0	NA	NA	NA	NA	1.3528369109255	1
YBR149W	2.53655844257153	0	-4.6	-6	70	0.385714285714286	26.8	2.42586029052813	1
