"Year"	"Author"	"Dataset"	"Position"	"X5prime"	"Reads"	"SD"	"Type"	"DataType"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	499	0	1.0056	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	498	0	1.1456	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	497	0	1.0047	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	496	0	0.9966	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	495	0	1.0801	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	494	0	0.9688	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	493	0	0.9616	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	492	0	1.0541	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	491	0	1.1349	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	490	0	1.0397	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	489	0	0.9876	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	488	0	1.0729	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	487	0	0.9445	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	486	0	1.0576	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	485	0	1.0648	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	484	0	0.984	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	483	0	1.0208	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	482	0	0.9328	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	481	0	0.9257	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	480	0	0.9786	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	479	0	0.9939	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	478	0	1.0038	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	477	0	0.9535	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	476	0	0.8761	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	475	0	0.9337	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	474	0	0.9786	0	100	"RPF"
"2012"	"Brar"	"rpf_E_tp_traditional_tc_first_lane_of_this"	473	0	0.967	0	100	"RPF"
