"Year"	"Author"	"Dataset"	"Position"	"X5prime"	"Reads"	"SD"	"Type"	"DataType"
"2014"	"Guydosh"	"dom34KO_3-AT"	499	0	1.1655	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	498	0	4.6922	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	497	0	0.8944	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	496	0	0.756	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	495	0	0.9306	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	494	0	0.9698	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	493	0	0.8461	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	492	0	0.6908	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	491	0	0.7753	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	490	0	0.8216	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	489	0	0.8311	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	488	0	0.9141	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	487	0	0.9484	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	486	0	0.9117	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	485	0	0.9639	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	484	0	0.9899	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	483	0	0.982	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	482	0	1.0771	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	481	0	1.1497	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	480	0	1.2158	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	479	0	1.1294	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	478	0	1.3761	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	477	0	1.2419	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	476	0	1.3725	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	475	0	1.4604	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	474	0	1.4521	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	473	0	1.4105	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	472	0	1.5055	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	471	0	1.5922	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	470	0	1.4972	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	469	0	1.7513	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	468	0	1.7715	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	467	0	1.7002	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	466	0	1.8213	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	465	0	1.7928	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	464	0	1.7869	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	463	0	1.8878	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	462	0	1.8035	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	461	0	1.7762	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	460	0	1.7893	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	459	0	1.8771	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	458	0	1.9187	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	457	0	1.8724	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	456	0	1.9032	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	455	0	1.8273	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	454	0	1.7204	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	453	0	1.8332	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	452	0	1.7762	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	451	0	1.737	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	450	0	1.756	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	449	0	1.8	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	448	0	1.8474	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	447	0	1.813	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	446	0	1.8451	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	445	0	1.7988	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	444	0	1.8807	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	443	0	1.8926	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	442	0	1.724	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	441	0	1.7406	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	440	0	1.781	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	439	0	1.8094	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	438	0	1.8356	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	437	0	1.8664	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	436	0	1.7833	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	435	0	1.6931	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	434	0	1.699	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	433	0	1.7406	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	432	0	1.8249	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	431	0	1.9163	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	430	0	1.8379	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	429	0	1.8902	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	428	0	1.8332	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	427	0	1.6824	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	426	0	1.7857	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	425	0	1.7548	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	424	0	1.705	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	423	0	1.8593	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	422	0	1.794	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	421	0	1.7525	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	420	0	1.724	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	419	0	1.7881	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	418	0	1.667	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	417	0	1.6872	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	416	0	1.6777	0	100	"RPF"
"2014"	"Guydosh"	"dom34KO_3-AT"	415	0	1.7596	0	100	"RPF"
