Position	Mean	SD	End	BG	DataType
1	5.03187595113725	0.0885205445646362	5	Data	RPF
2	13.733393657714	0.189281454365977	5	Data	RPF
3	3.27479126393288	0.0631267223296179	5	Data	RPF
4	3.52774236005429	0.069666433595196	5	Data	RPF
5	3.77575782503188	0.0673713651133139	5	Data	RPF
6	4.60370994940978	0.0751079669312713	5	Data	RPF
7	3.61041418171349	0.058203430263645	5	Data	RPF
8	3.79673425739316	0.0613745732735574	5	Data	RPF
9	3.73874059145313	0.0603380907333525	5	Data	RPF
10	3.75107966931271	0.0611154526385061	5	Data	RPF
11	3.70789289680418	0.0591041829473944	5	Data	RPF
12	3.69185209558672	0.0583514991979599	5	Data	RPF
13	3.54871879241558	0.057228643112738	5	Data	RPF
14	3.46604697075639	0.051836466088101	5	Data	RPF
15	3.52280672891046	0.0560687697939374	5	Data	RPF
16	3.40435158145848	0.0518117879323819	5	Data	RPF
17	3.40435158145848	0.0517994488545223	5	Data	RPF
18	3.35993090116399	0.0513922592851561	5	Data	RPF
19	3.26121827828734	0.0530827129519187	5	Data	RPF
20	3.17607864105622	0.0487270184674865	5	Data	RPF
21	3.05762349360425	0.0455805536132933	5	Data	RPF
22	3.13782749969152	0.0500596388763213	5	Data	RPF
23	3.07736601817957	0.0487763747789249	5	Data	RPF
24	3.01937235223954	0.0464319499856044	5	Data	RPF
25	2.8996832970016	0.0440258298029861	5	Data	RPF
26	2.88117468021223	0.0438530827129519	5	Data	RPF
27	2.82688273763007	0.0448031917081397	5	Data	RPF
28	2.70472586682022	0.0435322666886028	5	Data	RPF
29	2.56406037922099	0.0395961008513964	5	Data	RPF
30	2.48632418870563	0.0364989923086415	5	Data	RPF
31	2.47398511084605	0.0376588656274421	5	Data	RPF
32	2.40612018261835	0.0377699173281783	5	Data	RPF
33	2.32098054538724	0.0358696993378028	5	Data	RPF
34	2.18401678114589	0.0330317114300991	5	Data	RPF
35	2.17661333443014	0.0337103607123761	5	Data	RPF
36	2.10134495948669	0.0341175502817423	5	Data	RPF
37	2.01620532225558	0.0328219471064862	5	Data	RPF
38	1.89528235923169	0.0291572409821906	5	Data	RPF
39	1.86937029572657	0.0300086373545017	5	Data	RPF
40	1.84962777115124	0.0345247398511085	5	Data	RPF
41	1.76078641056225	0.0272940402253938	5	Data	RPF
42	1.65220252539794	0.0269732242010447	5	Data	RPF
43	1.64850080204006	0.0313906140747748	5	Data	RPF
44	1.59914449060174	0.0290955455928927	5	Data	RPF
45	1.59914449060174	0.0309834245054086	5	Data	RPF
46	1.51400485337062	0.0245794430962859	5	Data	RPF
47	1.44367210957101	0.0235676387118003	5	Data	RPF
48	1.46588244971826	0.0263562703080656	5	Data	RPF
49	1.46588244971826	0.026492000164521	5	Data	RPF
50	1.40048533706248	0.0327232344836096	5	Data	RPF
51	1.37087155019948	0.0241969316826389	5	Data	RPF
52	1.37827499691523	0.0289844938921565	5	Data	RPF
53	1.34742730226628	0.0226298687944721	5	Data	RPF
54	1.32151523876116	0.0212355529963394	5	Data	RPF
55	1.3350882244067	0.0218525068893185	5	Data	RPF
56	1.38074281248715	0.0276765516390408	5	Data	RPF
57	1.3202813309752	0.0217414551885822	5	Data	RPF
58	1.26969111175092	0.02033480031259	5	Data	RPF
59	1.29930489861391	0.0231604491424341	5	Data	RPF
60	1.25611812610538	0.0209887714391478	5	Data	RPF
61	1.24748077160367	0.0216797597992843	5	Data	RPF
62	1.30424052975774	0.0221980010693867	5	Data	RPF
63	1.2906675441122	0.0217661333443014	5	Data	RPF
64	1.27586065068071	0.0288487640357011	5	Data	RPF
65	1.25981984946325	0.020421173857607	5	Data	RPF
66	1.27462674289475	0.0207419898819562	5	Data	RPF
67	1.27462674289475	0.0229753629745404	5	Data	RPF
68	1.27215892732283	0.0386089746226299	5	Data	RPF
69	1.23884341710196	0.0214329782420927	5	Data	RPF
70	1.19726072471517	0.0203101221568708	5	Data	RPF
71	1.24254514045984	0.0199769670546621	5	Data	RPF
72	1.27586065068071	0.0289598157364373	5	Data	RPF
73	1.25858594167729	0.0207049726483774	5	Data	RPF
74	1.24871467938963	0.0217291161107227	5	Data	RPF
75	1.20885945790318	0.0203471393904496	5	Data	RPF
76	1.22144531731995	0.0208407025048328	5	Data	RPF
77	1.19109118578538	0.0200139842882409	5	Data	RPF
78	1.17221239666022	0.0195944556410151	5	Data	RPF
79	1.21441204293999	0.0229753629745404	5	Data	RPF
80	1.20441738987373	0.0232838399210299	5	Data	RPF
81	1.20380043598075	0.0211121622177436	5	Data	RPF
82	1.18331756673385	0.0198659153539259	5	Data	RPF
83	1.19874141405832	0.0212602311520586	5	Data	RPF
84	1.2054045161025	0.019804219964628	5	Data	RPF
85	1.16493234072307	0.0206556163369391	5	Data	RPF
86	1.19380578291449	0.0229753629745404	5	Data	RPF
87	1.20170279274462	0.0212108748406202	5	Data	RPF
88	1.14691728704808	0.0193229959281043	5	Data	RPF
89	1.24377904824579	0.0697404680623535	5	Data	RPF
90	1.17418664911776	0.0187060420351252	5	Data	RPF
91	1.16641303006622	0.0190268580594744	5	Data	RPF
92	1.14432608069757	0.0186813638794061	5	Data	RPF
93	1.15765228478592	0.0194957430181384	5	Data	RPF
94	1.13679924320322	0.0194093694731214	5	Data	RPF
95	1.17788837247563	0.019360013161683	5	Data	RPF
96	1.15592481388558	0.0190638752930531	5	Data	RPF
