Position	Mean	SD	End	BG	DataType
1	7.68847227762266	0.138706621459912	5	Data	RPF
2	19.8344635021939	0.277772237734344	5	Data	RPF
3	6.33177104108496	0.111841842840048	5	Data	RPF
4	6.7864978061428	0.1155065815716	5	Data	RPF
5	7.47307538891105	0.127338452333466	5	Data	RPF
6	8.83127243717591	0.147651575588353	5	Data	RPF
7	6.9899282010371	0.110241324291982	5	Data	RPF
8	7.5164539289988	0.1206222576785	5	Data	RPF
9	7.52842042281612	0.124705823693658	5	Data	RPF
10	7.44166334264061	0.119186278420423	5	Data	RPF
11	7.44166334264061	0.115895492620662	5	Data	RPF
12	7.31152772237734	0.113068408456322	5	Data	RPF
13	7.0976266453929	0.108925009972078	5	Data	RPF
14	7.01984443558037	0.1053799361787	5	Data	RPF
15	6.95552453131233	0.106382130035899	5	Data	RPF
16	6.42600717989629	0.0938173115277224	5	Data	RPF
17	6.41404068607898	0.0976615476665337	5	Data	RPF
18	6.26595532508975	0.0955973274830475	5	Data	RPF
19	6.05803749501396	0.0912744315915437	5	Data	RPF
20	5.84712804148385	0.0882828081372158	5	Data	RPF
21	5.55095731950539	0.0812375349022736	5	Data	RPF
22	5.61078978859194	0.0861737136019146	5	Data	RPF
23	5.58536098923016	0.0838252891902673	5	Data	RPF
24	5.49112485041883	0.0895991224571201	5	Data	RPF
25	5.30115676106901	0.0787544874351815	5	Data	RPF
26	5.24431591543678	0.0812524930195453	5	Data	RPF
27	5.22187873952932	0.0840197447147986	5	Data	RPF
28	5.10370961308337	0.0824192261667332	5	Data	RPF
29	4.97955723972876	0.079771639409653	5	Data	RPF
30	4.7910849621061	0.0703629836457918	5	Data	RPF
31	4.75668129238133	0.0708416433984842	5	Data	RPF
32	4.67590745911448	0.0714698843238931	5	Data	RPF
33	4.5173514160351	0.0689270043877144	5	Data	RPF
34	4.2810131631432	0.0630634224172318	5	Data	RPF
35	4.23015556441962	0.0630335061826885	5	Data	RPF
36	4.01775029916235	0.0623753490227363	5	Data	RPF
37	3.84872357399282	0.0587854008775429	5	Data	RPF
38	3.67072197846031	0.0559732748304747	5	Data	RPF
39	3.5465696051057	0.0539090546469884	5	Data	RPF
40	3.40895492620662	0.057992620662146	5	Data	RPF
41	3.19056641404069	0.0511717191862784	5	Data	RPF
42	3.03948942959713	0.0491374152373355	5	Data	RPF
43	2.8914040686079	0.0469684882329477	5	Data	RPF
44	2.73583964898285	0.0539988033506183	5	Data	RPF
45	2.66404068607898	0.044470482648584	5	Data	RPF
46	2.43966892700439	0.0405215396888712	5	Data	RPF
47	2.26017151974471	0.0359443558037495	5	Data	RPF
48	2.18837255684085	0.0381880733944954	5	Data	RPF
49	2.12554846429996	0.0357199840446749	5	Data	RPF
50	1.96699242122058	0.0360939369764659	5	Data	RPF
51	1.94305943358596	0.0343737534902274	5	Data	RPF
52	1.87275628240925	0.0358695652173913	5	Data	RPF
53	1.80095731950538	0.0331471878739529	5	Data	RPF
54	1.76057040287196	0.0315466693258875	5	Data	RPF
55	1.66184682887914	0.0284802552852014	5	Data	RPF
56	1.68577981651376	0.0393398484244116	5	Data	RPF
57	1.59902273633825	0.0282110091743119	5	Data	RPF
58	1.4973075388911	0.0251146788990826	5	Data	RPF
59	1.52871958516155	0.0313522138013562	5	Data	RPF
60	1.51226565616274	0.028166134822497	5	Data	RPF
61	1.43657758276825	0.0262514958117272	5	Data	RPF
62	1.42894894295971	0.0276725169525329	5	Data	RPF
63	1.43089349820503	0.0277323494216195	5	Data	RPF
64	1.38033506182688	0.0289289988033506	5	Data	RPF
65	1.39813522138014	0.0255783805345034	5	Data	RPF
66	1.35086757080176	0.025264260071799	5	Data	RPF
67	1.34114479457519	0.0269246110889509	5	Data	RPF
68	1.33979856402074	0.0398334662943758	5	Data	RPF
69	1.35011966493817	0.0309333865177503	5	Data	RPF
70	1.29477463103311	0.0250847626645393	5	Data	RPF
71	1.30718986836857	0.0230803749501396	5	Data	RPF
72	1.34742720382928	0.0329527323494216	5	Data	RPF
73	1.29642002393299	0.0244864379736737	5	Data	RPF
74	1.3148185081771	0.0247556840845632	5	Data	RPF
75	1.27428201037096	0.0283605903470283	5	Data	RPF
76	1.28475269246111	0.0261019146390108	5	Data	RPF
77	1.29627044276027	0.024516354208217	5	Data	RPF
78	1.24107499002792	0.0222277622656562	5	Data	RPF
79	1.27727363382529	0.0281960510570403	5	Data	RPF
80	1.21788990825688	0.0245911447945752	5	Data	RPF
81	1.2171420023933	0.0244415636218588	5	Data	RPF
82	1.24840446749103	0.026176705225369	5	Data	RPF
83	1.22312524930195	0.0221828879138412	5	Data	RPF
84	1.20173514160351	0.0215396888711607	5	Data	RPF
85	1.2098125249302	0.0222427203829278	5	Data	RPF
86	1.21115875548464	0.0255783805345034	5	Data	RPF
87	1.18692660550459	0.0215097726366175	5	Data	RPF
88	1.19395692062226	0.0229906262465098	5	Data	RPF
89	1.26201635420822	0.0691962504986039	5	Data	RPF
90	1.1870761866773	0.0213003589948145	5	Data	RPF
91	1.18662744315915	0.0212854008775429	5	Data	RPF
92	1.15985241324292	0.0204477463103311	5	Data	RPF
93	1.17944754686877	0.0257429198244914	5	Data	RPF
94	1.16404068607898	0.0217191862784204	5	Data	RPF
95	1.18169126445951	0.0223474272038293	5	Data	RPF
96	1.16912644595134	0.0204178300757878	5	Data	RPF
97	1.15267251695253	0.0219884323893099	5	Data	RPF
98	1.14220183486239	0.0238581970482649	5	Data	RPF
99	1.16448942959713	0.0233346629437575	5	Data	RPF
100	1.16852812126047	0.0209563222975668	5	Data	RPF
101	1.15401874750698	0.0238133226964499	5	Data	RPF
102	1.13038492221779	0.0210610291184683	5	Data	RPF
103	1.16703230953331	0.0251296370163542	5	Data	RPF
104	1.13517151974471	0.020283207020343	5	Data	RPF
105	1.11647387315517	0.0204627044276027	5	Data	RPF
106	1.13906063023534	0.0207469086557639	5	Data	RPF
107	1.1359194256083	0.0227213801356203	5	Data	RPF
108	1.10031910650179	0.0227812126047068	5	Data	RPF
109	1.14040686078979	0.0220931392102114	5	Data	RPF
110	1.10959313921021	0.0209563222975668	5	Data	RPF
111	1.09598125249302	0.0229756681292381	5	Data	RPF
112	1.10555444754687	0.0224670921420024	5	Data	RPF
113	1.10989230155564	0.020328081372158	5	Data	RPF
114	1.08790386916633	0.0203430394894296	5	Data	RPF
115	1.17077183885122	0.024142401276426	5	Data	RPF
116	1.0958316713203	0.0194305943358596	5	Data	RPF
117	1.10974272038293	0.0207169924212206	5	Data	RPF
118	1.12903869166334	0.0231252493019545	5	Data	RPF
119	1.11437973673714	0.0205075787794176	5	Data	RPF
120	1.0820702034304	0.019744714798564	5	Data	RPF
121	1.11273434383726	0.0217939768647786	5	Data	RPF
122	1.08551057040287	0.0205374950139609	5	Data	RPF
123	1.10375947347427	0.0209563222975668	5	Data	RPF
124	1.11931591543678	0.023065416832868	5	Data	RPF
125	1.06711208615876	0.0204028719585162	5	Data	RPF
126	1.08162145991225	0.0200438771439968	5	Data	RPF
127	1.1314319904268	0.021779018747507	5	Data	RPF
128	1.06441962504986	0.0199391703230953	5	Data	RPF
129	1.10824690865576	0.0218986836856801	5	Data	RPF
130	1.08371559633028	0.0227961707219785	5	Data	RPF
131	1.12275628240925	0.0211358197048265	5	Data	RPF
132	1.0629238133227	0.0216892700438771	5	Data	RPF
133	1.04796569605106	0.0211657359393698	5	Data	RPF
134	1.08895093737535	0.021240526525728	5	Data	RPF
135	1.06367171918628	0.0211059034702832	5	Data	RPF
136	1.10869565217391	0.0224970083765457	5	Data	RPF
137	1.06471878739529	0.019954128440367	5	Data	RPF
138	1.10196449940168	0.0204776625448744	5	Data	RPF
139	1.08521140805744	0.0204477463103311	5	Data	RPF
140	1.04721779018748	0.0191164738731552	5	Data	RPF
141	1.02298564020742	0.0191463901076984	5	Data	RPF
142	1.05350019944156	0.0200139609094535	5	Data	RPF
143	1.00937375349023	0.0185480654168329	5	Data	RPF
144	1.08715596330275	0.0206870761866773	5	Data	RPF
145	1.08476266453929	0.0205374950139609	5	Data	RPF
146	1.07803151176705	0.0199840446749103	5	Data	RPF
147	1.04587155963303	0.0195951336258476	5	Data	RPF
148	1.07384323893099	0.0288093338651775	5	Data	RPF
149	1.08805345033905	0.0262664539289988	5	Data	RPF
150	1.06726166733147	0.0221230554447547	5	Data	RPF
151	1.04841443956921	0.0201785001994416	5	Data	RPF
152	1.0410849621061	0.0210909453530116	5	Data	RPF
153	1.01834862385321	0.0193857199840447	5	Data	RPF
154	1.01849820502593	0.0183087355404866	5	Data	RPF
155	1.05424810530515	0.0202084164339848	5	Data	RPF
156	1.04557239728759	0.0202682489030714	5	Data	RPF
157	1.05679098524132	0.0199242122058237	5	Data	RPF
158	1.04228161148783	0.0198793378540088	5	Data	RPF
159	1.02059234144396	0.0195951336258476	5	Data	RPF
160	1.05873554048664	0.021405065815716	5	Data	RPF
161	1.03031511767052	0.0191912644595134	5	Data	RPF
162	1.0228360590347	0.0203579976067012	5	Data	RPF
163	1.01236537694456	0.020283207020343	5	Data	RPF
164	1.03839250099721	0.0202233745512565	5	Data	RPF
165	1.04602114080574	0.0204776625448744	5	Data	RPF
166	1.04602114080574	0.0204477463103311	5	Data	RPF
167	1.05978260869565	0.0208067411248504	5	Data	RPF
168	1.02896888711607	0.0196250498603909	5	Data	RPF
169	1.03869166334264	0.0197746310331073	5	Data	RPF
170	1.01789988033506	0.0196400079776625	5	Data	RPF
171	1.03480255285201	0.0190566414040686	5	Data	RPF
172	1.07130035899481	0.0198195053849222	5	Data	RPF
173	1.06068009573195	0.0204178300757878	5	Data	RPF
174	1.02223773434384	0.0193558037495014	5	Data	RPF
175	1.04153370562425	0.0207768248903071	5	Data	RPF
176	1.04841443956921	0.0205823693657758	5	Data	RPF
177	1.04542281611488	0.0233346629437575	5	Data	RPF
178	0.995462704427603	0.0181741124850419	5	Data	RPF
179	1.04302951735142	0.019744714798564	5	Data	RPF
180	1.03240925408855	0.0209264060630235	5	Data	RPF
181	1.01191663342641	0.0191763063422417	5	Data	RPF
182	1.02732349421619	0.0204627044276027	5	Data	RPF
183	1.02672516952533	0.0201037096130834	5	Data	RPF
184	1.03016553649781	0.0203131232548863	5	Data	RPF
185	1.01939569206223	0.0197297566812924	5	Data	RPF
186	1.04602114080574	0.019370761866773	5	Data	RPF
187	1.06980454726765	0.0219585161547667	5	Data	RPF
188	1.03435380933387	0.0218388512165935	5	Data	RPF
189	1.03076386118867	0.0200438771439968	5	Data	RPF
190	1.04617072197846	0.0202532907857998	5	Data	RPF
191	1.0428799361787	0.0221978460311129	5	Data	RPF
192	1.0328579976067	0.0211358197048265	5	Data	RPF
193	1.03958915037894	0.0202682489030714	5	Data	RPF
194	1.00952333466294	0.0199092540885521	5	Data	RPF
195	1.04602114080574	0.0226166733147188	5	Data	RPF
196	0.998454327881931	0.0190865576386119	5	Data	RPF
197	1.03584962106103	0.0221230554447547	5	Data	RPF
198	1.04362784204228	0.0201785001994416	5	Data	RPF
199	1.0255285201436	0.0209862385321101	5	Data	RPF
200	1.02089150378939	0.0211507778220981	5	Data	RPF
201	1.03390506581572	0.0197596729158357	5	Data	RPF
202	1.02627642600718	0.0195353011567611	5	Data	RPF
203	1.00937375349023	0.0196998404467491	5	Data	RPF
204	0.996210610291185	0.0194455524531312	5	Data	RPF
205	1.03181092939769	0.0221380135620263	5	Data	RPF
206	1.01745113681691	0.024890307140008	5	Data	RPF
207	1.0219385719984	0.0207618667730355	5	Data	RPF
208	1.0219385719984	0.0211507778220981	5	Data	RPF
