"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2012	"Brar"	"rpf_D_tp_traditional_tc"	-20	1313	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-19	1028	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-18	1003	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-17	985	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-16	919	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-15	13729	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-14	2945	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-13	802	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-12	823	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-11	595	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-10	913	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-9	5038	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-8	28762	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-7	118245	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-6	21603	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-5	12118	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-4	37276	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-3	9988	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-2	9253	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	-1	33112	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	0	8742	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	1	16830	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	2	34068	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	3	6110	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	4	11480	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	5	47824	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	6	11116	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	7	6937	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	8	26649	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	9	6853	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	10	8316	5
2012	"Brar"	"rpf_D_tp_traditional_tc"	11	23396	5
