ORF	Length	uATGs	FE_atg	FE_cap	utr	utr_gc	polyA	Data	Corr
YAL001C	3.06445798922692	NA	-4.9	NA	NA	NA	21.4	1.48236748418573	1
YAL002W	3.10516942799933	1	-0.7	-7	136	0.352941176470588	30.5	1.03549290795766	0
YAL003W	2.31386722036915	0	0	-1.5	22	0.363636363636364	23.7	2.58121216340717	1
YAL007C	2.33243845991561	0	-3.2	-9.4	76	0.381578947368421	22.2	1.95457023209584	1
YAL008W	2.29666519026153	0	-1.4	-9.3	49	0.408163265306122	28.7	1.95685522191192	1
YAL009W	2.41329976408125	0	-1.7	-18	26	0.384615384615385	34.9	1.64919512259254	0
YAL010C	2.69284691927723	0	-0.4	-5.5	42	0.380952380952381	30.4	1.4477946954892	0
YAL011W	2.79588001734408	0	-0.3	-9	15	0.333333333333333	33.9	1.18028035976323	0
YAL012W	2.59549622182557	0	0	-1.5	65	0.4	28.7	1.44468146006506	0
YAL013W	2.60745502321467	0	-2.8	-8	19	0.263157894736842	30.2	1.51238288842925	0
YAL014C	2.40654018043396	1	-2.5	-13.3	49	0.408163265306122	38.4	1.60185816444233	0
YAL015C	2.60097289568675	NA	0	NA	NA	NA	10.2	1.40556744715395	0
YAL016W	2.80277372529198	0	-1.2	-6.9	88	0.375	24.3	1.97653916598454	1
YAL017W	3.13225968953104	NA	-1.6	NA	NA	NA	0.7	1.83176343435143	1
YAL018C	2.51188336097887	NA	0	NA	NA	NA	NA	3.7123004789044	1
YAL019W	3.05346260492546	0	0	-13.4	111	0.333333333333333	22	1.38752122955332	1
YAL020C	2.52244423350632	NA	-3.6	NA	NA	NA	NA	1.32743003634276	0
YAL021C	2.92272545799326	NA	-0.1	NA	NA	NA	31.1	1.63876595040391	1
YAL022C	2.71349054309394	0	-2.3	-11.7	17	0.294117647058824	35.8	1.36230930022579	0
YAL023C	2.88024177589548	0	-0.9	-5.9	89	0.370786516853933	23.9	1.96437580195081	1
YAL024C	3.15685190107001	NA	-1.3	NA	NA	NA	19.5	1.4434631298772	1
YAL025C	2.48572142648158	0	-1.3	-7.2	24	0.333333333333333	32.5	1.22611042020993	0
YAL026C	3.13193929521042	NA	-4.7	NA	NA	NA	NA	2.14816610984824	1
YAL027W	2.41664050733828	1	-3.3	-4.9	81	0.37037037037037	31.3	1.6460556307383	0
YAL028W	2.72263392253381	NA	-0.9	NA	NA	NA	44.8	1.29976372098591	0
YAL029C	3.16761267272753	NA	0	NA	NA	NA	26.4	1.90581931269127	1
YAL030W	2.06818586174616	0	-3.1	-11	23	0.347826086956522	24.2	2.4539394449124	1
YAL031C	2.88081359228079	NA	-0.2	NA	NA	NA	28.5	1.72423874763473	1
YAL032C	2.57863920996807	0	-5.7	-5	21	0.333333333333333	37.4	1.6146563132834	0
YAL033W	2.2380461031288	NA	0	NA	NA	NA	27.7	1.47914990583441	0
YAL034C	2.6159500516564	NA	-1	NA	NA	NA	NA	1.66807729922635	1
YAL034W-A	2.46089784275655	0	-0.4	-9	45	0.377777777777778	30.1	1.73429083445842	0
YAL035W	3.00086772153123	0	-0.7	-4	27	0.37037037037037	21.4	1.84947936744339	1
YAL036C	2.56702636615906	NA	-2.6	NA	NA	NA	20.5	1.33229681551271	0
YAL037C-A	1.47712125471966	NA	-4.8	NA	NA	NA	NA	1.56525539127091	0
YAL037W	2.42651126136458	NA	-2.1	NA	NA	NA	NA	1.57150434054791	0
YAL038W	2.69897000433602	0	0	-4	28	0.392857142857143	19	2.01705832765889	1
YAL039C	2.42975228000241	0	0	-3.2	57	0.385964912280702	32	1.66300918632388	0
YAL040C	2.76342799356294	1	0	-8.8	322	0.397515527950311	30.1	1.62976915223052	1
YAL041W	2.931457870689	0	-0.9	-13.7	33	0.393939393939394	21.1	1.67762700619744	1
YAL042W	2.61804809671209	0	0	-11.7	17	0.294117647058824	26.9	1.57683726382072	0
YAL043C	2.89486965674525	NA	0	NA	NA	NA	3.3	1.82857890002889	1
YAL044C	2.23044892137827	0	0	-7.3	10	0.5	25.3	2.94546663298251	1
YAL044W-A	2.04139268515822	0	0	-12.7	2	1	34.2	1.90975108071598	0
YAL046C	2.07188200730613	NA	0	NA	NA	NA	NA	1.44079416376173	0
YAL047C	2.79379038469082	NA	0	NA	NA	NA	NA	1.24190127884947	0
YAL048C	2.8208579894397	0	-4	-13.2	2	1	NA	1.41684609239903	0
YAL049C	2.39093510710338	NA	0	NA	NA	NA	27.5	2.22703765724624	1
YAL051W	3.01994668167884	0	-0.3	-8.8	26	0.384615384615385	33	1.56284428074221	1
YAL053W	2.89376176205794	NA	0	NA	NA	NA	29.3	2.15742798168214	1
YAL054C	2.85308952985187	NA	-0.4	NA	NA	NA	NA	3.34318614282675	1
YAL055W	2.25527250510331	0	0	-3.4	1	1	30.4	1.59374392908234	0
YAL056W	2.94448267215017	NA	0	NA	NA	NA	22.9	1.57536190386922	1
YAL058W	2.70070371714502	NA	0	NA	NA	NA	28.8	1.51937383429547	0
YAL059W	2.32633586092875	NA	-1.9	NA	NA	NA	NA	1.64097610520902	0
YAL060W	2.58206336291171	NA	-2.1	NA	NA	NA	NA	1.87669029598305	1
YAL061W	2.62013605497376	NA	-1	NA	NA	NA	NA	1.98627221475209	1
YAL067C	2.77305469336426	NA	0	NA	NA	NA	NA	2.19476493790065	1
YAR002C-A	2.34044411484012	NA	-0.3	NA	NA	NA	NA	2.30912204449446	1
YAR002W	2.73158876518674	0	-1.1	-3.9	43	0.372093023255814	25.1	1.99909830666772	1
YAR003W	2.62940959910272	0	0	-11.5	86	0.383720930232558	35.3	2.13431655683119	1
YAR007C	2.79309160017658	NA	0	NA	NA	NA	27	2.22670505146586	1
YAR008W	2.43933269383026	NA	-2.2	NA	NA	NA	28.2	1.69879429964112	0
YAR014C	2.85064623518307	0	-4.7	-11.8	151	0.357615894039735	33.9	1.49846373451635	1
YAR015W	2.48572142648158	0	0	-12.6	104	0.336538461538462	27.4	2.20503539412629	1
YAR018C	2.63848925695464	NA	-3.3	NA	NA	NA	NA	1.03174180273335	0
YAR019C	2.98855895687862	0	-2	-10.3	34	0.382352941176471	20.6	1.858123380149	1
YAR023C	2.25285303097989	NA	-2.2	NA	NA	NA	57	1.73279579938488	0
YAR027W	2.37106786227174	NA	0	NA	NA	NA	NA	1.4866489890953	0
YAR028W	2.36921585741014	NA	-4.5	NA	NA	NA	32.4	1.86319430995774	1
YAR029W	1.86923171973098	NA	0	NA	NA	NA	NA	1.45290578197063	0
YAR035W	2.83695673705955	NA	0	NA	NA	NA	NA	2.37142250698528	1
YAR042W	3.07481644064517	NA	0	NA	NA	NA	NA	1.78686373430382	1
YBL001C	2.01703333929878	0	-2.1	-9.2	62	0.403225806451613	20.2	2.23784646615279	1
YBL002W	2.11727129565576	0	0	-2.8	24	0.333333333333333	24.7	2.72616114417269	1
YBL004W	3.39672227850377	NA	-0.4	NA	NA	NA	22.5	1.27397882363874	1
YBL005W	2.98944981766669	NA	-3	NA	NA	NA	41.1	1.45494267774689	1
YBL006C	2.25527250510331	NA	-2.2	NA	NA	NA	30.8	1.76444015625132	0
YBL007C	3.0948203803548	0	-1.4	-11.9	50	0.42	28.5	1.62966850132016	1
YBL008W	2.92427928606188	NA	-4.6	NA	NA	NA	26.1	1.32947902721809	1
YBL008W-A	1.89762709129044	NA	-3.3	NA	NA	NA	NA	0.95247153455117	0
YBL009W	2.82994669594164	1	-2.2	-10.5	38	0.394736842105263	32.1	2.04046826997541	1
