"ORF"	"Length"	"uATGs"	"FE_atg"	"FE_cap"	"utr"	"utr_gc"	"polyA"	"RPF"
"YAL001C"	1160	NA	-4.9	NA	NA	NA	21.4	79.733
"YAL002W"	1274	1	-0.7	-7	136	0.352941176470588	30.5	10.851
"YAL003W"	206	0	0	-1.5	22	0.363636363636364	23.7	970.705
"YAL007C"	215	0	-3.2	-9.4	76	0.381578947368421	22.2	330.079
"YAL008W"	198	0	-1.4	-9.3	49	0.408163265306122	28.7	191.099
"YAL009W"	259	0	-1.7	-18	26	0.384615384615385	34.9	135.325
"YAL010C"	493	0	-0.4	-5.5	42	0.380952380952381	30.4	41.096
"YAL011W"	625	0	-0.3	-9	15	0.333333333333333	33.9	15.645
"YAL012W"	394	0	0	-1.5	65	0.4	28.7	21.427
"YAL013W"	405	0	-2.8	-8	19	0.263157894736842	30.2	28.804
"YAL014C"	255	1	-2.5	-13.3	49	0.408163265306122	38.4	47.901
"YAL015C"	399	NA	0	NA	NA	NA	10.2	63.806
"YAL016W"	635	0	-1.2	-6.9	88	0.375	24.3	188.281
"YAL017W"	1356	NA	-1.6	NA	NA	NA	0.7	42.887
"YAL018C"	325	NA	0	NA	NA	NA	NA	9.794
"YAL019W"	1131	0	0	-13.4	111	0.333333333333333	22	32.613
"YAL020C"	333	NA	-3.6	NA	NA	NA	NA	20.557
"YAL021C"	837	NA	-0.1	NA	NA	NA	31.1	36.005
"YAL022C"	517	0	-2.3	-11.7	17	0.294117647058824	35.8	40.873
"YAL023C"	759	0	-0.9	-5.9	89	0.370786516853933	23.9	80.848
"YAL024C"	1435	NA	-1.3	NA	NA	NA	19.5	21.685
"YAL025C"	306	0	-1.3	-7.2	24	0.333333333333333	32.5	146.341
"YAL026C"	1355	NA	-4.7	NA	NA	NA	NA	36.051
"YAL027W"	261	1	-3.3	-4.9	81	0.37037037037037	31.3	57.132
"YAL028W"	528	NA	-0.9	NA	NA	NA	44.8	16.838
"YAL029C"	1471	NA	0	NA	NA	NA	26.4	39.988
