"Year"	"Author"	"Dataset"	"Position"	"X5prime"	"Reads"	"SD"	"Type"	"DataType"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	499	0	1.0962	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	498	0	1.0272	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	497	0	0.9946	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	496	0	1.0878	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	495	0	0.9499	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	494	0	0.9788	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	493	0	0.9955	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	492	0	0.9657	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	491	0	1.0943	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	490	0	0.9825	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	489	0	0.9088	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	488	0	1.0366	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	487	0	1.0552	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	486	0	0.912	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	485	0	0.9508	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	484	0	1.1055	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	483	0	0.9152	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	482	0	1.0655	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	481	0	1.0021	0	100	"RPF"
"2015"	"Sen"	"ribo_tif1-ts_rep_1_30_deg"	480	0	1.0748	0	100	"RPF"
