"Year"	"Author"	"Dataset"	"Position"	"X5prime"	"Reads"	"SD"	"Type"	"DataType"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	499	0	1.0517	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	498	0	0.9538	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	497	0	0.9736	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	496	0	1.1479	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	495	0	1.1247	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	494	0	1.0646	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	493	0	1.1195	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	492	0	0.9324	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	491	0	1.153	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	490	0	0.8052	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	489	0	0.7479	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	488	0	1.0534	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	487	0	1.0036	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	486	0	0.9744	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	485	0	1.426	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	484	0	0.9916	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	483	0	0.9908	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	482	0	0.892	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	481	0	0.9659	0	100	"RPF"
"2012"	"Brar"	"rpf_1_tp_ndt80_release_tc_premeiotic"	480	0	0.9058	0	100	"RPF"
