Position	Mean	SD	End	BG	DataType
1	6.48542437097571	0.137468385042472	5	Data	RPF
2	22.9199625154926	0.346111990004131	5	Data	RPF
3	4.43753085922149	0.102767253453714	5	Data	RPF
4	4.40926633145575	0.0971143479005653	5	Data	RPF
5	4.53388720387743	0.111156679195091	5	Data	RPF
6	5.47047087393315	0.109589282655354	5	Data	RPF
7	2.87141907074697	0.0715349502725688	5	Data	RPF
8	3.19389163752884	0.0880953940407695	5	Data	RPF
9	2.73780493949073	0.0668584556786006	5	Data	RPF
10	2.6350248385244	0.0705585393133886	5	Data	RPF
11	2.73908969075281	0.0772649409014419	5	Data	RPF
12	2.33439304319787	0.0701602664221441	5	Data	RPF
13	2.28557249523886	0.0640320029020264	5	Data	RPF
14	2.24060620106609	0.0608715147973116	5	Data	RPF
15	2.20720266825203	0.062079180983666	5	Data	RPF
16	2.14424985641015	0.0603319192672383	5	Data	RPF
17	2.1596668715551	0.0604218518555839	5	Data	RPF
18	2.04532400923006	0.0589186928789512	5	Data	RPF
19	2.18921615058292	0.073436382140446	5	Data	RPF
20	2.11727007990649	0.0601263590653057	5	Data	RPF
21	2.08772080087867	0.0585718100381899	5	Data	RPF
22	2.10313781602362	0.0661775375096986	5	Data	RPF
23	2.11727007990649	0.058687437651777	5	Data	RPF
24	2.07101903447164	0.0592141856692295	5	Data	RPF
25	2.10313781602362	0.0605888695196542	5	Data	RPF
26	2.10185306476154	0.0623746737739442	5	Data	RPF
27	2.1288328412652	0.0646872260456868	5	Data	RPF
28	2.01063572515392	0.0524306990054514	5	Data	RPF
29	1.95924567467075	0.0573256013139731	5	Data	RPF
30	1.91813363428422	0.0527775818462128	5	Data	RPF
31	2.02476798903679	0.0598437137876483	5	Data	RPF
32	1.9746626898157	0.052019578601586	5	Data	RPF
33	1.93612015195333	0.0562335627412058	5	Data	RPF
34	2.06459527816124	0.058995777954676	5	Data	RPF
35	1.97980169486402	0.0537668403180137	5	Data	RPF
36	1.99007970496065	0.0557453572616157	5	Data	RPF
37	1.98879495369857	0.0537282977801514	5	Data	RPF
38	1.9194183855463	0.0565162080188632	5	Data	RPF
39	1.93098114690501	0.0552571517820256	5	Data	RPF
40	2.00421196884352	0.0551800667063008	5	Data	RPF
41	2.02348323777471	0.0589700829294344	5	Data	RPF
42	1.93098114690501	0.0556811196985117	5	Data	RPF
43	1.94254390826372	0.0560280025392731	5	Data	RPF
44	1.96053042593283	0.0567988532965206	5	Data	RPF
45	2.03376124787134	0.0636465775234026	5	Data	RPF
46	1.83462480224907	0.0549102689412642	5	Data	RPF
47	1.72927519875858	0.0466364708134743	5	Data	RPF
48	1.71385818361363	0.0508376074404732	5	Data	RPF
49	1.83590955351115	0.0513386604326841	5	Data	RPF
50	1.74983121895184	0.0497070263298435	5	Data	RPF
51	1.84618756360778	0.0550258965548513	5	Data	RPF
52	1.77167199040719	0.0563106478169305	5	Data	RPF
53	1.79865176691085	0.0515956106850999	5	Data	RPF
54	1.76267873157264	0.0525206315937969	5	Data	RPF
55	1.76653298535887	0.0547560987898147	5	Data	RPF
56	1.72413619371026	0.0509917775919227	5	Data	RPF
57	1.76267873157264	0.05338141493939	5	Data	RPF
58	1.79608226438669	0.0534970425529771	5	Data	RPF
59	1.80250602069709	0.0553727793956127	5	Data	RPF
60	1.7279904474965	0.0495785512036356	5	Data	RPF
61	1.70871917856531	0.0529317519976623	5	Data	RPF
62	1.78451950302798	0.0621691135720116	5	Data	RPF
63	1.72927519875858	0.0504907245997118	5	Data	RPF
64	1.67274614322709	0.0597409336866819	5	Data	RPF
65	1.68045465079957	0.0478055944619663	5	Data	RPF
66	1.7896585080763	0.0543578258985701	5	Data	RPF
67	1.72670569623442	0.0537539928053929	5	Data	RPF
68	1.61621708769561	0.0502080793220544	5	Data	RPF
69	1.66503763565462	0.0482167148658317	5	Data	RPF
70	1.64191211293719	0.0474073215707218	5	Data	RPF
71	1.64962062050967	0.0516983907860662	5	Data	RPF
72	1.61878659021977	0.0492830584133574	5	Data	RPF
73	1.67788514827541	0.0479340695881742	5	Data	RPF
74	1.60208482381274	0.048075392227003	5	Data	RPF
75	1.52628449935007	0.0449534466601505	5	Data	RPF
76	1.59951532128858	0.0464437581241624	5	Data	RPF
77	1.61750183895769	0.0495913987162564	5	Data	RPF
78	1.51472173799135	0.0426665894136496	5	Data	RPF
79	1.62649509779224	0.0521865962656563	5	Data	RPF
80	1.50701323041888	0.0475743392347921	5	Data	RPF
81	1.57510504730908	0.0463666730484376	5	Data	RPF
82	1.61621708769561	0.0487049203454218	5	Data	RPF
83	1.49673522032225	0.0460454852329178	5	Data	RPF
84	1.49288096653601	0.0452746344756703	5	Data	RPF
85	1.49159621527393	0.0441312058524199	5	Data	RPF
86	1.52885400187423	0.0488077004463881	5	Data	RPF
87	1.49288096653601	0.0444266986426981	5	Data	RPF
88	1.5365625094467	0.046777793452303	5	Data	RPF
89	1.53270825566046	0.0464823006620248	5	Data	RPF
90	1.57253554478492	0.0502851643977792	5	Data	RPF
91	1.51086748420512	0.0502723168851584	5	Data	RPF
92	1.52628449935007	0.0478312894872079	5	Data	RPF
93	1.49801997158432	0.0447221914329763	5	Data	RPF
94	1.43635191100452	0.0442982235164902	5	Data	RPF
95	1.51472173799135	0.0450433792484961	5	Data	RPF
96	1.444060418577	0.0453517195513951	5	Data	RPF
97	1.50829798168096	0.0480368496891406	5	Data	RPF
98	1.41708064207334	0.0501181467337089	5	Data	RPF
99	1.41451113954918	0.0428978446408239	5	Data	RPF
100	1.54812527080541	0.0477927469493455	5	Data	RPF
101	1.47746395139106	0.0479212220755535	5	Data	RPF
102	1.44534516983908	0.0433603550951724	5	Data	RPF
103	1.5057284791568	0.0448378190465634	5	Data	RPF
104	1.49545046906017	0.0497455688677059	5	Data	RPF
105	1.40166362692839	0.0455829747785693	5	Data	RPF
106	1.33485656130027	0.0438357130621417	5	Data	RPF
107	1.47360969760482	0.0474201690833426	5	Data	RPF
108	1.4068026319767	0.0417544160175734	5	Data	RPF
109	1.42478914964581	0.0463281305105753	5	Data	RPF
110	1.44020616479076	0.0475614917221713	5	Data	RPF
111	1.39523987061799	0.0445294787436644	5	Data	RPF
112	1.41579589081126	0.0438485605747624	5	Data	RPF
113	1.48260295643937	0.050477877087091	5	Data	RPF
114	1.32329379994156	0.0421398413961971	5	Data	RPF
115	1.37339909916264	0.0462638929474713	5	Data	RPF
116	1.45433842867363	0.0446836488951139	5	Data	RPF
117	1.4684706925565	0.0519681885511029	5	Data	RPF
118	1.3759686016868	0.0473430840076178	5	Data	RPF
119	1.36055158654185	0.0438485605747624	5	Data	RPF
120	1.35412783023146	0.043013472254411	5	Data	RPF
121	1.38881611430759	0.0471118287804436	5	Data	RPF
122	1.29374452091374	0.0419856712447476	5	Data	RPF
123	1.33742606382443	0.0432190324563437	5	Data	RPF
124	1.37725335294888	0.0445037837184228	5	Data	RPF
125	1.35412783023146	0.0444652411805605	5	Data	RPF
126	1.33100230751403	0.0468034884775446	5	Data	RPF
127	1.3759686016868	0.048255257403694	5	Data	RPF
128	1.29374452091374	0.040174171965216	5	Data	RPF
129	1.30016827722413	0.044490936205802	5	Data	RPF
130	1.34384982013482	0.0440412732640743	5	Data	RPF
131	1.33228705877611	0.0450305317358753	5	Data	RPF
132	1.36826009411433	0.0467906409649238	5	Data	RPF
133	1.24004191815883	0.0427179794641328	5	Data	RPF
134	1.26445219213833	0.0431034048427565	5	Data	RPF
135	1.31558529236908	0.0461996553843673	5	Data	RPF
136	1.33100230751403	0.0474844066464465	5	Data	RPF
137	1.25802843582793	0.0432447274815852	5	Data	RPF
138	1.26175421448796	0.0419856712447476	5	Data	RPF
139	1.31044628732076	0.0450048367106337	5	Data	RPF
140	1.25533045817757	0.0422040789593011	5	Data	RPF
141	1.15062323031811	0.0375018893400913	5	Data	RPF
142	1.22732288066424	0.0414846182525368	5	Data	RPF
143	1.26766407029353	0.0453645670640159	5	Data	RPF
144	1.29117501838958	0.0445680212815268	5	Data	RPF
145	1.29759877469997	0.044863514071805	5	Data	RPF
146	1.20959331324755	0.0397245090234883	5	Data	RPF
147	1.2282222065477	0.0405724448564605	5	Data	RPF
148	1.24081276891607	0.040790852571014	5	Data	RPF
149	1.17297790227829	0.0417415685049526	5	Data	RPF
150	1.32329379994156	0.04332181255731	5	Data	RPF
151	1.21473231829587	0.0425895043379248	5	Data	RPF
152	1.22513880351871	0.0412919055632249	5	Data	RPF
153	1.26458066726454	0.0458013824931228	5	Data	RPF
154	1.21897199746073	0.0416901784544694	5	Data	RPF
155	1.23695851512984	0.0470090486794772	5	Data	RPF
156	1.17220705152104	0.0425638093126833	5	Data	RPF
157	1.29888352596205	0.0462381979222297	5	Data	RPF
158	1.27627190374946	0.043257574994206	5	Data	RPF
159	1.2315625598291	0.0437714754990377	5	Data	RPF
160	1.23092018419806	0.0408422426214972	5	Data	RPF
161	1.24235447043057	0.0457499924426396	5	Data	RPF
162	1.22449642788767	0.0424096391612338	5	Data	RPF
163	1.28732076460334	0.0477798994367247	5	Data	RPF
164	1.28423736157435	0.0432832700194476	5	Data	RPF
165	1.23785784101329	0.0435402202718635	5	Data	RPF
166	1.25622978406102	0.044311071029111	5	Data	RPF
167	1.20663838534477	0.044246833466007	5	Data	RPF
168	1.21306214165516	0.0449020566096674	5	Data	RPF
169	1.22873610705253	0.0409578702350843	5	Data	RPF
170	1.22552422889733	0.048383732529902	5	Data	RPF
171	1.25892776171139	0.0473559315202386	5	Data	RPF
172	1.16295684243407	0.0418058060680565	5	Data	RPF
173	1.1779884322004	0.0428464545903407	5	Data	RPF
174	1.21331909190758	0.0462510454348505	5	Data	RPF
175	1.17875928295765	0.0399429167380417	5	Data	RPF
176	1.19571799961709	0.0405595973438397	5	Data	RPF
177	1.18621084027771	0.0443367660543525	5	Data	RPF
178	1.18595389002529	0.0437072379359337	5	Data	RPF
179	1.14484184963876	0.0416901784544694	5	Data	RPF
180	1.25391723178928	0.0450819217863585	5	Data	RPF
181	1.15794631251197	0.0410478028234298	5	Data	RPF
182	1.16552634495823	0.0431547948932397	5	Data	RPF
183	1.13199433701797	0.0415231607903991	5	Data	RPF
184	1.1552483348616	0.0427436744893744	5	Data	RPF
185	1.25237553027479	0.0451204643242208	5	Data	RPF
186	1.15679003637609	0.0426665894136496	5	Data	RPF
187	1.13674791668766	0.0406366824195645	5	Data	RPF
188	1.19571799961709	0.0451461593494624	5	Data	RPF
189	1.18659626565633	0.0401356294273536	5	Data	RPF
190	1.22680898015941	0.0477927469493455	5	Data	RPF
191	1.16835279773481	0.0416259408913655	5	Data	RPF
192	1.14471337451255	0.0414332282020536	5	Data	RPF
193	1.16629719571548	0.0423197065728882	5	Data	RPF
194	1.17362027790933	0.0429106921534446	5	Data	RPF
195	1.19237764633569	0.0462125028969881	5	Data	RPF
196	1.09550740117492	0.0404439697302526	5	Data	RPF
197	1.15113713082295	0.0446451063572515	5	Data	RPF
198	1.16077276528854	0.0435530677844842	5	Data	RPF
199	1.13456383954212	0.0418058060680565	5	Data	RPF
200	1.15383510847331	0.045415957114499	5	Data	RPF
201	1.19674580062676	0.0465336907125079	5	Data	RPF
202	1.09101077175764	0.0408293951088764	5	Data	RPF
203	1.12749770760069	0.0408037000836348	5	Data	RPF
204	1.20329803206336	0.0451204643242208	5	Data	RPF
205	1.11053899094124	0.0436430003728298	5	Data	RPF
206	1.17580435505487	0.0468677260406485	5	Data	RPF
207	1.22539575377112	0.0454930421902238	5	Data	RPF
208	1.12672685684344	0.0410606503360506	5	Data	RPF
209	1.17529045455003	0.0422426214971635	5	Data	RPF
210	1.0854863413307	0.0408422426214972	5	Data	RPF
211	1.14034522022148	0.05078621738999	5	Data	RPF
212	1.1552483348616	0.044863514071805	5	Data	RPF
213	1.11477867010611	0.041099192873913	5	Data	RPF
214	1.06917000030229	0.0397373565361091	5	Data	RPF
