"Year"	"Author"	"Dataset"	"key"	"value"
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	15	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	16	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	17	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	18	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	19	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	20	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	21	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	22	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	23	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	24	50232
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	25	127535
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	26	229569
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	27	1076241
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	28	4119462
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	29	2850227
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	30	305722
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	31	13608
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	32	971
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	33	195
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	34	65
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	35	14
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	36	3
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	37	14
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	38	5
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	39	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	40	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	41	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	42	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	43	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	44	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	45	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	46	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	47	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	48	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	49	0
2014	"Gerashchenko"	"unstressed_100x_CHX_rep2"	50	0
