Position	Counts	End
-20	1265	5
-19	1597	5
-18	1592	5
-17	1864	5
-16	1986	5
-15	2050	5
-14	1929	5
-13	1914	5
-12	1932	5
-11	2469	5
-10	1846	5
-9	2142	5
-8	2037	5
-7	2105	5
-6	2011	5
-5	1820	5
-4	2077	5
-3	2228	5
-2	1936	5
-1	1823	5
0	1910	5
1	3079	5
2	2978	5
3	2146	5
4	2974	5
5	3261	5
6	1971	5
7	2162	5
8	2004	5
9	2228	5
10	2217	5
11	2341	5
12	2256	5
13	2351	5
14	2564	5
15	2159	5
16	2244	5
17	2344	5
18	2657	5
19	2428	5
20	2452	5
21	2237	5
22	2184	5
23	2327	5
24	2340	5
25	2477	5
-20	3039	3
-19	2669	3
-18	2316	3
-17	2761	3
-16	2665	3
-15	2631	3
-14	2687	3
-13	2607	3
-12	2473	3
-11	2953	3
-10	2581	3
-9	2550	3
-8	2655	3
-7	2476	3
-6	2284	3
-5	2717	3
-4	2667	3
-3	2309	3
-2	3087	3
-1	2536	3
0	2482	3
1	1625	3
2	4819	3
3	2539	3
4	2552	3
5	2340	3
6	2815	3
7	2911	3
8	2973	3
9	2641	3
10	2339	3
11	3095	3
12	2878	3
13	3195	3
14	2993	3
15	3088	3
16	2962	3
17	3320	3
18	3139	3
19	3358	3
20	3069	3
21	3555	3
22	3347	3
23	3317	3
24	3204	3
25	3196	3
