"Year"	"Author"	"Dataset"	"position"	"count"	"end"
2014	"Artieri"	"mixed_rpf_rep1"	-20	639	5
2014	"Artieri"	"mixed_rpf_rep1"	-19	1068	5
2014	"Artieri"	"mixed_rpf_rep1"	-18	696	5
2014	"Artieri"	"mixed_rpf_rep1"	-17	861	5
2014	"Artieri"	"mixed_rpf_rep1"	-16	1309	5
2014	"Artieri"	"mixed_rpf_rep1"	-15	2970	5
2014	"Artieri"	"mixed_rpf_rep1"	-14	4588	5
2014	"Artieri"	"mixed_rpf_rep1"	-13	718	5
2014	"Artieri"	"mixed_rpf_rep1"	-12	528	5
2014	"Artieri"	"mixed_rpf_rep1"	-11	517	5
2014	"Artieri"	"mixed_rpf_rep1"	-10	594	5
2014	"Artieri"	"mixed_rpf_rep1"	-9	1442	5
2014	"Artieri"	"mixed_rpf_rep1"	-8	24920	5
2014	"Artieri"	"mixed_rpf_rep1"	-7	68351	5
2014	"Artieri"	"mixed_rpf_rep1"	-6	7697	5
2014	"Artieri"	"mixed_rpf_rep1"	-5	7886	5
2014	"Artieri"	"mixed_rpf_rep1"	-4	17853	5
2014	"Artieri"	"mixed_rpf_rep1"	-3	2664	5
2014	"Artieri"	"mixed_rpf_rep1"	-2	6082	5
2014	"Artieri"	"mixed_rpf_rep1"	-1	16229	5
2014	"Artieri"	"mixed_rpf_rep1"	0	2724	5
2014	"Artieri"	"mixed_rpf_rep1"	1	10984	5
2014	"Artieri"	"mixed_rpf_rep1"	2	16801	5
2014	"Artieri"	"mixed_rpf_rep1"	3	2288	5
2014	"Artieri"	"mixed_rpf_rep1"	4	5469	5
2014	"Artieri"	"mixed_rpf_rep1"	5	17810	5
2014	"Artieri"	"mixed_rpf_rep1"	6	3246	5
2014	"Artieri"	"mixed_rpf_rep1"	7	6535	5
2014	"Artieri"	"mixed_rpf_rep1"	8	13966	5
2014	"Artieri"	"mixed_rpf_rep1"	9	3066	5
2014	"Artieri"	"mixed_rpf_rep1"	10	5569	5
2014	"Artieri"	"mixed_rpf_rep1"	11	12932	5
2014	"Artieri"	"mixed_rpf_rep1"	12	2037	5
2014	"Artieri"	"mixed_rpf_rep1"	13	4881	5
2014	"Artieri"	"mixed_rpf_rep1"	14	11906	5
2014	"Artieri"	"mixed_rpf_rep1"	15	1845	5
2014	"Artieri"	"mixed_rpf_rep1"	16	4234	5
2014	"Artieri"	"mixed_rpf_rep1"	17	10818	5
2014	"Artieri"	"mixed_rpf_rep1"	18	1854	5
2014	"Artieri"	"mixed_rpf_rep1"	19	4316	5
2014	"Artieri"	"mixed_rpf_rep1"	20	10076	5
2014	"Artieri"	"mixed_rpf_rep1"	21	1853	5
2014	"Artieri"	"mixed_rpf_rep1"	22	4691	5
2014	"Artieri"	"mixed_rpf_rep1"	23	11428	5
2014	"Artieri"	"mixed_rpf_rep1"	24	1737	5
2014	"Artieri"	"mixed_rpf_rep1"	25	4182	5
2014	"Artieri"	"mixed_rpf_rep1"	-20	8755	3
2014	"Artieri"	"mixed_rpf_rep1"	-19	1280	3
2014	"Artieri"	"mixed_rpf_rep1"	-18	3035	3
2014	"Artieri"	"mixed_rpf_rep1"	-17	9021	3
2014	"Artieri"	"mixed_rpf_rep1"	-16	1242	3
2014	"Artieri"	"mixed_rpf_rep1"	-15	1639	3
2014	"Artieri"	"mixed_rpf_rep1"	-14	3605	3
2014	"Artieri"	"mixed_rpf_rep1"	-13	788	3
2014	"Artieri"	"mixed_rpf_rep1"	-12	561	3
2014	"Artieri"	"mixed_rpf_rep1"	-11	526	3
2014	"Artieri"	"mixed_rpf_rep1"	-10	486	3
2014	"Artieri"	"mixed_rpf_rep1"	-9	482	3
2014	"Artieri"	"mixed_rpf_rep1"	-8	441	3
2014	"Artieri"	"mixed_rpf_rep1"	-7	461	3
2014	"Artieri"	"mixed_rpf_rep1"	-6	475	3
2014	"Artieri"	"mixed_rpf_rep1"	-5	513	3
2014	"Artieri"	"mixed_rpf_rep1"	-4	506	3
2014	"Artieri"	"mixed_rpf_rep1"	-3	546	3
2014	"Artieri"	"mixed_rpf_rep1"	-2	572	3
2014	"Artieri"	"mixed_rpf_rep1"	-1	583	3
2014	"Artieri"	"mixed_rpf_rep1"	0	546	3
2014	"Artieri"	"mixed_rpf_rep1"	1	737	3
2014	"Artieri"	"mixed_rpf_rep1"	2	1586	3
2014	"Artieri"	"mixed_rpf_rep1"	3	1171	3
2014	"Artieri"	"mixed_rpf_rep1"	4	2044	3
2014	"Artieri"	"mixed_rpf_rep1"	5	2180	3
2014	"Artieri"	"mixed_rpf_rep1"	6	3121	3
2014	"Artieri"	"mixed_rpf_rep1"	7	729	3
2014	"Artieri"	"mixed_rpf_rep1"	8	592	3
2014	"Artieri"	"mixed_rpf_rep1"	9	718	3
2014	"Artieri"	"mixed_rpf_rep1"	10	921	3
2014	"Artieri"	"mixed_rpf_rep1"	11	11250	3
2014	"Artieri"	"mixed_rpf_rep1"	12	2720	3
2014	"Artieri"	"mixed_rpf_rep1"	13	677	3
2014	"Artieri"	"mixed_rpf_rep1"	14	1005	3
2014	"Artieri"	"mixed_rpf_rep1"	15	703	3
