Position	Mean	SD	End	BG	DataType
1	0.658830558530892	0.0216618476531301	5	Data	mRNA
2	0.678744125859838	0.0194461126968108	5	Data	mRNA
3	0.682857726622625	0.0194461126968108	5	Data	mRNA
4	0.682109799211209	0.0194274145115254	5	Data	mRNA
5	0.685101508856872	0.01940871632624	5	Data	mRNA
6	0.68641038182685	0.0186233925442534	5	Data	mRNA
7	0.67621987084631	0.00930141227021973	5	Data	mRNA
8	0.671451833598534	0.00728387807792562	5	Data	mRNA
9	0.675004488802759	0.00725115625367617	5	Data	mRNA
10	0.678089689374849	0.00725396098146898	5	Data	mRNA
11	0.682203290137636	0.00727826862234	5	Data	mRNA
12	0.685381981636153	0.00732033953923214	5	Data	mRNA
13	0.689963037031075	0.00734184245231034	5	Data	mRNA
14	0.694544092425997	0.00742598428609462	5	Data	mRNA
15	0.699125147820919	0.00744000792505866	5	Data	mRNA
16	0.701088457275885	0.00744935701770136	5	Data	mRNA
17	0.704921585259391	0.00746618538445822	5	Data	mRNA
18	0.70866122231647	0.00748488356974361	5	Data	mRNA
19	0.709876604360021	0.0074699250215153	5	Data	mRNA
20	0.712868314005684	0.00747553447710091	5	Data	mRNA
21	0.717449369400606	0.00750638648282182	5	Data	mRNA
22	0.720067115340561	0.00754565267192115	5	Data	mRNA
23	0.738110864140967	0.0153325119340239	5	Data	mRNA
24	0.741663519345192	0.0153418610266666	5	Data	mRNA
25	0.74297239231517	0.0153886064898801	5	Data	mRNA
26	0.743907301579439	0.0153886064898801	5	Data	mRNA
27	0.746805520298676	0.0154166537678082	5	Data	mRNA
28	0.747553447710091	0.0154447010457363	5	Data	mRNA
29	0.746618538445822	0.0154260028604509	5	Data	mRNA
30	0.746431556592968	0.0153792573972374	5	Data	mRNA
31	0.746712029372249	0.0153699083045947	5	Data	mRNA
32	0.748955811606496	0.0153699083045947	5	Data	mRNA
33	0.748675338827215	0.0153699083045947	5	Data	mRNA
34	0.746338065666541	0.0153512101193093	5	Data	mRNA
35	0.745964101960833	0.015360559211952	5	Data	mRNA
36	0.748675338827215	0.015360559211952	5	Data	mRNA
37	0.748581847900788	0.015360559211952	5	Data	mRNA
38	0.749516757165058	0.0153512101193093	5	Data	mRNA
39	0.736428027465281	0.00764568796319801	5	Data	mRNA
40	0.737549918582405	0.00766719087627621	5	Data	mRNA
41	0.732594899481775	0.00761296613894857	5	Data	mRNA
42	0.732314426702495	0.00761577086674138	5	Data	mRNA
43	0.731379517438225	0.00785510763839443	5	Data	mRNA
44	0.729883662615393	0.00788315491632252	5	Data	mRNA
45	0.732407917628922	0.00788408982558679	5	Data	mRNA
46	0.733716790598899	0.00815708333075356	5	Data	mRNA
47	0.733436317819618	0.00816269278633918	5	Data	mRNA
48	0.734464718010315	0.00818326079015311	5	Data	mRNA
49	0.734090754304607	0.00817578151603896	5	Data	mRNA
50	0.732501408555349	0.00815427860296075	5	Data	mRNA
51	0.734838681716023	0.00817017206045334	5	Data	mRNA
52	0.733529808746045	0.0081683022419248	5	Data	mRNA
53	0.731099044658944	0.00808135568034771	5	Data	mRNA
54	0.731005553732517	0.00804956876536254	5	Data	mRNA
55	0.728200825939708	0.00805424331168389	5	Data	mRNA
56	0.72904224427755	0.00804582912830546	5	Data	mRNA
57	0.730070644468247	0.00809350950078322	5	Data	mRNA
58	0.728481298718989	0.00805891785800524	5	Data	mRNA
59	0.727733371307573	0.00804021967271984	5	Data	mRNA
60	0.727359407601865	0.00777751016946004	5	Data	mRNA
61	0.727546389454719	0.00784014909016612	5	Data	mRNA
62	0.729603189836112	0.00781210181223803	5	Data	mRNA
63	0.729135735203977	0.00779714326400971	5	Data	mRNA
64	0.728107335013281	0.00778966398989555	5	Data	mRNA
65	0.727359407601865	0.00781771126782364	5	Data	mRNA
66	0.728481298718989	0.00785323781986589	5	Data	mRNA
67	0.729229226130404	0.00789811346455084	5	Data	mRNA
68	0.727920353160427	0.00787193600515129	5	Data	mRNA
69	0.729696680762539	0.0078560425476587	5	Data	mRNA
70	0.729883662615393	0.00786913127735848	5	Data	mRNA
71	0.727639880381146	0.00784295381795893	5	Data	mRNA
72	0.728013844086854	0.0078036876288596	5	Data	mRNA
73	0.72595704370546	0.0078251905419378	5	Data	mRNA
74	0.724087225176921	0.00779620835474544	5	Data	mRNA
75	0.726331007411168	0.00786632654956567	5	Data	mRNA
76	0.725209116294044	0.0077943385362169	5	Data	mRNA
77	0.726517989264022	0.00780088290106679	5	Data	mRNA
78	0.728948753351123	0.00785136800133735	5	Data	mRNA
79	0.726424498337595	0.00747459956783665	5	Data	mRNA
80	0.732127444849641	0.00807200658770501	5	Data	mRNA
81	0.733903772451753	0.00809631422857603	5	Data	mRNA
82	0.733249335966764	0.00827301207952301	5	Data	mRNA
83	0.733436317819618	0.00828797062775133	5	Data	mRNA
84	0.741289555639484	0.010199860073183	5	Data	mRNA
85	0.736241045612427	0.00980719818218967	5	Data	mRNA
86	0.74110257378663	0.0102746528143245	5	Data	mRNA
87	0.745029192696563	0.0103400964628234	5	Data	mRNA
88	0.744748719917282	0.0103494455554661	5	Data	mRNA
89	0.7420374830509	0.0103027000922526	5	Data	mRNA
90	0.745590138255125	0.0103400964628234	5	Data	mRNA
91	0.7420374830509	0.00992873638654474	5	Data	mRNA
92	0.74016766452236	0.00991938729390204	5	Data	mRNA
93	0.742598428609462	0.00991003820125934	5	Data	mRNA
94	0.74110257378663	0.00995678366447283	5	Data	mRNA
95	0.740448137301641	0.00998483094240092	5	Data	mRNA
96	0.744281265285147	0.00999418003504362	5	Data	mRNA
97	0.742691919535889	0.0100035291276863	5	Data	mRNA
98	0.742130973977327	0.0100315764056144	5	Data	mRNA
99	0.742411446756608	0.0100502745908998	5	Data	mRNA
100	0.741383046565911	0.0100689727761852	5	Data	mRNA
101	0.735212645421731	0.00819167497353154	5	Data	mRNA
102	0.737269445803124	0.00835715391330729	5	Data	mRNA
103	0.736521518391708	0.00837678700785695	5	Data	mRNA
104	0.735493118201012	0.00829638481112975	5	Data	mRNA
105	0.73586708190672	0.0082300062533666	5	Data	mRNA
106	0.735680100053866	0.00823187607189514	5	Data	mRNA
107	0.738484827846675	0.00832349717979358	5	Data	mRNA
108	0.739606718963799	0.00817671642530323	5	Data	mRNA
109	0.739139264331664	0.00815427860296075	5	Data	mRNA
110	0.741383046565911	0.00813932005473244	5	Data	mRNA
111	0.743065883241597	0.008106598230483	5	Data	mRNA
112	0.737456427655978	0.00783640945310904	5	Data	mRNA
113	0.735306136348158	0.00777377053240296	5	Data	mRNA
114	0.735680100053866	0.00778966398989555	5	Data	mRNA
115	0.731566499291079	0.00776161671196746	5	Data	mRNA
116	0.730257626321101	0.00769056360788296	5	Data	mRNA
117	0.731566499291079	0.0076830843337688	5	Data	mRNA
118	0.73091206280609	0.00766812578554048	5	Data	mRNA
119	0.730818571879663	0.00759894249998452	5	Data	mRNA
120	0.733155845040337	0.00760548686483441	5	Data	mRNA
121	0.731192535585371	0.0075811792239634	5	Data	mRNA
122	0.729416207983258	0.0075007770272362	5	Data	mRNA
123	0.730631590026809	0.00765036250951936	5	Data	mRNA
124	0.729883662615393	0.00770178251905419	5	Data	mRNA
125	0.728294316866135	0.00766625596701194	5	Data	mRNA
126	0.730818571879663	0.00767093051333329	5	Data	mRNA
127	0.729322717056831	0.00766625596701194	5	Data	mRNA
128	0.729509698909685	0.00767467015039037	5	Data	mRNA
129	0.732501408555349	0.00769336833567577	5	Data	mRNA
130	0.72997715354182	0.00764662287246228	5	Data	mRNA
131	0.728668280571843	0.00761670577600565	5	Data	mRNA
132	0.731379517438225	0.00763166432423396	5	Data	mRNA
133	0.728761771498269	0.00762511995938407	5	Data	mRNA
134	0.726704971116876	0.00764381814466947	5	Data	mRNA
135	0.728107335013281	0.00763820868908385	5	Data	mRNA
136	0.72689195296973	0.00761857559453419	5	Data	mRNA
137	0.725583079999752	0.007704587246847	5	Data	mRNA
138	0.726331007411168	0.00768962869861869	5	Data	mRNA
139	0.724554679809056	0.0075101261198789	5	Data	mRNA
140	0.723619770544786	0.0075129308476717	5	Data	mRNA
141	0.726424498337595	0.00748675338827215	5	Data	mRNA
142	0.725676570926179	0.00748301375121507	5	Data	mRNA
143	0.72380675239764	0.00747272974930811	5	Data	mRNA
144	0.72474166166191	0.00746899011225103	5	Data	mRNA
145	0.724087225176921	0.00743252865094451	5	Data	mRNA
146	0.722591370354089	0.00737362936729551	5	Data	mRNA
147	0.725302607220471	0.0074418777435872	5	Data	mRNA
148	0.724554679809056	0.00745496647328698	5	Data	mRNA
149	0.726237516484741	0.00747553447710091	5	Data	mRNA
150	0.728574789645416	0.00749516757165058	5	Data	mRNA
151	0.727920353160427	0.00744468247138001	5	Data	mRNA
152	0.726144025558314	0.00740915591933776	5	Data	mRNA
153	0.729135735203977	0.00739326246184518	5	Data	mRNA
154	0.727826862234	0.00727265916675438	5	Data	mRNA
155	0.728387807792562	0.00728387807792562	5	Data	mRNA
156	0.732220935776068	0.00735493118201012	5	Data	mRNA
157	0.727172425749011	0.00730070644468247	5	Data	mRNA
158	0.724928643514763	0.00727452898528292	5	Data	mRNA
159	0.728481298718989	0.00730631590026809	5	Data	mRNA
160	0.726704971116876	0.00729229226130404	5	Data	mRNA
161	0.72689195296973	0.00734371227083888	5	Data	mRNA
162	0.732127444849641	0.00736241045612428	5	Data	mRNA
163	0.731753481143933	0.00732033953923214	5	Data	mRNA
164	0.733529808746045	0.00731286026511798	5	Data	mRNA
165	0.73493217264245	0.00729322717056831	5	Data	mRNA
166	0.734277736157461	0.00724367697956202	5	Data	mRNA
167	0.734651699863169	0.00742130973977327	5	Data	mRNA
